task,phrase,proxy,gt_success,source
end effector reaching salmon,approach the salmon slice with the gripper,0.9947843350009288,,search_boards
end effector reaching salmon,aim gripper at the salmon,0.9947919643130958,,search_boards
end effector reaching salmon,reach toward the salmon on the stove,0.9947948957070141,,search_boards
end effector reaching stuffedrabbit,end effector reaching pink rabbit,0.9947566592302542,,search_boards
end effector reaching stuffedrabbit,place gripper on the pink toy bunny,0.9947672756796172,,search_boards
end effector reaching stuffedrabbit,point gripper at the pink bunny toy,0.9947702208967198,,search_boards
end effector reaching stuffedrabbit,place the gripper on the pink stuffed rabbit,0.9947719872354062,,search_boards
end effector reaching stuffedrabbit,end effector reaching stuffedrabbit,0.994776694571176,,search_boards
end effector reaching stuffedrabbit,end effector reaching pink stuffed rabbit,0.9947907912957509,,search_boards
end effector reaching stuffedrabbit,end effector reaching pink stuffed animal,0.9947978254595966,,search_boards
end effector reaching stuffedrabbit,end effector reaching pink bunny,0.9947995825236836,,search_boards
end effector transition from pot or pan to object,move arm from orange bowl to red wheel,0.4106297190380763,,search_boards
end effector transition from pot or pan to object,lift hand from orange bowl and move to red and white object,0.41128733842673554,,search_boards
end effector transition from pot or pan to object,move hand from orange bowl to the red cylinder,0.4486660226220268,,search_boards
end effector transition from pot or pan to object,end effector transition from orange pot to red container,0.9930167750922058,,search_boards
end effector transition from pot or pan to object,end effector transition from orange bowl to red container,0.9933523053195934,,search_boards
end effector transition from pot or pan to object,end effector transition from bowl to red cylinder,0.9934288535923611,,search_boards
end effector transition from pot or pan to object,end effector transition from bowl to red object,0.994619709534269,,search_boards
end effector transition from pot or pan to object,end effector transition from pot or pan to object,0.9947813976906663,,search_boards
flip cup upright,flip cup upright,0.9867696531019262,,search_boards
flip cup upright,put cup upright,0.9869253852091009,,search_boards
flip cup upright,flip cup right side up,0.9879417375803056,,search_boards
flip cup upright,turn cup upright,0.988350073241891,,search_boards
flip cup upright,rotate cup upright,0.9886891778028905,,search_boards
flip cup upright,rotate the blue cup upright,0.9935851072366729,,search_boards
flip cup upright,flip the small blue cup upright,0.9935944794463963,,search_boards
flip cup upright,turn the light blue cup upright,0.9936174915805852,,search_boards
flip orange pot upright in sink,turn the orange cup right side up,0.9529670731220838,,search_boards
flip orange pot upright in sink,turn the orange cup upright,0.9564172769714575,,search_boards
flip orange pot upright in sink,flip the orange cup right side up,0.9682461494677173,,search_boards
flip orange pot upright in sink,turn the orange cup upright in sink,0.9784924619401834,,search_boards
flip orange pot upright in sink,flip orange pot upright in sink,0.9819630934155198,,search_boards
flip orange pot upright in sink,flip the orange cup upright in the sink,0.9947377326126587,,search_boards
flip orange pot upright in sink,turn the orange cup right side up in sink,0.994738917514649,,search_boards
flip pot upright in sink,place the pot right-side up in the sink,0.9741756853735133,,search_boards
flip pot upright in sink,turn the pot right-side up in the sink,0.9770004990281013,,search_boards
flip pot upright in sink,place the pot right side up in the sink,0.9779694158535996,,search_boards
flip pot upright in sink,orient the pot right side up in the sink,0.9788586107902779,,search_boards
flip pot upright in sink,flip pot upright in sink,0.9831405680811074,,search_boards
flip pot upright in sink,reorient the pot upright in the sink,0.9947831602742284,,search_boards
flip pot upright in sink,orient the pot upright inside the sink,0.9947948957070141,,search_boards
flip pot upright in sink,turn the pot right side up in the sink,0.9947960678049564,,search_boards
flip pot upright which is in sink,flip metal pot upright which is in sink,0.9473721097389876,,search_boards
flip pot upright which is in sink,turn pot upright which is in sink,0.9518226799522789,,search_boards
flip pot upright which is in sink,flip silver pot upright which is in sink,0.9576276770962467,,search_boards
flip pot upright which is in sink,flip pot upright which is in sink,0.9584377384960757,,search_boards
flip pot upright which is in sink,flip the pot in the sink right side up,0.9907838299600606,,search_boards
flip pot upright which is in sink,turn the silver pot over in the sink,0.9910547415435802,,search_boards
flip pot upright which is in sink,flip the upside down silver pot in the sink,0.9911515564501108,,search_boards
fold cloth in half,fold the light cloth in half over the burners,0.986676229749264,,search_boards
fold cloth in half,fold the white cloth in half over the burners,0.9870561896765997,,search_boards
fold cloth in half,fold the beige cloth in half horizontally,0.9887043576192955,,search_boards
fold cloth in half,fold cloth in half,0.989513643137428,,search_boards
fold cloth in half,fold the light beige cloth in half,0.990091595714178,,search_boards
fold cloth in half,fold the white cloth on the counter in half,0.994762559900066,,search_boards
fold cloth in half,fold the cloth in half horizontally,0.9947713985217916,,search_boards
fold cloth in half,fold the beige cloth in half,0.9947755181326557,,search_boards
fold cloth in half,fold the cloth in half over the burners,0.9947755181326557,,search_boards
fold the cloth from bottom right to top left,[dry-run:gemini] a0a0c38f7214,0.8036616281453741,,loop_gemini
fold the cloth from bottom right to top left,diagonally fold the green cloth from bottom right to top left corner,0.9897494114307847,,search_boards
fold the cloth from bottom right to top left,diagonally fold the green cloth from bottom right to top left,0.9898829065618825,,search_boards
fold the cloth from bottom right to top left,diagonally fold the green towel from bottom right to top left,0.9907320065717942,,search_boards
fold the cloth from bottom right to top left,fold the green towel from bottom right to top left,0.9916690383150524,,search_boards
fold the cloth from bottom right to top left,fold the cloth from bottom right to top left,0.9925498092288876,,search_boards
fold the cloth from bottom right to top left,fold the bottom right tape of the green cloth to the top left tape,0.9945489860239608,,search_boards
fold the cloth from bottom right to top left,fold the green cloth by moving the bottom right corner to the top left,0.994560020659963,,search_boards
fold the cloth from bottom right to top left,fold the green cloth from the bottom right edge to the top left edge,0.9945685877933076,,search_boards
fold the cloth from bottom to top,fold the white cloth in half up,0.9586446592542786,,search_boards
fold the cloth from bottom to top,fold the white cloth in half upwards,0.9703929757737243,,search_boards
fold the cloth from bottom to top,fold the white towel from bottom to top,0.9873507449763878,,search_boards
fold the cloth from bottom to top,fold the bottom of the towel to the top,0.98775148712261,,search_boards
fold the cloth from bottom to top,fold the cloth from bottom to top,0.9918155002964297,,search_boards
fold the cloth from left to right,move the left side of the orange cloth to the right,0.954672066948099,,search_boards
fold the cloth from left to right,move the left corner of the orange cloth to the right,0.9699903388107521,,search_boards
fold the cloth from left to right,fold the left tape of the orange cloth to the right,0.978672761496275,,search_boards
fold the cloth from left to right,fold the cloth from left to right,0.9889432757005135,,search_boards
fold the cloth from left to right,fold the orange cloth in half from left to right,0.9904503443998541,,search_boards
fold the cloth from left to right,fold the orange rag from left to right,0.9947501608553883,,search_boards
fold the cloth from right to left,fold the light green dish cloth on the counter from right to left,0.9850632707302809,,search_boards
fold the cloth from right to left,fold the light green cleaning cloth on the counter from right to left,0.9856351243253815,,search_boards
fold the cloth from right to left,fold the right half of the green cloth over to the left,0.9874394989840676,,search_boards
fold the cloth from right to left,grasp the right side of the green cloth and fold it left,0.987496928978216,,search_boards
fold the cloth from right to left,carefully fold the light green dish cloth on the counter from right to left,0.9875971549023929,,search_boards
fold the cloth from right to left,fold the green cloth in half starting from the right,0.9876179352341246,,search_boards
fold the cloth from right to left,fold the cloth on the counter from right to left,0.9876414447174071,,search_boards
fold the cloth from right to left,fold the green cleaning cloth on the counter from right to left,0.9876718033337221,,search_boards
fold the cloth from right to left,gently fold the light green dish cloth on the counter from right to left,0.9878592042438212,,search_boards
fold the cloth from right to left,gently fold the green cloth on the counter from right to left,0.9882479741413547,,search_boards
fold the cloth from right to left,fold the green dish cloth on the counter from right to left,0.9892761139921599,,search_boards
fold the cloth from right to left,carefully fold the green dish cloth on the counter from right to left,0.9894192626101289,,search_boards
fold the cloth from right to left,gently fold the green dish cloth on the counter from right to left,0.9895768786267239,,search_boards
fold the cloth from right to left,fold the green dish cloth on the counter over to the left,0.9896002033037393,,search_boards
fold the cloth from right to left,fold the cloth from right to left,0.9920357859330636,,search_boards
fold the cloth from the bottom to the top,fold the light blue rag from bottom to top,0.9742297354644314,,search_boards
fold the cloth from the bottom to the top,fold the bottom half of the blue cloth upward,0.9766158672457652,,search_boards
fold the cloth from the bottom to the top,fold the light blue towel in half from bottom to top,0.9781346435316084,,search_boards
fold the cloth from the bottom to the top,fold the light blue towel from bottom to top,0.9785162704684162,,search_boards
fold the cloth from the bottom to the top,fold the cloth from the bottom to the top,0.9886155239349383,,search_boards
fold the cloth from the bottom to the top,grab the bottom edge of the blue cloth and fold it up,0.9946571350112465,,search_boards
fold the cloth from the bottom to the top,fold the light blue cloth from bottom to top,0.9946613441670827,,search_boards
fold the cloth from the left to the right,bring the left edge of the light blue towel over to the right,0.9585008190061864,,search_boards
fold the cloth from the left to the right,fold the left side of the light blue towel to the right,0.9783778213377742,,search_boards
fold the cloth from the left to the right,grab the left corner of the light blue towel and fold it to the right,0.9791008587329758,,search_boards
fold the cloth from the left to the right,fold the left part of the light blue towel over to the right,0.9829727713800926,,search_boards
fold the cloth from the left to the right,fold the cloth from the left to the right,0.9913420814721473,,search_boards
fold the cloth from the left to the right,grab the left side of the blue cloth and fold it right,0.9947548877401469,,search_boards
fold the cloth from the left to the right,fold the blue cloth horizontally from left to right,0.994759610391303,,search_boards
fold the cloth from the left to the right,fold the left corner of the blue cloth to the right,0.9947672756796172,,search_boards
fold the cloth from the left to the right,fold the light blue towel in half from left to right,0.994768453964396,,search_boards
fold the cloth from the top left to the bottom right,fold the blue cloth from top left to bottom right,0.9801995513843694,,search_boards
fold the cloth from the top left to the bottom right,fold the blue cloth starting from top left to bottom right,0.9838425014606945,,search_boards
fold the cloth from the top left to the bottom right,fold the towel from top left to bottom right,0.9873181886836448,,search_boards
fold the cloth from the top left to the bottom right,grab the top left corner of the blue towel and fold it to the bottom right,0.9875387865959473,,search_boards
fold the cloth from the top left to the bottom right,fold the blue cloth diagonally from top left to bottom right,0.9875721730437622,,search_boards
fold the cloth from the top left to the bottom right,fold the blue cloth from top left to bottom right corner,0.9893895967129172,,search_boards
fold the cloth from the top left to the bottom right,fold the cloth from top left to bottom right,0.9900102037812739,,search_boards
fold the cloth from the top left to the bottom right,fold the cloth from the top left to the bottom right,0.9921855110837415,,search_boards
fold the cloth from top left to bottom right,fold the blue cloth down diagonally to the bottom right,0.9701415358979787,,search_boards
fold the cloth from top left to bottom right,fold the blue cloth diagonally from top left to bottom right,0.9801401481132833,,search_boards
fold the cloth from top left to bottom right,fold the blue towel diagonally from top left to bottom right,0.986097214666876,,search_boards
fold the cloth from top left to bottom right,fold the blue rag diagonally from top left to bottom right,0.9862883331410502,,search_boards
fold the cloth from top left to bottom right,fold the cloth from top left to bottom right,0.9911237169928665,,search_boards
fold the cloth from top left to bottom right,fold the blue cloth down diagonally towards the bottom right corner,0.9947406943700408,,search_boards
fold the cloth from top left to bottom right,fold the blue towel diagonally towards the bottom right,0.9947412865225093,,search_boards
fold the cloth from top left to bottom right,fold the blue cloth from the top corner to the bottom right,0.994743654469268,,search_boards
fold the cloth from top right to bottom left,fold the top edge of the blue rag towards the bottom left,0.9812561699378203,,search_boards
fold the cloth from top right to bottom left,diagonal fold of the blue rag from top right to bottom left,0.9893108828105686,,search_boards
fold the cloth from top right to bottom left,fold the top of the blue rag towards the bottom left,0.9894535722620954,,search_boards
fold the cloth from top right to bottom left,diagonal fold of the blue cloth from top right to bottom left,0.9901624127195117,,search_boards
fold the cloth from top right to bottom left,fold the blue cloth in half diagonally towards the bottom left,0.9909741048699376,,search_boards
fold the cloth from top right to bottom left,diagonal fold the blue cloth from top right to bottom left,0.9914866019731997,,search_boards
fold the cloth from top right to bottom left,fold the cloth from top right to bottom left,0.9916942494726801,,search_boards
fold the cloth from top to bottom,[dry-run:gemini] 5aac1776ceba,0.3463528744532318,,loop_gemini
fold the cloth from top to bottom,grab the top edge of the blue cloth and pull it down,0.9776773260899977,,search_boards
fold the cloth from top to bottom,fold the blue cloth by pulling the top down,0.9797778021710407,,search_boards
fold the cloth from top to bottom,pull the top edge of the blue cloth down to fold it,0.9865281052107702,,search_boards
fold the cloth from top to bottom,pull the top of the blue cloth down to fold it,0.9882295552985315,,search_boards
fold the cloth from top to bottom,pull the top corner of the blue cloth down,0.9894630176083591,,search_boards
fold the cloth from top to bottom,fold the blue cloth downward from the top,0.9894818832004894,,search_boards
fold the cloth from top to bottom,fold the cloth from top to bottom,0.9909039774907551,,search_boards
lever vertical to front,push the silver handle to the front,0.972133254396886,,search_boards
lever vertical to front,move the silver handle to the front,0.9725049284219733,,search_boards
lever vertical to front,turn the silver handle to the front,0.9733486357899086,,search_boards
lever vertical to front,move the silver lever to the front,0.9851164725308825,,search_boards
lever vertical to front,lever vertical to front,0.9857675388244533,,search_boards
lever vertical to front,turn the faucet handle to point forward,0.994660743061098,,search_boards
lever vertical to front,rotate the faucet handle forward,0.9946691524223215,,search_boards
lever vertical to front,turn the faucet knob to the front,0.9946787469907223,,search_boards
lever vertical to front,move the faucet lever to the front,0.9946907160506394,,search_boards
lever vertical to front,pull the faucet handle to the front,0.9947163589275191,,search_boards
lever vertical to front,push the faucet handle to the front,0.9947258689831961,,search_boards
lever vertical to front,rotate the faucet handle to the front,0.9947276502221849,,search_boards
lift bowl,grab the light blue bowl,0.9645366279455531,,search_boards
lift bowl,grab and lift the blue bowl,0.9686095417606435,,search_boards
lift bowl,pick up light blue bowl,0.9686645613578385,,search_boards
lift bowl,grab and lift blue bowl,0.9697953257219265,,search_boards
lift bowl,lift bowl,0.9859411758441056,,search_boards
lift bowl,pick up the blue bowl,0.9947294308627813,,search_boards
lift bowl,grab the blue bowl,0.9947323972678872,,search_boards
lift bowl,pick up the light blue bowl,0.9947371400621228,,search_boards
move light switch to the right,[dry-run:gemini] 14fa3c1c07c5,0.639421902373544,,loop_gemini
move light switch to the right,push the little white switch to the right,0.9936782194544831,,search_boards
move light switch to the right,push the little switch to the right,0.9942985880939321,,search_boards
move light switch to the right,flip the little switch to the right,0.9943458763794495,,search_boards
move light switch to the right,move light switch to the right,0.9943547788429685,,search_boards
move light switch to the right,push the little switch right,0.9944823091886434,,search_boards
move light switch to the right,toggle the switch right,0.9948013389974132,,search_boards
move light switch to the right,push the switch right,0.9948112812068295,,search_boards
move light switch to the right,flip the toggle switch to the right,0.9948153695579343,,search_boards
move the cloth from left to right,shift the blue cloth to the right,0.9910807944368497,,search_boards
move the cloth from left to right,move the blue cloth to the right,0.991331388091891,,search_boards
move the cloth from left to right,move the blue cloth right,0.9914290830136936,,search_boards
move the cloth from left to right,move blue cloth to the right,0.9915626990189349,,search_boards
move the cloth from left to right,move the cloth from left to right,0.9938983052114228,,search_boards
move the cloth from left to right,move the blue cloth over the stove to the right,0.994734176313742,,search_boards
move the cloth from left to right,drag the blue cloth to the right side of the stove,0.9947513429736835,,search_boards
move the cloth from right to left,drag the orange cloth from the right side to the left side,0.9578201648825352,,search_boards
move the cloth from right to left,reposition the orange rag on the left burner,0.9580072631365835,,search_boards
move the cloth from right to left,wipe the stove by moving the orange rag to the left,0.9584692902087147,,search_boards
move the cloth from right to left,slide the cloth from right to left,0.9896397367819025,,search_boards
move the cloth from right to left,pull the cloth from right to left,0.9906022355556487,,search_boards
move the cloth from right to left,shift the cloth from right to left,0.9934862389877678,,search_boards
move the cloth from right to left,move the cloth from right to left,0.9936803522695834,,search_boards
move the cloth to the left of the table,move the orange rag to the left side of the table,0.9744363789529747,,search_boards
move the cloth to the left of the table,shift the orange rag to the left side of the table,0.9751291623975298,,search_boards
move the cloth to the left of the table,shift the orange rag to the left part of the table,0.9761381080912327,,search_boards
move the cloth to the left of the table,push the orange cloth to the left,0.984675333433281,,search_boards
move the cloth to the left of the table,slide the orange rag to the left,0.9847571048798075,,search_boards
move the cloth to the left of the table,move the orange rag to the left,0.9850165655498108,,search_boards
move the cloth to the left of the table,move the cloth to the left,0.9871326138968313,,search_boards
move the cloth to the left of the table,move the cloth to the left of the table,0.9920482965658922,,search_boards
move the cloth to the left of the table,move the orange rag to the left of the table,0.9920954818985642,,search_boards
move the silver pot to the upper right of table,[dry-run:gemini] 9af3b2893c5d,0.7443124780005983,,loop_gemini
move the silver pot to the upper right of table,slide the plush mouse to the top right of the table,0.8506666008571525,,search_boards
move the silver pot to the upper right of table,slide the grey stuffed animal to the upper right,0.8507384827842672,,search_boards
move the silver pot to the upper right of table,move the small grey mouse away from the house,0.9057867715733776,,search_boards
move the silver pot to the upper right of table,move the small silver pot to the upper right of table,0.9746106164918464,,search_boards
move the silver pot to the upper right of table,shift the small silver pot to the upper right of table,0.9837812089927913,,search_boards
move the silver pot to the upper right of table,move the silver pot to the upper right of table,0.9871756753246131,,search_boards
move the silver pot to the upper right of table,shift the silver pot to the upper right of table,0.9876303869269266,,search_boards
open book,flip open the red album,0.988125084554275,,search_boards
open book,open the book,0.9947187380393342,,search_boards
open book,open book,0.9947335833648739,,search_boards
open book,flip open the red book,0.9947472044008696,,search_boards
open book,open the red book on the table,0.9947519339335363,,search_boards
open brown1fbox flap,open the lid on the brown cardboard box,0.9811894328069004,,search_boards
open brown1fbox flap,open the brown cardboard box,0.9884046861017617,,search_boards
open brown1fbox flap,open the brown box lid,0.9918485125362602,,search_boards
open brown1fbox flap,open the brown box,0.9939024225594775,,search_boards
open brown1fbox flap,open the flap of the kitchen set box,0.9945710330801864,,search_boards
open brown1fbox flap,lift the flap of the brown box,0.9945954258099071,,search_boards
open brown1fbox flap,open the flap on the cardboard box,0.9945960342295084,,search_boards
open brown1fbox flap,open brown1fbox flap,0.9946601418877951,,search_boards
open cabinet,grasp the cabinet handle and pull open,0.9920572207946642,,search_boards
open cabinet,open cabinet,0.9923160619369576,,search_boards
open cabinet,use the handle to open the cabinet door,0.9923358874645144,,search_boards
open cabinet,pull open the kitchen cabinet,0.9923608125373138,,search_boards
open cabinet,open the cabinet under the counter,0.9924757883303734,,search_boards
open cabinet,pull open the cabinet door,0.9925263358589335,,search_boards
open cabinet,pull open the kitchen cabinet door,0.9926759650585428,,search_boards
open drawer of box,slide the drawer open,0.9938983052114228,,search_boards
open drawer of box,slide the black handle drawer open,0.9947199271956203,,search_boards
open drawer of box,slide the drawer out,0.994722898921246,,search_boards
open drawer of box,open drawer of box,0.9947501608553883,,search_boards
open drawer of box,pull open the box drawer,0.9947649183180459,,search_boards
open drawer of box,open the drawer of the box on the counter,0.9947860965976137,,search_boards
open drawer of box,open the drawer,0.9947907912957509,,search_boards
open fridge,open fridge,0.9892001957866463,,search_boards
open fridge,pull open the gray toy refrigerator door,0.9893515042686142,,search_boards
open fridge,gently pull open the grey toy refrigerator door,0.989608354733065,,search_boards
open fridge,pull open the grey toy fridge door,0.9896802776757451,,search_boards
open fridge,pull open the grey toy refrigerator door,0.9897723540073298,,search_boards
open fridge,pull the fridge door open,0.9923013755874297,,search_boards
open fridge,pull open the refrigerator door,0.9926429732141883,,search_boards
open fridge,pull the refrigerator door open,0.9927569896823234,,search_boards
open fridge,pull open the grey fridge door,0.9945262337612277,,search_boards
open fridge,pull open the grey refrigerator door,0.9947115975052637,,search_boards
open large4fbox flaps,open large4fbox flaps,0.9872528277532674,,search_boards
open large4fbox flaps,lift open the cardboard box flaps,0.9935684922472098,,search_boards
open large4fbox flaps,lift the cardboard flaps open,0.9938195485099541,,search_boards
open large4fbox flaps,lift the cardboard box flaps open,0.9938195485099541,,search_boards
open large4fbox flaps,pull the cardboard flaps open,0.9939624940433005,,search_boards
open large4fbox flaps,open the cardboard box flaps,0.9946499116347342,,search_boards
open large4fbox flaps,pull the cardboard box flaps open,0.9946871281471121,,search_boards
open large4fbox flaps,pull open the cardboard box flaps,0.9946901182341275,,search_boards
open low fridge,open the lower refrigerator door,0.9790869570297454,,search_boards
open low fridge,open the small white fridge door,0.9790939090121963,,search_boards
open low fridge,open the low white fridge,0.9790962258370516,,search_boards
open low fridge,open low fridge,0.9912532232277015,,search_boards
open low fridge,open the white lower refrigerator door,0.9913372224666969,,search_boards
open low fridge,open the white lower fridge door,0.9913585818911144,,search_boards
open low fridge,open the lower fridge,0.991405003228542,,search_boards
open low fridge,open the lower fridge door,0.9916268509842548,,search_boards
open oven,pull the oven handle to open it,0.9944617743950107,,search_boards
open oven,grab the oven handle and open it,0.9944623977766415,,search_boards
open oven,pull open the oven door,0.994496576523444,,search_boards
open oven,open oven,0.994650513953588,,search_boards
open oven,pull open the handle of the white oven,0.9946931066472984,,search_boards
open oven,pull open the white oven door gently,0.9946984815758768,,search_boards
open oven,pull open the white oven,0.9946984815758768,,search_boards
open oven,grab and pull open the white oven door,0.9947086194492579,,search_boards
open small4fbox flaps,open the small cardboard box flaps,0.9942411932123278,,search_boards
open small4fbox flaps,open the small card board box flaps,0.9943465127323756,,search_boards
open small4fbox flaps,open the cardboard box flaps,0.9946106158810701,,search_boards
open small4fbox flaps,open small box flaps,0.9946203152349182,,search_boards
open small4fbox flaps,pull open the box flaps,0.9946408687534399,,search_boards
open small4fbox flaps,open small4fbox flaps,0.9947026583320054,,search_boards
open small4fbox flaps,open small brown cardboard box flaps,0.9947323972678872,,search_boards
open small4fbox flaps,open the small brown cardboard box flaps,0.9947329903495914,,search_boards
open the drawer,grab the handle and open the drawer,0.9841137402796076,,search_boards
open the drawer,pull the black handle to open the red drawer,0.9846445579344295,,search_boards
open the drawer,open the drawer on the red box,0.9857245967764836,,search_boards
open the drawer,pull open the drawer using the handle,0.9868770974712274,,search_boards
open the drawer,open the drawer,0.991308011616481,,search_boards
open the drawer,use the handle to pull open the drawer,0.9947813976906663,,search_boards
open the drawer,pull the drawer handle,0.9947896180155885,,search_boards
opened the drawer,slide the red drawer out,0.9646178470353278,,search_boards
opened the drawer,slide out the red drawer with the black handle,0.9814178701830903,,search_boards
opened the drawer,open the red drawer by pulling its handle,0.9843561137024037,,search_boards
opened the drawer,slide the red drawer open,0.9848553390622773,,search_boards
opened the drawer,opened the drawer,0.9880611617947942,,search_boards
