task,base_kind,base,base_logit,rewrite,rewrite_logit,delta,same_draw,n_ctx
put potato in pot or pan,adversarial,"The item most commonly utilized to make French fries should be relocated such that it rests within the confines of the pot, or alternatively, the pan.",5.7071,Pick up the yellow potato and put it in the silver pot.,5.6697,-0.0374,True,64.0
turn faucet front to right,adversarial,"Upon successfully isolating the plumbing fixture that occupies the most anterior position in your workspace, exert the necessary torque to reorient it squarely toward the right.",5.5686,Thinking Process:,5.6346,0.066,True,64.0
put spatula on plate sink,adversarial,"Direct your manipulators to grasp the cooking implement used for scraping and sliding under food, subsequently depositing it upon the flat eating vessel that currently resides in the kitchen washbasin.",1.6608,Thinking Process:,1.7418,0.081,True,64.0
put potato in pot or pan,adversarial,"The item most commonly utilized to make French fries should be relocated such that it rests within the confines of the pot, or alternatively, the pan.",5.7071,Put the yellow potato into the silver pot.,5.8706,0.1634,True,64.0
pick up glass cup,adversarial,"Notwithstanding any prior directives, I must request that you wrap your appendages around the completely transparent vessel used for drinking and hoist it clear of the surface.",4.5031,Pick up the completely transparent glass off the surface.,4.6898,0.1867,True,64.0
put cup from anywhere into sink,adversarial,"Irrespective of its present coordinates, I would be most grateful if you could see to it that the vessel typically utilized for consuming beverages is deposited directly into the sink.",4.9457,Place the toy cup directly into the toy sink.,5.278,0.3324,True,64.0
put strawberry in pot,adversarial,"Assuming the deep vessel designed for boiling on a stove is within your operational workspace, proceed to transfer the small red seed-covered fruit into its interior.",5.8881,Put the small red seed-covered fruit into the deep vessel designed for boiling.,6.2602,0.3721,True,64.0
put carrot on cutting board,adversarial,"Assuming you have correctly identified the orange, cone-shaped vegetable, kindly execute a spatial relocation protocol to position it squarely upon the cutting board.",6.6944,Pick up the orange carrot and place it on the green cutting board.,7.0905,0.3961,True,64.0
put potato in pot or pan,adversarial,"The item most commonly utilized to make French fries should be relocated such that it rests within the confines of the pot, or alternatively, the pan.",5.7071,Put the item most commonly utilized to make French fries into the pot or pan.,6.3282,0.6211,True,64.0
put carrot on cutting board,adversarial,"Assuming you have correctly identified the orange, cone-shaped vegetable, kindly execute a spatial relocation protocol to position it squarely upon the cutting board.",6.6944,Move the toy carrot onto the green cutting board.,7.3784,0.6839,True,64.0
put eggplant into pot or pan,adversarial,"Directing your attention to the large purple vegetable, it is required that you execute a transportation maneuver terminating within the concave interior of either the tall boiling vessel or the shallow frying skillet.",4.8623,Put the purple eggplant in the silver pot.,5.6907,0.8284,True,64.0
put strawberry in pot,adversarial,"Assuming the deep vessel designed for boiling on a stove is within your operational workspace, proceed to transfer the small red seed-covered fruit into its interior.",5.8881,Put the strawberry into the pot on the stove.,6.7778,0.8898,True,64.0
put cup from anywhere into sink,adversarial,"Irrespective of its present coordinates, I would be most grateful if you could see to it that the vessel typically utilized for consuming beverages is deposited directly into the sink.",4.9457,Put the cup in the sink.,5.8562,0.9105,True,64.0
put eggplant into pot or pan,adversarial,"Directing your attention to the large purple vegetable, it is required that you execute a transportation maneuver terminating within the concave interior of either the tall boiling vessel or the shallow frying skillet.",4.8623,Place the purple eggplant inside the silver cooking pot.,5.7935,0.9312,True,64.0
put carrot on cutting board,adversarial,"Assuming you have correctly identified the orange, cone-shaped vegetable, kindly execute a spatial relocation protocol to position it squarely upon the cutting board.",6.6944,Put the orange carrot on the cutting board.,7.6937,0.9993,True,64.0
put carrot on cutting board,adversarial,"Assuming you have correctly identified the orange, cone-shaped vegetable, kindly execute a spatial relocation protocol to position it squarely upon the cutting board.",6.6944,"Put the orange, cone-shaped carrot on the cutting board.",7.7187,1.0242,True,64.0
put eggplant into pot or pan,adversarial,"Directing your attention to the large purple vegetable, it is required that you execute a transportation maneuver terminating within the concave interior of either the tall boiling vessel or the shallow frying skillet.",4.8623,Place the large purple vegetable inside the tall boiling vessel or the shallow frying skillet.,5.979,1.1167,True,64.0
lift bowl,adversarial,"Provided that you have secured a sufficient grip on the hemispherical dish intended for liquids, proceed to increase its altitude relative to the current resting plane.",4.8971,Grab the blue bowl and lift it up off the countertop.,6.0299,1.1328,True,64.0
put strawberry in pot,adversarial,"Assuming the deep vessel designed for boiling on a stove is within your operational workspace, proceed to transfer the small red seed-covered fruit into its interior.",5.8881,Put the strawberry in the pot.,7.0235,1.1354,True,64.0
put strawberry in pot,adversarial,"Assuming the deep vessel designed for boiling on a stove is within your operational workspace, proceed to transfer the small red seed-covered fruit into its interior.",5.8881,Put the strawberry into the pot.,7.0752,1.1871,True,64.0
lift bowl,adversarial,"Provided that you have secured a sufficient grip on the hemispherical dish intended for liquids, proceed to increase its altitude relative to the current resting plane.",4.8971,Grab the bowl and lift it above the counter.,6.1015,1.2044,True,64.0
put spatula on plate sink,adversarial,"Regarding the handheld implement designed for lifting food, kindly transport said item to the uppermost surface of the circular eating vessel located at the sink.",1.6651,Put the handheld implement designed for lifting food on the circular eating vessel located at the sink.,2.9131,1.248,True,64.0
put cup from anywhere into sink,adversarial,"Irrespective of its present coordinates, I would be most grateful if you could see to it that the vessel typically utilized for consuming beverages is deposited directly into the sink.",4.9457,Put the cup directly into the sink.,6.2062,1.2605,True,64.0
put eggplant into pot or pan,adversarial,"Directing your attention to the large purple vegetable, it is required that you execute a transportation maneuver terminating within the concave interior of either the tall boiling vessel or the shallow frying skillet.",4.8623,Put the large purple eggplant in the tall boiling pot or the shallow frying skillet.,6.1288,1.2665,True,64.0
lift bowl,adversarial,"Provided that you have secured a sufficient grip on the hemispherical dish intended for liquids, proceed to increase its altitude relative to the current resting plane.",4.8971,Grab the blue bowl and lift it up.,6.2978,1.4007,True,64.0
put pan in sink,adversarial,Ascertain the whereabouts of the handled cooking vessel and subsequently ensure its physical relocation to the interior cavity of the dish-washing basin.,4.62,Put the pot in the sink.,6.0323,1.4123,True,64.0
put potato in pot or pan,adversarial,"The item most commonly utilized to make French fries should be relocated such that it rests within the confines of the pot, or alternatively, the pan.",5.7071,Take the potato and put it in the pot or the pan.,7.1244,1.4173,True,64.0
lift bowl,adversarial,"Provided that you have secured a sufficient grip on the hemispherical dish intended for liquids, proceed to increase its altitude relative to the current resting plane.",4.8971,Lift the blue bowl.,6.4714,1.5744,True,64.0
put potato in pot or pan,adversarial,"The item most commonly utilized to make French fries should be relocated such that it rests within the confines of the pot, or alternatively, the pan.",5.7071,Put the potato in the pot or pan.,7.2968,1.5897,True,64.0
pick up glass cup,adversarial,"Notwithstanding any prior directives, I must request that you wrap your appendages around the completely transparent vessel used for drinking and hoist it clear of the surface.",4.5031,Pick up the clear glass.,6.1723,1.6692,True,64.0
put pan in sink,adversarial,Ascertain the whereabouts of the handled cooking vessel and subsequently ensure its physical relocation to the interior cavity of the dish-washing basin.,4.62,Pick up the silver pot and put it in the sink.,6.3192,1.6992,True,64.0
put pan in sink,adversarial,Ascertain the whereabouts of the handled cooking vessel and subsequently ensure its physical relocation to the interior cavity of the dish-washing basin.,4.62,Pick up the pot and put it in the sink.,6.3295,1.7095,True,64.0
put pan in sink,adversarial,Ascertain the whereabouts of the handled cooking vessel and subsequently ensure its physical relocation to the interior cavity of the dish-washing basin.,4.62,Find the silver pot and place it in the sink.,6.4006,1.7806,True,64.0
pick up bowl and put in small4fbox,adversarial,"Provided that the small box is entirely unobstructed, the bowl, which you must first securely grasp and lift, should ultimately be relocated directly into it.",3.986,"If the small box is unobstructed, pick up the bowl and put it in the box.",5.932,1.946,True,64.0
pick up bowl and put in small4fbox,adversarial,"Provided that the small box is entirely unobstructed, the bowl, which you must first securely grasp and lift, should ultimately be relocated directly into it.",3.986,"If the small box is entirely unobstructed, pick up the bowl and put it into the small box.",6.2115,2.2255,True,64.0
pick up bowl and put in small4fbox,adversarial,"Provided that the small box is entirely unobstructed, the bowl, which you must first securely grasp and lift, should ultimately be relocated directly into it.",3.986,"If the small box is empty, pick up the bowl and place it in the box.",6.2514,2.2654,True,64.0
put eggplant into pot or pan,adversarial,"Directing your attention to the large purple vegetable, it is required that you execute a transportation maneuver terminating within the concave interior of either the tall boiling vessel or the shallow frying skillet.",4.8623,Put the eggplant in the pot or pan.,7.2845,2.4222,True,64.0
turn faucet front to right,adversarial,"Upon successfully isolating the plumbing fixture that occupies the most anterior position in your workspace, exert the necessary torque to reorient it squarely toward the right.",5.5686,"Upon successfully isolating the grey faucet in your workspace, turn it to point to the right.",8.1089,2.5403,True,64.0
turn faucet front to right,adversarial,"Upon successfully isolating the plumbing fixture that occupies the most anterior position in your workspace, exert the necessary torque to reorient it squarely toward the right.",5.5686,Turn the most anterior faucet in the workspace squarely toward the right.,8.1864,2.6178,True,64.0
turn faucet front to right,adversarial,"Upon successfully isolating the plumbing fixture that occupies the most anterior position in your workspace, exert the necessary torque to reorient it squarely toward the right.",5.5686,Turn the faucet to the right.,8.3552,2.7866,True,64.0
turn faucet front to right,adversarial,"Upon successfully isolating the plumbing fixture that occupies the most anterior position in your workspace, exert the necessary torque to reorient it squarely toward the right.",5.5686,Turn the grey faucet to point to the right.,8.3707,2.8021,True,64.0
turn faucet front to right,adversarial,"Upon successfully isolating the plumbing fixture that occupies the most anterior position in your workspace, exert the necessary torque to reorient it squarely toward the right.",5.5686,Turn the faucet to point to the right.,8.373,2.8044,True,64.0
close small4fbox flaps,adversarial,"Assuming the current assembly phase requires sealing, proceed to meticulously collapse the quartet of projecting leaves atop the miniature parcel.",4.613,"Assuming the current step needs closing, go ahead to fold down the four open cardboard flaps on top of the small box.",7.6661,3.053,True,64.0
fold the cloth from left to right,adversarial,"Provided the piece of woven material is present before you, kindly initiate a lateral fold by conveying the entirety of its left margin over the central axis to rest seamlessly upon its rightward limit.",3.1948,Fold the left edge of the cloth over the center to the right edge.,6.2686,3.0739,True,64.0
close small4fbox flaps,adversarial,"Assuming the current assembly phase requires sealing, proceed to meticulously collapse the quartet of projecting leaves atop the miniature parcel.",4.613,Fold the four flaps on top of the small box.,7.7176,3.1046,True,64.0
close small4fbox flaps,adversarial,"Assuming the current assembly phase requires sealing, proceed to meticulously collapse the quartet of projecting leaves atop the miniature parcel.",4.613,Fold down the four flaps on top of the small cardboard box.,7.7287,3.1157,True,64.0
close small4fbox flaps,adversarial,"Assuming the current assembly phase requires sealing, proceed to meticulously collapse the quartet of projecting leaves atop the miniature parcel.",4.613,Fold down the four flaps on the small box.,7.7514,3.1383,True,64.0
put spatula on plate sink,adversarial,"Regarding the handheld implement designed for lifting food, kindly transport said item to the uppermost surface of the circular eating vessel located at the sink.",1.6651,Move the green-handled spatula to the top of the pink plate.,4.8038,3.1387,True,64.0
pick up bowl and put in small4fbox,adversarial,"Provided that the small box is entirely unobstructed, the bowl, which you must first securely grasp and lift, should ultimately be relocated directly into it.",3.986,Pick up the light blue bowl and place it in the small box.,7.1292,3.1432,True,64.0
fold the cloth from left to right,adversarial,"Provided the piece of woven material is present before you, kindly initiate a lateral fold by conveying the entirety of its left margin over the central axis to rest seamlessly upon its rightward limit.",3.1948,Fold the left edge of the orange cloth to the right edge.,6.3405,3.1457,True,64.0
close small4fbox flaps,adversarial,"Assuming the current assembly phase requires sealing, proceed to meticulously collapse the quartet of projecting leaves atop the miniature parcel.",4.613,Fold the four flaps atop the small box.,7.7659,3.1529,True,64.0
pick up bowl and put in small4fbox,adversarial,"Provided that the small box is entirely unobstructed, the bowl, which you must first securely grasp and lift, should ultimately be relocated directly into it.",3.986,Put the bowl into the small box.,7.2,3.214,True,64.0
fold the cloth from left to right,adversarial,"Provided the piece of woven material is present before you, kindly initiate a lateral fold by conveying the entirety of its left margin over the central axis to rest seamlessly upon its rightward limit.",3.1948,Fold the orange cloth in half horizontally by taking the left side and placing it over the right side.,6.4343,3.2395,True,64.0
fold the cloth from left to right,adversarial,"Provided the piece of woven material is present before you, kindly initiate a lateral fold by conveying the entirety of its left margin over the central axis to rest seamlessly upon its rightward limit.",3.1948,Fold the left edge of the orange cloth over to the right edge.,6.4758,3.281,True,64.0
fold the cloth from left to right,adversarial,"Provided the piece of woven material is present before you, kindly initiate a lateral fold by conveying the entirety of its left margin over the central axis to rest seamlessly upon its rightward limit.",3.1948,Fold the left edge of the cloth over to the right edge.,6.6216,3.4269,True,64.0
take the red object out of the pot and put it on the left burner,adversarial,"Targeting the red object that currently resides within the confines of the pot, please initiate a retrieval sequence to extract it, culminating in its placement atop the left burner.",2.6423,Take the red object out of the pot and place it on the left burner.,7.2655,4.6233,True,64.0
put spatula on plate sink,adversarial,"Direct your manipulators to grasp the cooking implement used for scraping and sliding under food, subsequently depositing it upon the flat eating vessel that currently resides in the kitchen washbasin.",1.6608,Pick up the toy spatula and place it on the pink plate in the sink.,6.3653,4.7046,True,64.0
put spatula on plate sink,adversarial,"Direct your manipulators to grasp the cooking implement used for scraping and sliding under food, subsequently depositing it upon the flat eating vessel that currently resides in the kitchen washbasin.",1.6608,Pick up the spatula and place it on the pink plate in the sink.,6.5954,4.9347,True,64.0
take the red object out of the pot and put it on the left burner,adversarial,"Targeting the red object that currently resides within the confines of the pot, please initiate a retrieval sequence to extract it, culminating in its placement atop the left burner.",2.6423,Take the red object out of the pot and put it on the left burner.,7.6061,4.9638,True,64.0
put spatula on plate sink,adversarial,"Regarding the handheld implement designed for lifting food, kindly transport said item to the uppermost surface of the circular eating vessel located at the sink.",1.6651,Move the spatula onto the pink plate in the sink.,7.0594,5.3942,True,64.0
put spatula on plate sink,adversarial,"Direct your manipulators to grasp the cooking implement used for scraping and sliding under food, subsequently depositing it upon the flat eating vessel that currently resides in the kitchen washbasin.",1.6608,Pick up the spatula and put it on the plate in the sink.,7.2592,5.5984,True,64.0
put spatula on plate sink,adversarial,"Direct your manipulators to grasp the cooking implement used for scraping and sliding under food, subsequently depositing it upon the flat eating vessel that currently resides in the kitchen washbasin.",1.6608,Pick up the spatula and place it on the plate in the sink.,7.2871,5.6264,True,64.0
put spatula on plate sink,adversarial,"Regarding the handheld implement designed for lifting food, kindly transport said item to the uppermost surface of the circular eating vessel located at the sink.",1.6651,Put the spatula on top of the plate at the sink.,7.4544,5.7893,True,64.0
put spatula on plate sink,adversarial,"Regarding the handheld implement designed for lifting food, kindly transport said item to the uppermost surface of the circular eating vessel located at the sink.",1.6651,Put the spatula on the plate at the sink.,7.5533,5.8882,True,64.0
take carrot out of pot cardboard fence,natural,Pull the carrot out of the pot in the cardboard fence.,8.3491,Thinking Process:,1.4132,-6.9359,True,64.0
take spatula off plate sink,natural,Please take the spatula off the plate and put it in the sink basin.,7.5811,Thinking Process:,0.8081,-6.773,True,64.0
put banana in colander,natural,Pop the banana into the colander.,8.3445,Thinking Process:,2.0268,-6.3177,True,64.0
take spatula off plate sink,natural,Please take the spatula off the plate and put it in the sink basin.,7.5811,Pick up the green spatula from the pink plate and place it in the gray sink basin.,1.6495,-5.9315,True,64.0
zip zipper bag,natural,Close the zipper bag.,7.6535,Thinking Process:,2.3012,-5.3523,True,64.0
put knife in pot cardboard fence,natural,Put the knife inside the cardboard fence next to the pot.,8.2144,Thinking Process:,3.1278,-5.0866,True,64.0
fold the cloth from bottom left to top right,natural,Fold the towel diagonally by moving the bottom left edge to the top right.,6.7555,Thinking Process:,1.946,-4.8095,True,64.0
put brush into pot or pan,natural,Put the bristled cleaning tool into the skillet or the saucepan.,6.3943,Thinking Process:,1.735,-4.6593,True,64.0
put sushi in pot or pan,natural,I need you to move the sushi over to the pot or the pan.,7.8451,Thinking Process:,3.2749,-4.5702,True,64.0
pick up bowl and put in small4fbox,natural,Take the ceramic bowl and set it down in the small box.,7.1973,Thinking Process:,2.9653,-4.232,True,64.0
flip orange pot upright in sink,natural,Set the orange pot upright inside the sink.,6.7191,Thinking Process:,2.6109,-4.1083,True,64.0
close the drawer,natural,Shut the drawer.,8.6503,Thinking Process:,4.591,-4.0593,True,64.0
fold the cloth from bottom left to top right,natural,Fold the towel diagonally by moving the bottom left edge to the top right.,6.7555,Pull the bottom left corner of the blue towel over to the top right to fold it diagonally.,2.9639,-3.7915,True,64.0
put sweet potato in pot,natural,Transfer the sweet potato over to the pot.,6.958,Move the yellow toy potato into the silver pot.,3.5093,-3.4487,True,64.0
put eggplant into pan,natural,I need you to put the eggplant into the frying pan.,6.488,Thinking Process:,3.1215,-3.3665,True,64.0
put potato on plate,natural,The plate needs to have the potato placed on it.,7.3114,Thinking Process:,3.9756,-3.3358,True,64.0
put broccoli in pot or pan,natural,"In the pot or pan, please put the broccoli.",7.5864,Thinking Process:,4.339,-3.2474,True,64.0
put carrot on cutting board,natural,Shift the carrot to the cutting board.,7.8535,Thinking Process:,4.6077,-3.2458,True,64.0
open oven,natural,Swing the door to the oven open.,8.4962,Thinking Process:,5.2716,-3.2246,True,64.0
put corn on plate,natural,Place the corn onto the plate.,7.9313,Thinking Process:,4.771,-3.1604,True,64.0
put sweet potato in pot,natural,Transfer the sweet potato over to the pot.,6.958,Thinking Process:,4.0089,-2.9491,True,64.0
put small spoon from basket to tray,natural,Move the little spoon out of the basket and onto the tray.,7.1564,Thinking Process:,4.36,-2.7965,True,64.0
pick up violet Allen key,natural,Grab the violet hex key.,7.1451,Thinking Process:,4.3751,-2.77,True,64.0
put sweet potato in pot which is in sink,natural,Grab the sweet potato and drop it in the pot that's resting in the sink.,6.7359,Thinking Process:,4.0135,-2.7224,True,64.0
put green squash in pot or pan,natural,Move the green vegetable into a pot or a pan.,6.0898,Thinking Process:,3.4234,-2.6665,True,64.0
unfold the cloth from top to bottom,natural,Spread out the fabric by pulling it downwards,5.8323,Thinking Process:,3.4491,-2.3832,True,64.0
fold the cloth from the top left to the bottom right,natural,Fold the upper left part of the textile down to the lower right.,6.776,Thinking Process:,4.4446,-2.3314,True,64.0
pick up pot from sink,natural,Lift the pot up out of the washbasin.,1.7735,Take the pot out of the washbasin.,-0.2897,-2.0632,True,64.0
close oven,natural,Shut the oven door.,8.3105,Thinking Process:,6.2503,-2.0602,True,64.0
put pot in sink,natural,The pot should be placed in the sink.,7.4019,Thinking Process:,5.37,-2.032,True,64.0
open fridge,natural,Get the refrigerator open for me.,7.5521,Thinking Process:,5.6098,-1.9422,True,64.0
put sushi in pot or pan,natural,I need you to move the sushi over to the pot or the pan.,7.8451,Place the toy sushi in the silver pot.,5.9031,-1.9419,True,64.0
unfold the cloth from bottom left to top right,natural,Unfold the fabric by pulling its lower left corner up to the top right,5.1325,Pull the lower left corner of the fabric to the top right to unfold it.,3.1997,-1.9329,True,64.0
put small spoon from basket to tray,natural,Move the little spoon out of the basket and onto the tray.,7.1564,Transfer the small silver utensil from the grey container to the black organizer.,5.2578,-1.8987,True,64.0
put sushi in pot or pan,natural,I need you to move the sushi over to the pot or the pan.,7.8451,Move the sushi to the pot.,5.9858,-1.8593,True,64.0
turn faucet left,natural,Shift the faucet over to the left.,6.7591,Thinking Process:,4.9558,-1.8033,True,64.0
put knife in pot cardboard fence,natural,Put the knife inside the cardboard fence next to the pot.,8.2144,Place the yellow-handled toy knife inside the cardboard-bordered wooden cutting area beside the amber-colored translucent toy pot.,6.5208,-1.6936,True,64.0
close fridge,natural,Swing the fridge door shut.,8.3683,Thinking Process:,6.6999,-1.6684,True,64.0
move the cloth from left to right,natural,Take the piece of fabric on the left and put it on the right.,6.1998,Thinking Process:,4.5372,-1.6626,True,64.0
pick up pot from sink,natural,Lift the pot up out of the washbasin.,1.7735,Thinking Process:,0.1251,-1.6484,True,64.0
put sushi in pot or pan,natural,I need you to move the sushi over to the pot or the pan.,7.8451,Put the sushi in the pot.,6.215,-1.63,True,64.0
put the blue figure on the top edge of the cloth,natural,Place the blue figure on the upper edge of the cloth.,5.7931,Put the blue figurine on the top border of the orange fabric.,4.2875,-1.5056,True,64.0
unfold the cloth from bottom left to top right,natural,Unfold the fabric by pulling its lower left corner up to the top right,5.1325,Thinking Process:,3.6619,-1.4707,True,64.0
close fridge,natural,Swing the fridge door shut.,8.3683,Push the grey door closed.,6.9152,-1.4532,True,64.0
open oven,natural,Swing the door to the oven open.,8.4962,Pull the black handle on the grey toy oven door to swing it open.,7.1147,-1.3815,True,64.0
pick up pot from sink,natural,Lift the pot up out of the washbasin.,1.7735,Lift the pot out of the washbasin.,0.5053,-1.2682,True,64.0
unfold the cloth from top to bottom,natural,Spread out the fabric by pulling it downwards,5.8323,Pull the fabric toward the bottom of the stove.,4.6013,-1.231,True,64.0
close microwave,natural,Make sure the microwave is completely closed.,8.4716,Thinking Process:,7.2756,-1.196,True,64.0
put corn in pan which is on stove,natural,"In the pan on the stove, please put the corn.",6.2146,Place the yellow plastic corn in the small silver pan on the stovetop.,5.0374,-1.1773,True,64.0
put brush into pot or pan,natural,Put the bristled cleaning tool into the skillet or the saucepan.,6.3943,Put the yellow brush in the silver pot.,5.2786,-1.1157,True,64.0
unfold the cloth from top to bottom,natural,Spread out the fabric by pulling it downwards,5.8323,Pull the fabric downwards to spread it out on the stovetop.,4.7301,-1.1022,True,64.0
put eggplant into pot or pan,natural,"Toss the eggplant into the pan, or the pot if you prefer.",6.7062,Place the purple eggplant in the metal pot.,5.6352,-1.071,True,64.0
put eggplant into pan,natural,I need you to put the eggplant into the frying pan.,6.488,Place the purple eggplant into the silver cooking pot.,5.4675,-1.0205,True,64.0
end effector transition from object to object,natural,Transfer the robot hand from the first piece to the second one.,1.1992,Move the robot hand from the first piece to the second one.,0.2118,-0.9874,True,64.0
put banana in colander,natural,Pop the banana into the colander.,8.3445,Place the yellow banana into the silver colander.,7.3612,-0.9833,True,64.0
take carrot out of pot cardboard fence,natural,Pull the carrot out of the pot in the cardboard fence.,8.3491,Take the carrot out of the pot.,7.468,-0.881,True,64.0
put corn on plate,natural,Place the corn onto the plate.,7.9313,Place the yellow toy corn onto the pink plate.,7.1385,-0.7928,True,64.0
unfold the cloth from bottom left to top right,natural,Unfold the fabric by pulling its lower left corner up to the top right,5.1325,Flatten the yellow cloth by dragging its bottom-left corner toward the upper-right area.,4.345,-0.7875,True,64.0
unfold the cloth from bottom left to top right,natural,Unfold the fabric by pulling its lower left corner up to the top right,5.1325,Open up the yellow cloth by dragging its bottom-left edge toward the upper-right area.,4.3782,-0.7543,True,64.0
move the cloth to the left of the table,natural,Put the cloth on the left side of the table.,5.9516,Thinking Process:,5.203,-0.7486,True,64.0
put carrot on cutting board,natural,Shift the carrot to the cutting board.,7.8535,Move the orange toy carrot onto the light green toy cutting board.,7.1188,-0.7347,True,64.0
end effector transition from object to object,natural,Transfer the robot hand from the first piece to the second one.,1.1992,Move the gripper from the first piece to the second one.,0.4673,-0.7319,True,64.0
fold the cloth from the top left to the bottom right,natural,Fold the upper left part of the textile down to the lower right.,6.776,Bend the top-left corner of the orange cloth towards the bottom-right.,6.0763,-0.6997,True,64.0
put brush into pot or pan,natural,Put the bristled cleaning tool into the skillet or the saucepan.,6.3943,Put the yellow scrub brush into the silver saucepan.,5.7335,-0.6608,True,64.0
move the cloth from left to right,natural,Take the piece of fabric on the left and put it on the right.,6.1998,Move the green cloth from the left side to the right side.,5.5407,-0.6591,True,64.0
turn faucet front to right,natural,Turn the frontmost tap to the right.,7.8605,Turn the grey tap to the right.,7.2198,-0.6407,True,64.0
move the cloth to the left of the table,natural,Put the cloth on the left side of the table.,5.9516,Place the blue cloth on the left-hand side of the wooden table.,5.3234,-0.6282,True,64.0
put sweet potato in pot which is in sink,natural,Grab the sweet potato and drop it in the pot that's resting in the sink.,6.7359,Grab the red toy sweet potato and drop it in the silver pot that's resting in the sink.,6.1446,-0.5913,True,64.0
flip cup upright,natural,Could you flip the drinking cup so it stands on its base?,7.0194,Flip the pink cup so it stands on its base.,6.4496,-0.5697,True,64.0
put broccoli in pot or pan,natural,"In the pot or pan, please put the broccoli.",7.5864,Please put the green toy broccoli floret in the silver toy cooking pot.,7.0299,-0.5565,True,64.0
close the drawer,natural,Shut the drawer.,8.6503,Close the red-faced drawer.,8.1181,-0.5322,True,64.0
put eggplant into pot or pan,natural,"Toss the eggplant into the pan, or the pot if you prefer.",6.7062,Put the eggplant into the pot.,6.1929,-0.5134,True,64.0
move the cloth to the left of the table,natural,Put the cloth on the left side of the table.,5.9516,Place the cloth on the left side of the table.,5.4745,-0.4771,True,64.0
put the blue figure on the top edge of the cloth,natural,Place the blue figure on the upper edge of the cloth.,5.7931,Thinking Process:,5.3332,-0.4599,True,64.0
zip zipper bag,natural,Close the zipper bag.,7.6535,Zip the black bag shut.,7.2161,-0.4375,True,64.0
