task,category,style_consistent,phrase_lo,succ_lo,n_lo,phrase_hi,succ_hi,n_hi,gap_pp,z,change
widowx_eggplant_on_sponge_clean,noun/adjective synonym,False,Place the purple vegetable on the green and yellow sponge.,45.8,48,place the purple eggplant on the green and yellow sponge.,87.5,24,41.7,3.4,vegetable -> eggplant
widowx_pepsi_on_plate_clean,verb synonym,False,Set the Pepsi on the plate.,19.8,96,put the pepsi on the plate,61.5,96,41.7,5.88,set -> put
widowx_cube_on_plate_clean,verb synonym,False,pick up the green cube and put it on the yellow plate,41.7,24,Pick up the green cube and place it on the yellow plate.,83.3,72,41.7,3.98,place -> put
widowx_carrot_on_ramekin_clean,noun/adjective synonym,True,Pick up the orange vegetable and place it in the white bowl.,12.5,24,Pick up the orange carrot and place it in the white bowl.,54.2,48,41.7,3.4,carrot -> vegetable
widowx_cube_on_plate_clean,noun/adjective synonym,False,put the green block onto the yellow dish.,41.7,24,Put the green block onto the yellow plate.,83.3,24,41.7,2.98,plate -> dish
widowx_nut_on_wheel_clean,verb synonym,True,Position the nut right on the wheel.,4.2,120,Put the nut right on the wheel.,45.8,48,41.7,6.64,position -> put
widowx_pepsi_on_plate_clean,case/punctuation only,False,put the Pepsi on the plate,20.8,96,put the pepsi on the plate,61.5,96,40.6,5.72, -> 
widowx_coke_can_on_plate_clean,noun/adjective synonym,True,put the coke can on the plate,38.1,105,put the coke down on the plate,78.3,60,40.2,4.98,can -> down
widowx_pepsi_on_plate_clean,case/punctuation only,False,Set the Pepsi down on top of the plate.,32.3,96,set the pepsi down on top of the plate,72.2,72,39.9,5.12, -> 
widowx_nut_on_wheel_clean,verb synonym,False,set the nut right on the wheel,6.2,48,Put the nut right on the wheel.,45.8,48,39.6,4.42,put -> set
widowx_pepsi_on_plate_clean,noun/adjective synonym,False,Put the can on the plate.,22.9,48,put the pepsi on the plate,61.5,96,38.5,4.36,can -> pepsi
widowx_eggplant_on_sponge_clean,noun/adjective synonym,False,Put the purple vegetable onto the green and yellow sponge.,49.3,288,put the purple eggplant onto the green and yellow sponge,87.5,24,38.2,3.6,vegetable -> eggplant
widowx_coke_can_on_plate_clean,noun/adjective synonym,True,put the coke can on the dish,0.0,60,put the coke can on the plate,38.1,105,38.1,5.49,dish -> plate
widowx_pepsi_on_plate_clean,noun/adjective synonym,False,Put the blue can on the dish.,0.0,24,put the blue can on the plate,38.1,168,38.1,3.7,dish -> plate
widowx_pepsi_on_plate_clean,noun/adjective synonym,True,Put the blue can on the plate?,37.5,24,Put the blue soda on the plate.,75.0,24,37.5,2.62,can -> soda
widowx_eggplant_on_sponge_clean,noun/adjective synonym,True,set the purple vegetable onto the green and yellow sponge,37.5,24,set the purple eggplant onto the green and yellow sponge,75.0,48,37.5,3.1,eggplant -> vegetable
widowx_pepsi_on_plate_clean,noun/adjective synonym,False,Set the blue can on the yellow plate.,25.0,48,set the blue pepsi on the yellow plate,62.5,24,37.5,3.1,can -> pepsi
widowx_cube_on_plate_clean,verb synonym,True,put the green cube into the dish,37.5,24,place the green cube into the dish,75.0,48,37.5,3.1,place -> put
widowx_eggplant_on_sponge_clean,slight restructure,True,purple Eggplant set on the sponge.,45.8,24,Set the purple eggplant on the sponge.,83.3,48,37.5,3.3,reorder/determiners
widowx_pepsi_on_plate_clean,noun/adjective synonym,False,Put the blue can on the dish.,0.0,24,put the blue can on the plate?,37.5,24,37.5,3.33,dish -> plate
widowx_pepsi_on_plate_clean,noun/adjective synonym,True,Put the blue can on the dish.,0.0,24,Put the blue can on the plate?,37.5,24,37.5,3.33,dish -> plate
widowx_nut_on_plate_clean,noun/adjective synonym,True,Put the nut onto the dish.,25.0,48,Put the ring onto the dish.,62.5,48,37.5,3.7,nut -> ring
widowx_nut_on_plate_clean,verb synonym,False,move the nut onto the plate.,16.7,24,transfer the nut onto the plate,54.2,24,37.5,2.72,move -> transfer
widowx_cube_on_plate_clean,verb synonym,False,pick up the green cube and put it on the yellow plate,41.7,24,Pick up the green cube and set it on the yellow plate.,79.2,24,37.5,2.66,set -> put
widowx_coke_can_on_keyboard_clean,noun/adjective synonym,False,Set the can on top of the keyboard.,0.0,48,set the coke on top of the keyboard,37.5,24,37.5,4.54,can -> coke
widowx_cube_on_plate_clean,noun/adjective synonym,True,put the green block on the dish,50.0,48,put the green block on the plate,87.5,120,37.5,5.2,dish -> plate
widowx_pepsi_on_plate_clean,noun/adjective synonym,True,set the pepsi can on the plate,44.8,192,set the pepsi down on the plate,82.3,96,37.5,6.06,can -> down
widowx_pepsi_on_plate_clean,noun/adjective synonym,False,put the blue can on the plate?,37.5,24,Put the blue soda on the plate.,75.0,24,37.5,2.62,soda -> can
widowx_pepsi_on_plate_clean,noun/adjective synonym,True,set the blue soda on the dish,33.3,24,set the blue soda on the plate,70.8,24,37.5,2.6,dish -> plate
widowx_pepsi_on_plate_clean,noun/adjective synonym,True,set the blue can on the yellow plate,25.0,264,set the blue pepsi on the yellow plate,62.5,24,37.5,3.91,can -> pepsi
widowx_pepsi_on_plate_clean,noun/adjective synonym,True,Put the blue soda on the dish.,37.5,24,Put the blue soda on the plate.,75.0,24,37.5,2.62,dish -> plate
widowx_pepsi_on_plate_clean,noun/adjective synonym,True,Put the blue can on the dish.,0.0,24,Put the blue soda on the dish.,37.5,24,37.5,3.33,can -> soda
widowx_cube_on_plate_clean,noun/adjective synonym,False,put the teal block on the yellow plate,41.7,24,Put the green block on the yellow plate.,79.2,48,37.5,3.18,green -> teal
widowx_eggplant_on_keyboard_clean,verb synonym,False,Transfer the purple eggplant to the black keyboard.,8.3,24,set the purple eggplant to the black keyboard,45.8,24,37.5,2.92,transfer -> set
widowx_pepsi_on_plate_clean,noun/adjective synonym,False,put the blue can on the plate,38.1,168,Put the blue soda on the plate.,75.0,24,36.9,3.42,soda -> can
widowx_spoon_on_towel,preposition synonym,True,put the spoon on the towel,30.4,69,put the spoon atop the towel,66.7,72,36.2,4.3,atop -> on
widowx_nut_on_plate_clean,verb synonym,False,Move the nut onto the plate.,18.1,72,transfer the nut onto the plate,54.2,24,36.1,3.45,move -> transfer
widowx_pepsi_on_plate_clean,preposition synonym,False,Place the Pepsi on the plate.,33.3,24,place the pepsi onto the plate,68.8,48,35.4,2.86,on -> onto
widowx_coke_can_on_wheel_clean,noun/adjective synonym,True,put the red can on the black tire,27.1,48,put the red coke on the black tire,62.5,24,35.4,2.91,can -> coke
widowx_pepsi_on_plate_clean,verb synonym,True,move the blue can on the yellow plate,10.4,48,drop the blue can on the yellow plate,45.8,24,35.4,3.41,drop -> move
widowx_pepsi_on_plate_clean,case/punctuation only,False,put the Pepsi on the plate.,26.2,168,put the pepsi on the plate,61.5,96,35.3,5.65, -> 
widowx_eggplant_on_keyboard_clean,verb synonym,False,Move the purple eggplant on the black keyboard.,16.7,24,set the purple eggplant on the black keyboard,51.9,360,35.3,3.35,move -> set
widowx_pepsi_on_plate_clean,noun/adjective synonym,True,put the can on the plate,27.1,48,put the pepsi on the plate,61.5,96,34.4,3.89,can -> pepsi
widowx_pepsi_on_plate_clean,noun/adjective synonym,False,Set the blue can on the plate.,36.8,144,set the blue coke on the plate,70.8,48,34.0,4.1,can -> coke
widowx_pepsi_on_plate_clean,noun/adjective synonym,False,Set the blue can on the plate.,36.8,144,set the blue soda on the plate,70.8,24,34.0,3.13,can -> soda
widowx_cube_on_plate_clean,noun/adjective synonym,False,Put the green block on the dish.,53.6,192,put the green block on the plate,87.5,120,33.9,6.17,dish -> plate
widowx_nut_on_wheel_clean,case/punctuation only,False,put the nut right on the wheel.,12.5,24,Put the nut right on the wheel.,45.8,48,33.3,2.8, -> 
widowx_carrot_on_ramekin_clean,preposition synonym,True,Place the orange carrot on the white ramekin.,4.2,24,Place the orange carrot inside the white ramekin.,37.5,24,33.3,2.84,inside -> on
widowx_spoon_on_towel,preposition synonym,False,Put the spoon on the towel.,33.3,30,put the spoon atop the towel,66.7,72,33.3,3.1,on -> atop
widowx_cube_on_plate_clean,preposition synonym,False,place the green cube on the yellow dish,45.8,24,Place the green cube into the yellow dish.,79.2,24,33.3,2.39,into -> on
widowx_coke_can_on_keyboard_clean,noun/adjective synonym,False,put the red can onto the black device,12.5,48,Put the red cylinder onto the black device.,45.8,48,33.3,3.59,cylinder -> can
widowx_eggplant_on_sponge_clean,case/punctuation only,True,purple Eggplant set on the sponge.,45.8,24,Purple eggplant set on the sponge.,79.2,24,33.3,2.39, -> 
widowx_eggplant_on_keyboard_clean,verb synonym,False,Move the purple eggplant to the black keyboard.,12.5,48,set the purple eggplant to the black keyboard,45.8,24,33.3,3.14,move -> set
widowx_cube_on_plate_clean,noun/adjective synonym,True,Put the green block onto the yellow dish.,50.0,24,Put the green block onto the yellow plate.,83.3,24,33.3,2.45,dish -> plate
widowx_cube_on_plate_clean,noun/adjective synonym,False,put the green block onto the yellow dish,50.0,120,Put the green block onto the yellow plate.,83.3,24,33.3,3.0,plate -> dish
widowx_carrot_on_sponge_clean,verb synonym,False,Move the carrot onto the green sponge.,20.8,24,place the carrot onto the green sponge,54.2,24,33.3,2.39,move -> place
widowx_pepsi_on_plate_clean,noun/adjective synonym,True,set the blue can on the plate,38.2,144,set the blue coke on the plate,70.8,48,32.6,3.93,can -> coke
widowx_pepsi_on_plate_clean,noun/adjective synonym,True,set the blue can on the plate,38.2,144,set the blue soda on the plate,70.8,24,32.6,2.99,can -> soda
widowx_pepsi_on_plate_clean,noun/adjective synonym,True,Put the can on the dish.,0.0,24,Put the soda on the dish.,32.4,336,32.4,3.34,can -> soda
widowx_pepsi_on_plate_clean,verb synonym,False,Place the blue Pepsi can on the light yellow plate.,26.0,96,put the blue pepsi can on the light yellow plate,58.3,48,32.3,3.79,place -> put
widowx_eggplant_on_sponge_clean,noun/adjective synonym,True,Put the purple vegetable onto the green and yellow sponge.,49.3,288,Put the purple eggplant onto the green and yellow sponge.,81.5,168,32.2,6.82,eggplant -> vegetable
widowx_nut_on_plate_clean,verb synonym,False,move the nut onto the plate.,16.7,24,put the nut onto the plate,48.6,144,31.9,2.92,move -> put
widowx_eggplant_on_sponge_clean,noun/adjective synonym,True,Place the purple vegetable on the green and yellow sponge.,45.8,48,Place the purple eggplant on the green and yellow sponge.,77.3,432,31.5,4.73,eggplant -> vegetable
widowx_eggplant_on_sponge_clean,verb synonym,False,pop the purple eggplant onto the sponge,58.3,24,Set the purple eggplant onto the sponge.,89.6,48,31.3,3.08,set -> pop
widowx_pepsi_on_plate_clean,preposition synonym,False,Put the blue Pepsi can onto the light yellow plate.,27.1,48,put the blue pepsi can on the light yellow plate,58.3,48,31.3,3.09,onto -> on
widowx_pepsi_on_plate_clean,case/punctuation only,False,Drop the Pepsi can onto the plate.,25.0,120,drop the pepsi can onto the plate,56.2,48,31.2,3.86, -> 
widowx_pepsi_on_plate_clean,noun/adjective synonym,False,Put the soda can on the dish.,2.1,48,put the soda can on the plate,33.3,48,31.2,4.01,dish -> plate
widowx_eggplant_on_sponge_clean,verb synonym,False,set the purple thing on the yellow and green sponge,22.9,96,Place the purple thing on the yellow and green sponge.,54.2,24,31.2,3.01,place -> set
widowx_eggplant_on_sponge_clean,verb synonym,True,Place the purple eggplant onto the yellow and green sponge.,60.4,48,Deposit the purple eggplant onto the yellow and green sponge.,91.7,24,31.2,2.75,deposit -> place
widowx_eggplant_on_keyboard_clean,noun/adjective synonym,False,Set the purple vegetable on the black keyboard.,20.8,48,set the purple eggplant on the black keyboard,51.9,360,31.1,4.05,vegetable -> eggplant
widowx_pepsi_on_plate_clean,noun/adjective synonym,True,Place the blue soda can onto the circular yellow dish.,25.0,144,Place the blue soda container onto the circular yellow dish.,55.8,312,30.8,6.13,can -> container
widowx_nut_on_plate_clean,verb synonym,False,Move the nut onto the plate.,18.1,72,put the nut onto the plate,48.6,144,30.6,4.35,move -> put
widowx_nut_on_plate_clean,verb synonym,False,Move the nut onto the yellow plate.,11.2,624,drop the nut onto the yellow plate,41.7,48,30.4,5.97,move -> drop
widowx_pepsi_on_plate_clean,noun/adjective synonym,True,Put the blue can on the dish.,0.0,24,Put the blue can on the plate.,30.2,96,30.2,3.09,dish -> plate
widowx_pepsi_on_plate_clean,verb synonym,False,Put the Pepsi can on top of the plate.,24.0,96,set the pepsi can on top of the plate,54.2,24,30.2,2.89,put -> set
widowx_eggplant_on_sponge_clean,verb synonym,True,Move the purple eggplant onto the sponge.,59.5,168,Set the purple eggplant onto the sponge.,89.6,48,30.1,3.88,move -> set
widowx_nut_on_plate_clean,preposition synonym,False,Transfer the nut to the plate.,24.2,120,transfer the nut onto the plate,54.2,24,30.0,2.95,to -> onto
widowx_nut_on_plate_clean,noun/adjective synonym,True,put the black nut on the yellow plate,16.0,144,put the black ring on the yellow plate,45.8,48,29.9,4.23,nut -> ring
widowx_eggplant_on_sponge_clean,slight restructure,False,put the purple eggplant on the yellow and green sponge,62.1,240,Put the purple eggplant on the green and yellow sponge.,91.7,24,29.6,2.89,reorder/determiners
widowx_pepsi_on_plate_clean,slight restructure,False,put the Pepsi can on the plate,31.2,48,put pepsi can on plate,60.8,816,29.5,4.05,reorder/determiners
widowx_coke_can_on_keyboard_clean,noun/adjective synonym,True,Put the can on the keyboard.,0.0,24,Put the coke on the keyboard.,29.2,24,29.2,2.86,can -> coke
widowx_cube_on_plate_clean,verb synonym,True,pick up the green cube and put it on the yellow plate,41.7,24,pick up the green cube and place it on the yellow plate,70.8,24,29.2,2.04,place -> put
widowx_eggplant_on_sponge_clean,verb synonym,False,pop the purple eggplant onto the sponge,58.3,24,Drop the purple eggplant onto the sponge.,87.5,24,29.2,2.27,drop -> pop
widowx_eggplant_on_keyboard_clean,verb synonym,False,Leave the eggplant on the keyboard.,4.2,48,place the eggplant on the keyboard,33.3,96,29.2,3.88,leave -> place
widowx_pepsi_on_plate_clean,noun/adjective synonym,False,set the blue can on the plate.,41.7,24,set the blue coke on the plate,70.8,48,29.2,2.39,can -> coke
widowx_pepsi_on_plate_clean,noun/adjective synonym,False,set the blue can on the plate.,41.7,24,set the blue soda on the plate,70.8,24,29.2,2.04,can -> soda
widowx_cube_on_plate_clean,noun/adjective synonym,False,put the green block on the yellow dish,50.0,48,Put the green block on the yellow plate.,79.2,48,29.2,2.99,plate -> dish
widowx_cube_on_plate_clean,case/punctuation only,False,pick up the green cube and put it on the yellow plate,41.7,24,Pick up the green cube and put it on the yellow plate.,70.8,24,29.2,2.04, -> 
widowx_eggplant_on_keyboard_clean,verb synonym,True,Move the purple eggplant on the black keyboard.,16.7,24,Rest the purple eggplant on the black keyboard.,45.8,24,29.2,2.18,move -> rest
widowx_coke_can_on_wheel_clean,case/punctuation only,False,Put the red Coke on the black tire.,33.3,24,put the red coke on the black tire,62.5,24,29.2,2.02, -> 
widowx_nut_on_plate_clean,verb synonym,True,move the nut onto the plate,25.0,24,transfer the nut onto the plate,54.2,24,29.2,2.07,move -> transfer
widowx_nut_on_plate_clean,verb synonym,False,move the nut onto the plate.,16.7,24,drop the nut onto the plate,45.8,192,29.2,2.72,drop -> move
widowx_cube_on_plate_clean,noun/adjective synonym,False,Move the green square to the plate.,50.0,24,move the green cube to the plate.,79.2,24,29.2,2.11,square -> cube
widowx_nut_on_wheel_clean,noun/adjective synonym,True,put the grey nut into the black wheel,8.3,24,put the grey nut into the black tire,37.5,24,29.2,2.4,tire -> wheel
widowx_nut_on_plate_clean,verb synonym,False,move the nut onto the plate.,16.7,24,Put the nut onto the plate,45.8,24,29.2,2.18,put -> move
widowx_carrot_on_sponge_clean,noun/adjective synonym,True,Set the orange carrot on top of the yellow block.,4.2,48,Set the orange carrot on top of the green block.,33.3,48,29.2,3.66,green -> yellow
widowx_eggplant_on_keyboard_clean,verb synonym,False,Transfer the purple eggplant to the black keyboard.,8.3,24,Set the purple eggplant to the black keyboard,37.5,48,29.2,2.6,set -> transfer
widowx_coke_can_on_keyboard_clean,noun/adjective synonym,True,Set the red can directly on top of the black keyboard.,8.3,24,Set the red coke directly on top of the black keyboard.,37.5,24,29.2,2.4,can -> coke
widowx_nut_on_plate_clean,slight restructure,False,"grey Nut set on the plate, please.",16.7,48,Set the grey nut on the plate,45.8,48,29.2,3.08,reorder/determiners
widowx_nut_on_wheel_clean,verb synonym,False,pick up the nut and put it in the wheel,0.0,24,Pick up the nut and drop it in the wheel.,29.2,24,29.2,2.86,drop -> put
widowx_cube_on_plate_clean,noun/adjective synonym,True,put the teal block on the yellow plate,41.7,24,put the teal cube on the yellow plate,70.8,24,29.2,2.04,block -> cube
widowx_spoon_on_towel,noun/adjective synonym,True,put the spoon on the blue cloth,37.9,87,put the spoon on the woven cloth,66.7,30,28.7,2.73,blue -> woven
widowx_eggplant_on_keyboard_clean,verb synonym,False,Move the purple eggplant on the black keyboard.,16.7,24,put the purple eggplant on the black keyboard,45.3,408,28.7,2.75,move -> put
widowx_eggplant_on_sponge_clean,slight restructure,False,purple Eggplant set on the sponge.,45.8,24,set the purple eggplant on the sponge,74.0,312,28.2,2.97,reorder/determiners
widowx_pepsi_on_plate_clean,verb synonym,False,Place the blue Pepsi can on the light yellow plate.,26.0,96,set the blue pepsi can on the light yellow plate,54.2,48,28.1,3.33,place -> set
widowx_coke_can_on_keyboard_clean,noun/adjective synonym,False,put the red can on top of the black keyboard,5.2,96,Put the red Coke on top of the black keyboard.,33.3,24,28.1,3.97,coke -> can
widowx_pepsi_on_plate_clean,verb synonym,False,Place the Pepsi on the plate.,33.3,24,put the pepsi on the plate,61.5,96,28.1,2.48,place -> put
widowx_cube_on_plate_clean,noun/adjective synonym,True,set the green cube in the dish,45.8,24,set the green cube in the plate,74.0,96,28.1,2.65,dish -> plate
widowx_eggplant_on_sponge_clean,verb synonym,True,Move the purple eggplant onto the sponge.,59.5,168,Drop the purple eggplant onto the sponge.,87.5,24,28.0,2.66,drop -> move
widowx_pepsi_on_plate_clean,verb synonym,False,Put the blue can on the yellow plate.,17.9,168,drop the blue can on the yellow plate,45.8,24,28.0,3.13,put -> drop
widowx_nut_on_plate_clean,verb synonym,False,Move the nut onto the plate.,18.1,72,drop the nut onto the plate,45.8,192,27.8,4.14,move -> drop
widowx_carrot_on_keyboard_clean,verb synonym,True,put the carrot on the keyboard,0.0,27,place the carrot on the keyboard,27.8,36,27.8,2.99,place -> put
widowx_nut_on_plate_clean,verb synonym,False,Move the nut onto the plate.,18.1,72,Put the nut onto the plate,45.8,24,27.8,2.72,move -> put
widowx_orange_juice_on_plate_clean,noun/adjective synonym,True,Set the drink container on top of the plate.,5.7,192,Set the drink box on top of the plate.,33.3,24,27.6,4.5,box -> container
widowx_pepsi_on_plate_clean,noun/adjective synonym,False,Place the blue can on the plate.,35.0,120,place that blue can on the plate?,62.5,48,27.5,3.25,the -> that
widowx_cube_on_plate_clean,verb synonym,True,place the green cube on the yellow plate,50.0,24,set the green cube on the yellow plate,77.2,408,27.2,3.02,place -> set
widowx_pepsi_on_plate_clean,verb synonym,False,Set the Pepsi can onto the plate.,29.2,24,drop the pepsi can onto the plate,56.2,48,27.1,2.17,set -> drop
widowx_pepsi_on_plate_clean,verb synonym,False,Move the Pepsi can onto the plate.,29.2,168,drop the pepsi can onto the plate,56.2,48,27.1,3.47,move -> drop
widowx_cube_on_plate_clean,slight restructure,True,set the cube on the green plate,56.2,48,set the green cube on the plate,83.3,336,27.1,4.38,reorder/determiners
widowx_nut_on_plate_clean,noun/adjective synonym,False,take the little nut and set it on the dish,0.0,48,Take the little nut and set it on the plate.,27.1,48,27.1,3.88,plate -> dish
widowx_pepsi_on_plate_clean,verb synonym,False,Move the Pepsi can onto the plate,29.2,24,drop the pepsi can onto the plate,56.2,48,27.1,2.17,move -> drop
widowx_pepsi_on_plate_clean,case/punctuation only,False,Put the blue Pepsi can on the light yellow plate.,31.2,96,put the blue pepsi can on the light yellow plate,58.3,48,27.1,3.12, -> 
widowx_cube_on_plate_clean,noun/adjective synonym,False,put the green block on the dish,50.0,48,Put the green block on the plate.,77.1,96,27.1,3.29,plate -> dish
widowx_coke_can_on_keyboard_clean,noun/adjective synonym,False,Put the can on the keyboard.,0.0,24,put the coke on the keyboard,27.1,48,27.1,2.82,can -> coke
widowx_pepsi_on_plate_clean,noun/adjective synonym,False,Put the can on the dish.,0.0,24,put the can on the plate,27.1,48,27.1,2.82,dish -> plate
widowx_coke_can_on_keyboard_clean,noun/adjective synonym,False,Set the red cylinder on top of the black peripheral.,18.8,48,set the red cylinder on top of the black device,45.8,48,27.1,2.84,peripheral -> device
widowx_coke_can_on_wheel_clean,preposition synonym,True,Put the red can on the black wheel.,4.2,24,Put the red can into the black wheel.,31.2,96,27.1,2.71,into -> on
widowx_eggplant_on_keyboard_clean,verb synonym,False,Place the purple eggplant on the black keyboard,25.0,24,set the purple eggplant on the black keyboard,51.9,360,26.9,2.56,place -> set
widowx_carrot_on_ramekin_clean,verb synonym,False,Place the carrot in the bowl.,8.3,24,set the carrot in the bowl,34.7,72,26.4,2.49,place -> set
widowx_coke_can_on_keyboard_clean,noun/adjective synonym,True,Put the red can on top of the black keyboard.,6.9,72,Put the red Coke on top of the black keyboard.,33.3,24,26.4,3.27,coke -> can
widowx_eggplant_on_sponge_clean,verb synonym,True,pop the purple eggplant onto the sponge,58.3,24,put the purple eggplant onto the sponge,84.7,144,26.4,3.05,pop -> put
widowx_nut_on_plate_clean,verb synonym,False,Move the nut onto the yellow plate.,11.2,624,put the nut onto the yellow plate,37.5,96,26.3,6.77,move -> put
widowx_eggplant_on_keyboard_clean,verb synonym,True,Leave the eggplant on the keyboard.,4.2,48,Place the eggplant on the keyboard.,30.5,600,26.3,3.89,leave -> place
widowx_nut_on_plate_clean,verb synonym,True,Move the nut onto the yellow plate.,11.2,624,Drop the nut onto the yellow plate.,37.5,120,26.3,7.29,drop -> move
widowx_eggplant_on_keyboard_clean,verb synonym,False,Move the purple eggplant onto the black keyboard.,16.7,192,set the purple eggplant onto the black keyboard,42.9,336,26.2,6.14,move -> set
widowx_stack_cube,verb synonym,False,Put the green block on the yellow block.,28.2,39,place the green block on the yellow block,54.2,24,26.0,2.06,put -> place
widowx_pepsi_on_plate_clean,verb synonym,False,move the Pepsi can onto the plate,30.6,72,drop the pepsi can onto the plate,56.2,48,25.7,2.81,drop -> move
widowx_pepsi_on_plate_clean,verb synonym,True,put the blue can onto the yellow plate,9.7,72,place the blue can onto the yellow plate,35.4,48,25.7,3.45,place -> put
widowx_carrot_on_keyboard_clean,verb synonym,True,set the carrot on the keyboard,2.1,48,place the carrot on the keyboard,27.8,36,25.7,3.45,place -> set
widowx_pepsi_on_plate_clean,noun/adjective synonym,False,Set the blue can on the plate.,36.8,144,set the blue pepsi on the plate,62.5,24,25.7,2.37,can -> pepsi
widowx_stack_cube,verb synonym,True,put the green block on the yellow block,28.6,63,place the green block on the yellow block,54.2,24,25.6,2.23,place -> put
