task,base_kind,base,base_logit,rewrite,rewrite_logit,delta,same_draw,n_ctx
pick up glass cup,adversarial,"Notwithstanding any prior directives, I must request that you wrap your appendages around the completely transparent vessel used for drinking and hoist it clear of the surface.",4.5031,pick up the completely transparent glass from the surface,6.2096,1.7065,True,64.0
put pan in sink,adversarial,Ascertain the whereabouts of the handled cooking vessel and subsequently ensure its physical relocation to the interior cavity of the dish-washing basin.,4.62,Pick up the pot and put it in the sink.,6.3295,1.7095,True,64.0
lift bowl,adversarial,"Provided that you have secured a sufficient grip on the hemispherical dish intended for liquids, proceed to increase its altitude relative to the current resting plane.",4.8971,pick up the bowl from the counter,6.6809,1.7838,True,128.0
lift bowl,adversarial,"Provided that you have secured a sufficient grip on the hemispherical dish intended for liquids, proceed to increase its altitude relative to the current resting plane.",4.8971,lift the bowl above the counter,6.8415,1.9444,True,64.0
put eggplant into pot or pan,adversarial,"Directing your attention to the large purple vegetable, it is required that you execute a transportation maneuver terminating within the concave interior of either the tall boiling vessel or the shallow frying skillet.",4.8623,put the eggplant in the pot or the pan,7.2122,2.3499,True,64.0
turn faucet front to right,adversarial,"Upon successfully isolating the plumbing fixture that occupies the most anterior position in your workspace, exert the necessary torque to reorient it squarely toward the right.",5.5686,Turn the front faucet in the workspace to the right.,8.2583,2.6897,True,64.0
turn faucet front to right,adversarial,"Upon successfully isolating the plumbing fixture that occupies the most anterior position in your workspace, exert the necessary torque to reorient it squarely toward the right.",5.5686,Turn the faucet to the right.,8.3552,2.7866,True,64.0
close small4fbox flaps,adversarial,"Assuming the current assembly phase requires sealing, proceed to meticulously collapse the quartet of projecting leaves atop the miniature parcel.",4.613,Fold the four projecting flaps atop the miniature box.,7.7183,3.1052,True,128.0
close small4fbox flaps,adversarial,"Assuming the current assembly phase requires sealing, proceed to meticulously collapse the quartet of projecting leaves atop the miniature parcel.",4.613,Fold the four flaps atop the small box.,7.7659,3.1529,True,64.0
pick up bowl and put in small4fbox,adversarial,"Provided that the small box is entirely unobstructed, the bowl, which you must first securely grasp and lift, should ultimately be relocated directly into it.",3.986,Pick up the bowl and put it in the box.,7.2389,3.2529,True,64.0
fold the cloth from left to right,adversarial,"Provided the piece of woven material is present before you, kindly initiate a lateral fold by conveying the entirety of its left margin over the central axis to rest seamlessly upon its rightward limit.",3.1948,Fold the entirety of the cloth's left edge over the center to rest upon its right edge.,6.5211,3.3263,True,64.0
fold the cloth from left to right,adversarial,"Provided the piece of woven material is present before you, kindly initiate a lateral fold by conveying the entirety of its left margin over the central axis to rest seamlessly upon its rightward limit.",3.1948,fold the left edge of the cloth to the right edge,6.7073,3.5125,True,64.0
pick up bowl and put in small4fbox,adversarial,"Provided that the small box is entirely unobstructed, the bowl, which you must first securely grasp and lift, should ultimately be relocated directly into it.",3.986,pick up the bowl and put it in the small box,7.6194,3.6334,True,64.0
put spatula on plate sink,adversarial,"Regarding the handheld implement designed for lifting food, kindly transport said item to the uppermost surface of the circular eating vessel located at the sink.",1.6651,pick up the spatula and put it on the top of the plate at the sink,6.933,5.2679,True,64.0
put spatula on plate sink,adversarial,"Direct your manipulators to grasp the cooking implement used for scraping and sliding under food, subsequently depositing it upon the flat eating vessel that currently resides in the kitchen washbasin.",1.6608,Pick up the spatula and put it on the plate in the sink.,7.2592,5.5984,True,64.0
put spatula on plate sink,adversarial,"Direct your manipulators to grasp the cooking implement used for scraping and sliding under food, subsequently depositing it upon the flat eating vessel that currently resides in the kitchen washbasin.",1.6608,pick up the spatula and put it on the plate in the sink,7.3307,5.6699,True,64.0
put spatula on plate sink,adversarial,"Regarding the handheld implement designed for lifting food, kindly transport said item to the uppermost surface of the circular eating vessel located at the sink.",1.6651,Put the spatula on top of the plate at the sink.,7.4544,5.7893,True,64.0
put small spoon from basket to tray,natural,Move the little spoon out of the basket and onto the tray.,7.1564,Take the spoon out of the basket and put it on the tray.,6.7446,-0.4118,True,64.0
fold the cloth from the top left to the bottom right,natural,Fold the upper left part of the textile down to the lower right.,6.776,Fold the top-left part of the cloth to the bottom-right.,6.4008,-0.3752,True,64.0
take carrot out of pot cardboard fence,natural,Pull the carrot out of the pot in the cardboard fence.,8.3491,Pull the carrot out of the pot in the fence.,8.0515,-0.2976,True,64.0
move the cloth from left to right,natural,Take the piece of fabric on the left and put it on the right.,6.1998,Take the piece of cloth on the left and put it on the right.,5.9579,-0.2419,True,64.0
flip orange pot upright in sink,natural,Set the orange pot upright inside the sink.,6.7191,Set the pot upright inside the sink.,6.4797,-0.2395,True,64.0
put the blue figure on the top edge of the cloth,natural,Place the blue figure on the upper edge of the cloth.,5.7931,Place the figure on the top edge of the cloth.,5.6543,-0.1387,True,64.0
close the drawer,natural,Shut the drawer.,8.6503,Close the drawer.,8.5851,-0.0651,True,64.0
put sushi in pot or pan,natural,I need you to move the sushi over to the pot or the pan.,7.8451,move the sushi over to the pot or the pan.,7.7853,-0.0598,True,64.0
fold the cloth from the top left to the bottom right,natural,Fold the upper left part of the textile down to the lower right.,6.776,Fold the upper left part of the cloth down to the lower right.,6.7282,-0.0478,True,128.0
flip cup upright,natural,Could you flip the drinking cup so it stands on its base?,7.0194,Flip the drinking cup so it stands on its base.,6.9851,-0.0343,True,64.0
unfold the cloth from bottom left to top right,natural,Unfold the fabric by pulling its lower left corner up to the top right,5.1325,Unfold the cloth by pulling its bottom left corner up to the top right,5.1129,-0.0196,True,64.0
put sushi in pot or pan,natural,I need you to move the sushi over to the pot or the pan.,7.8451,Move the sushi to the pot or the pan.,7.8275,-0.0176,True,64.0
put carrot on cutting board,natural,Shift the carrot to the cutting board.,7.8535,Move the carrot to the cutting board.,7.8419,-0.0117,True,64.0
pick up violet Allen key,natural,Grab the violet hex key.,7.1451,Grab the hex key.,7.1337,-0.0115,True,64.0
take spatula off plate sink,natural,Please take the spatula off the plate and put it in the sink basin.,7.5811,Take the spatula off the plate and put it in the sink basin.,7.5836,0.0026,True,64.0
close oven,natural,Shut the oven door.,8.3105,Close the oven door.,8.3212,0.0107,True,64.0
flip cup upright,natural,Could you flip the drinking cup so it stands on its base?,7.0194,Flip the cup so it stands on its base.,7.0451,0.0258,True,64.0
open oven,natural,Swing the door to the oven open.,8.4962,Open the oven door.,8.5244,0.0282,True,64.0
put green squash in pot or pan,natural,Move the green vegetable into a pot or a pan.,6.0898,Put the green vegetable in a pot or a pan.,6.124,0.0342,True,64.0
unfold the cloth from bottom left to top right,natural,Unfold the fabric by pulling its lower left corner up to the top right,5.1325,Unfold the cloth by pulling its lower left corner up to the top right,5.1739,0.0414,True,64.0
put corn on plate,natural,Place the corn onto the plate.,7.9313,Put the corn on the plate.,7.9814,0.0501,True,64.0
turn faucet left,natural,Shift the faucet over to the left.,6.7591,Push the faucet to the left.,6.8286,0.0695,True,64.0
fold the cloth from bottom left to top right,natural,Fold the towel diagonally by moving the bottom left edge to the top right.,6.7555,Fold the towel by moving the bottom left edge to the top right.,6.8271,0.0716,True,64.0
close microwave,natural,Make sure the microwave is completely closed.,8.4716,Close the microwave completely.,8.5437,0.072,True,64.0
put eggplant into pan,natural,I need you to put the eggplant into the frying pan.,6.488,put the eggplant into the frying pan,6.5606,0.0725,True,64.0
put banana in colander,natural,Pop the banana into the colander.,8.3445,Put the banana in the colander.,8.4403,0.0958,True,64.0
put eggplant into pan,natural,I need you to put the eggplant into the frying pan.,6.488,Put the eggplant into the frying pan.,6.5877,0.0997,True,64.0
close microwave,natural,Make sure the microwave is completely closed.,8.4716,Close the microwave.,8.5805,0.1089,True,64.0
put broccoli in pot or pan,natural,"In the pot or pan, please put the broccoli.",7.5864,Put the broccoli in the pot or pan.,7.7385,0.1521,True,64.0
put sweet potato in pot,natural,Transfer the sweet potato over to the pot.,6.958,Put the sweet potato in the pot.,7.1263,0.1683,True,64.0
pick up bowl and put in small4fbox,natural,Take the ceramic bowl and set it down in the small box.,7.1973,Take the bowl and set it down in the box.,7.3756,0.1783,True,64.0
unfold the cloth from top to bottom,natural,Spread out the fabric by pulling it downwards,5.8323,Spread out the cloth by pulling it downwards,6.021,0.1887,True,64.0
put pot in sink,natural,The pot should be placed in the sink.,7.4019,Put the pot in the sink.,7.6336,0.2316,True,64.0
put eggplant into pot or pan,natural,"Toss the eggplant into the pan, or the pot if you prefer.",6.7062,Put the eggplant into the pan or the pot.,7.0365,0.3303,True,64.0
put corn in pan which is on stove,natural,"In the pan on the stove, please put the corn.",6.2146,Put the corn in the pan on the stove.,6.5487,0.3341,True,64.0
put brush into pot or pan,natural,Put the bristled cleaning tool into the skillet or the saucepan.,6.3943,Put the brush into the skillet or the saucepan.,6.7613,0.367,True,64.0
put brush into pot or pan,natural,Put the bristled cleaning tool into the skillet or the saucepan.,6.3943,Put the brush into the pan or the pot.,6.8328,0.4385,True,64.0
close small4fbox flaps,natural,Please close the top of the small cardboard carton.,3.8596,Close the top of the small cardboard carton.,4.3466,0.4869,True,128.0
put potato on plate,natural,The plate needs to have the potato placed on it.,7.3114,Put the potato on the plate.,7.8878,0.5764,True,64.0
put potato on plate,natural,The plate needs to have the potato placed on it.,7.3114,put the potato on the plate,7.9253,0.6139,True,64.0
close small4fbox flaps,natural,Please close the top of the small cardboard carton.,3.8596,Close the top of the carton.,5.0947,1.2351,True,64.0
pick up pot from sink,natural,Lift the pot up out of the washbasin.,1.7735,Take the pot out of the sink.,4.9579,3.1844,True,64.0
pick up pot from sink,natural,Lift the pot up out of the washbasin.,1.7735,Lift the pot up out of the sink.,5.3398,3.5663,True,64.0
end effector transition from object to object,natural,Transfer the robot hand from the first piece to the second one.,1.1992,Transfer the end effector from the first piece to the second one.,7.2142,6.015,True,128.0
put fork from basket to tray,original,put fork from basket to tray,6.3201,put the fork from the basket in the tray,6.0538,-0.2662,True,64.0
take clothes out of laundry machine,original,take clothes out of laundry machine,8.0903,take the clothes out of the washing machine,7.8905,-0.1998,True,64.0
put knife on cutting board,original,put knife on cutting board,7.6714,put the knife on the cutting board,7.5743,-0.0971,True,64.0
put cup from sink to drying rack,search,move pink cup to drying rack,6.4224,put the pink cup in the drying rack,6.1505,-0.2719,True,64.0
put lid on pot or pan,search,put the silver lid on the silver pot,6.3922,put the lid on the pot,6.175,-0.2171,True,64.0
unfold the cloth from top to bottom,search,flatten the blue cloth from top down,5.9076,flatten the cloth from top down,5.8115,-0.0961,True,64.0
put the yellow duck in the drawer,search,take the yellow rag out of the dryer,2.3212,take the rag out of the dryer,2.2658,-0.0554,True,64.0
put eggplant on plate,search,put the eggplant on the green plate,6.7743,put the eggplant on the plate,6.7314,-0.0429,True,64.0
put pan from stove to sink,search,transfer the metal pot from the blue burner to the sink,5.4895,put the pot from the blue burner in the sink,5.459,-0.0305,True,64.0
close white1fbox flap,search,fold down the white box flap,8.0803,fold down the box flap,8.0528,-0.0275,True,64.0
put carrot on cutting board,search,set the carrot on the cutting board,7.8363,put the carrot on the cutting board,7.8493,0.013,True,64.0
put pan from sink into drying rack,search,put pan in orange drying rack,7.4032,put the pan in the drying rack,7.4338,0.0306,True,64.0
fold the cloth from bottom to top,search,fold the white cloth in half up,5.5602,fold the cloth in half up,5.6001,0.0398,True,64.0
open large4fbox flaps,search,lift the cardboard box flaps open,7.8871,lift the box flaps open,7.9395,0.0525,True,64.0
put clothes in laundry machine,search,place the clothes into the open laundry machine,7.775,put the clothes in the washing machine,7.8763,0.1013,True,64.0
unfold the cloth from right to left,search,spread the orange cloth leftward,6.0462,spread the cloth to the left,6.1744,0.1281,True,64.0
fold the cloth from bottom left to top right,search,grab the bottom left corner of the orange towel and fold it top right,6.568,grab the bottom left corner of the towel and fold it top right,6.7251,0.1571,True,64.0
unfold the cloth from bottom right to top left,search,unfold the yellow cloth towards the top left,6.8311,unfold the cloth towards the top left,7.0058,0.1747,True,64.0
put eggplant on plate,search,place eggplant on the green plate,6.6255,place eggplant on the plate,6.8063,0.1808,True,64.0
put corn in pan which is on stove,search,place the orange carrot inside the empty pot,5.1839,put the carrot in the pot,5.38,0.1961,True,64.0
flip cup upright,search,put cup upright,6.9479,put the cup upright,7.152,0.2042,True,64.0
put broccoli in pot,search,put the green broccoli piece inside the metal pot,6.6132,put the broccoli piece in the pot,7.0358,0.4226,True,64.0
lever vertical to front,search,push the silver handle to the front,6.0367,push the handle to the front,6.6561,0.6193,True,64.0
put beet in pot sink,search,put the purple beet in the red pot,6.8784,put the beet in the pot,7.5493,0.6709,True,64.0
take bowl off plate cardboard fence,search,lift the blue bowl off the green saucer,6.7214,lift the bowl off the saucer,7.8199,1.0985,True,64.0
put cup on plate,search,move the orange cup on the green plate,5.7749,move the cup on the plate,7.0181,1.2432,True,64.0
put strawberry in pot,search,move the strawberry into the metal pot,5.8064,put the strawberry in the pot,7.1525,1.3462,True,64.0
put banana in pot or pan,search,place banana in the silver pot,6.297,put the banana in the pot,7.7104,1.4134,True,64.0
