task,base_kind,base,base_logit,rewrite,rewrite_logit,delta,same_draw,n_ctx
put brush into pot or pan,natural,Put the bristled cleaning tool into the skillet or the saucepan.,6.3943,Put the yellow brush into the skillet or the saucepan.,6.5605,0.1662,True,64.0
put eggplant into pot or pan,natural,"Toss the eggplant into the pan, or the pot if you prefer.",6.7062,Toss the eggplant into the pan or the pot.,6.9663,0.2601,True,64.0
put corn in pan which is on stove,natural,"In the pan on the stove, please put the corn.",6.2146,Put the corn in the pan on the stove.,6.5487,0.3341,True,64.0
close small4fbox flaps,natural,Please close the top of the small cardboard carton.,3.8596,Close the top of the small cardboard carton.,4.3982,0.5386,True,64.0
end effector transition from object to object,natural,Transfer the robot hand from the first piece to the second one.,1.1992,Move the robot hand from the orange cup to the silver colander.,2.8312,1.632,True,64.0
put pepper in pot or pan,original,put pepper in pot or pan,6.3223,put the red pepper in the silver pot or pan,5.7998,-0.5225,True,64.0
put eggplant on plate,original,put eggplant on plate,6.8396,put purple toy eggplant on light-green toy plate,6.5998,-0.2398,True,64.0
take clothes out of laundry machine,original,take clothes out of laundry machine,8.0903,take clothes out of washing machine,7.9071,-0.1832,True,64.0
upright basil bottle cardboard fence,original,upright basil bottle cardboard fence,7.8635,Upright the basil bottle in the cardboard fence.,7.7388,-0.1246,True,64.0
wipe pot with sponge,original,wipe pot with sponge,7.7661,wipe the pot with the sponge,7.7054,-0.0606,True,128.0
fold the cloth from bottom to top,search,fold the white cloth in half up,5.5602,fold the green cloth in half upward,4.3483,-1.2119,True,64.0
unfold the cloth from bottom right to top left,search,unfold the yellow cloth towards the top left,6.8311,unfold the yellow cloth to the top left,6.4974,-0.3337,True,128.0
put eggplant on plate,search,place eggplant on the green plate,6.6255,place the purple toy eggplant on the light-green plate,6.3905,-0.235,True,64.0
put pan from sink into drying rack,search,put pan in orange drying rack,7.4032,put the pan in the orange drying rack,7.2334,-0.1698,True,64.0
close white1fbox flap,search,fold down the white box flap,8.0803,fold the white box flap down,7.9526,-0.1276,True,64.0
put cup on plate,search,move the orange cup on the green plate,5.7749,move the orange cup on the yellow plate,5.6675,-0.1075,True,64.0
turn faucet front to left,search,push the faucet lever to the left,7.8702,push the faucet lever leftward,7.8387,-0.0315,True,64.0
put corn in pan which is on stove,search,place the orange carrot inside the empty pot,5.1839,place the orange carrot in the empty pot,5.1639,-0.02,True,64.0
lever vertical to front,search,push the silver handle to the front,6.0367,push the silver handle forward,6.0604,0.0237,True,64.0
put clothes in laundry machine,search,place the clothes into the open laundry machine,7.775,place the clothes into the open washing machine,7.8125,0.0375,True,64.0
unfold the cloth from right to left,search,spread the orange cloth leftward,6.0462,spread the yellow cloth leftward,6.1004,0.0542,True,64.0
fold the cloth from bottom left to top right,search,grab the bottom left corner of the orange towel and fold it top right,6.568,grab the bottom left corner of the towel and fold it top right,6.7989,0.2309,True,128.0
put the yellow duck in the drawer,search,take the yellow rag out of the dryer,2.3212,take the blue cloth out of the dryer,2.8222,0.501,True,64.0
unfold the cloth from top to bottom,search,flatten the blue cloth from top down,5.9076,flatten the blue cloth from top to bottom,6.5558,0.6482,True,64.0
