task,phrase,kind,proxy,n_ctx,gt_success,source
end effector reaching banana,aim the hand at the toy banana,search,,80,,search_boards
end effector reaching banana,navigate to the toy banana,search,,80,,search_boards
end effector reaching banana,aim the claw at the toy banana,search,,80,,search_boards
end effector reaching banana,aim the claw at the yellow banana,search,,80,,search_boards
end effector reaching banana,reach toward the toy banana,search,,80,,search_boards
end effector reaching banana,grab the yellow banana on the stove,search,,80,,search_boards
end effector reaching carrot,end effector reaching carrot,original,,80,,search_boards
end effector reaching carrot,point gripper at the orange carrot,search,,80,,search_boards
end effector reaching carrot,touch the orange carrot on the right stove grate,search,,80,,search_boards
end effector reaching carrot,touch the orange carrot on the stove,search,,80,,search_boards
end effector reaching carrot,touch the carrot on the stove grate,search,,80,,search_boards
end effector reaching carrot,aim gripper at the orange carrot,search,,80,,search_boards
end effector reaching corn,touch the corn with the gripper,search,,80,,search_boards
end effector reaching corn,end effector reaching corn,original,,80,,search_boards
end effector reaching corn,touch the toy corn with the gripper,search,,80,,search_boards
end effector reaching corn,touch the yellow corn,search,,80,,search_boards
end effector reaching corn,put the gripper next to the corn,search,,80,,search_boards
end effector reaching corn,touch the yellow corn with the gripper,search,,80,,search_boards
end effector reaching corn,position gripper next to the corn,search,,80,,search_boards
end effector reaching corn,reach for the yellow corn on the stove,search,,80,,search_boards
end effector reaching pot or pan,end effector reaching pot or pan,original,,80,,search_boards
end effector reaching pot or pan,bring the gripper to the red toy pot,search,,80,,search_boards
end effector reaching pot or pan,move the gripper to the red toy pot,search,,80,,search_boards
end effector reaching pot or pan,reach for the red pot on the burner,search,,80,,search_boards
end effector reaching pot or pan,touch the red pot on the burner,search,,80,,search_boards
end effector reaching pot or pan,reach for the red cooking pot,search,,80,,search_boards
end effector reaching pot or pan,touch the red plastic pot,search,,80,,search_boards
end effector reaching salmon,[dry-run:gemini] fc8dfe765447,search,0.2050086869119735,80,,loop_gemini
end effector reaching salmon,[dry-run:gemini] 2656346a7b75,search,0.6869161890604483,80,,loop_gemini
end effector reaching salmon,end effector reaching salmon,original,,80,,search_boards
end effector reaching salmon,bring gripper close to the salmon,search,,80,,search_boards
end effector reaching salmon,approach the salmon with the gripper,search,,80,,search_boards
end effector reaching salmon,approach the salmon on the stove,search,,80,,search_boards
end effector reaching salmon,bring gripper close to the pink salmon on the stove,search,,80,,search_boards
end effector reaching salmon,reach toward the salmon on the stove,search,,80,,search_boards
end effector reaching salmon,aim gripper at the salmon,search,,80,,search_boards
end effector reaching salmon,approach the salmon slice with the gripper,search,,80,,search_boards
end effector reaching stuffedrabbit,end effector reaching pink bunny,search,,80,,search_boards
end effector reaching stuffedrabbit,end effector reaching pink stuffed animal,search,,80,,search_boards
end effector reaching stuffedrabbit,end effector reaching pink stuffed rabbit,search,,80,,search_boards
end effector reaching stuffedrabbit,end effector reaching stuffedrabbit,original,,80,,search_boards
end effector reaching stuffedrabbit,end effector reaching pink rabbit,search,,80,,search_boards
end effector reaching stuffedrabbit,place the gripper on the pink stuffed rabbit,search,,80,,search_boards
end effector reaching stuffedrabbit,point gripper at the pink bunny toy,search,,80,,search_boards
end effector reaching stuffedrabbit,place gripper on the pink toy bunny,search,,80,,search_boards
end effector transition from pot or pan to object,end effector transition from pot or pan to object,original,,80,,search_boards
end effector transition from pot or pan to object,end effector transition from bowl to red object,search,,80,,search_boards
end effector transition from pot or pan to object,end effector transition from bowl to red cylinder,search,,80,,search_boards
end effector transition from pot or pan to object,end effector transition from orange bowl to red container,search,,80,,search_boards
end effector transition from pot or pan to object,end effector transition from orange pot to red container,search,,80,,search_boards
end effector transition from pot or pan to object,move hand from orange bowl to the red cylinder,search,,80,,search_boards
end effector transition from pot or pan to object,lift hand from orange bowl and move to red and white object,search,,80,,search_boards
end effector transition from pot or pan to object,move arm from orange bowl to red wheel,search,,80,,search_boards
flip cup upright,rotate cup upright,search,,80,,search_boards
flip cup upright,turn cup upright,search,,80,,search_boards
flip cup upright,flip cup right side up,search,,80,,search_boards
flip cup upright,put cup upright,search,,80,,search_boards
flip cup upright,flip cup upright,original,,80,,search_boards
flip cup upright,turn the light blue cup upright,search,,80,,search_boards
flip cup upright,flip the small blue cup upright,search,,80,,search_boards
flip cup upright,rotate the blue cup upright,search,,80,,search_boards
flip orange pot upright in sink,flip orange pot upright in sink,original,,80,,search_boards
flip orange pot upright in sink,turn the orange cup upright in sink,search,,80,,search_boards
flip orange pot upright in sink,flip the orange cup right side up,search,,80,,search_boards
flip orange pot upright in sink,turn the orange cup upright,search,,80,,search_boards
flip orange pot upright in sink,turn the orange cup right side up,search,,80,,search_boards
flip orange pot upright in sink,turn the orange cup right side up in sink,search,,80,,search_boards
flip orange pot upright in sink,flip the orange cup upright in the sink,search,,80,,search_boards
flip pot upright in sink,flip pot upright in sink,original,,80,,search_boards
flip pot upright in sink,orient the pot right side up in the sink,search,,80,,search_boards
flip pot upright in sink,place the pot right side up in the sink,search,,80,,search_boards
flip pot upright in sink,turn the pot right-side up in the sink,search,,80,,search_boards
flip pot upright in sink,place the pot right-side up in the sink,search,,80,,search_boards
flip pot upright in sink,turn the pot right side up in the sink,search,,80,,search_boards
flip pot upright in sink,orient the pot upright inside the sink,search,,80,,search_boards
flip pot upright in sink,reorient the pot upright in the sink,search,,80,,search_boards
flip pot upright which is in sink,flip pot upright which is in sink,original,,80,,search_boards
flip pot upright which is in sink,flip silver pot upright which is in sink,search,,80,,search_boards
flip pot upright which is in sink,turn pot upright which is in sink,search,,80,,search_boards
flip pot upright which is in sink,flip metal pot upright which is in sink,search,,80,,search_boards
flip pot upright which is in sink,flip the upside down silver pot in the sink,search,,80,,search_boards
flip pot upright which is in sink,turn the silver pot over in the sink,search,,80,,search_boards
flip pot upright which is in sink,flip the pot in the sink right side up,search,,80,,search_boards
fold cloth in half,fold the light beige cloth in half,search,,80,,search_boards
fold cloth in half,fold cloth in half,original,,80,,search_boards
fold cloth in half,fold the beige cloth in half horizontally,search,,80,,search_boards
fold cloth in half,fold the white cloth in half over the burners,search,,80,,search_boards
fold cloth in half,fold the light cloth in half over the burners,search,,80,,search_boards
fold cloth in half,fold the beige cloth in half,search,,80,,search_boards
fold cloth in half,fold the cloth in half over the burners,search,,80,,search_boards
fold cloth in half,fold the cloth in half horizontally,search,,80,,search_boards
fold cloth in half,fold the white cloth on the counter in half,search,,80,,search_boards
fold the cloth from bottom right to top left,[dry-run:gemini] c248b0ea5907,search,0.7906281118749,80,,loop_gemini
fold the cloth from bottom right to top left,[dry-run:gemini] a0a0c38f7214,search,0.8036616281453741,80,,loop_gemini
fold the cloth from bottom right to top left,fold the cloth from bottom right to top left,original,,80,,search_boards
fold the cloth from bottom right to top left,fold the green towel from bottom right to top left,search,,80,,search_boards
fold the cloth from bottom right to top left,diagonally fold the green towel from bottom right to top left,search,,80,,search_boards
fold the cloth from bottom right to top left,diagonally fold the green cloth from bottom right to top left,search,,80,,search_boards
fold the cloth from bottom right to top left,diagonally fold the green cloth from bottom right to top left corner,search,,80,,search_boards
fold the cloth from bottom right to top left,fold the green cloth from the bottom right edge to the top left edge,search,,80,,search_boards
fold the cloth from bottom right to top left,fold the green cloth by moving the bottom right corner to the top left,search,,80,,search_boards
fold the cloth from bottom right to top left,fold the bottom right tape of the green cloth to the top left tape,search,,80,,search_boards
fold the cloth from bottom to top,fold the cloth from bottom to top,original,,80,,search_boards
fold the cloth from bottom to top,fold the bottom of the towel to the top,search,,80,,search_boards
fold the cloth from bottom to top,fold the white cloth in half upwards,search,,80,,search_boards
fold the cloth from bottom to top,fold the white cloth in half up,search,,80,,search_boards
fold the cloth from bottom to top,fold the white towel from bottom to top,search,,80,,search_boards
fold the cloth from left to right,fold the orange cloth in half from left to right,search,,80,,search_boards
fold the cloth from left to right,fold the cloth from left to right,original,,80,,search_boards
fold the cloth from left to right,fold the left tape of the orange cloth to the right,search,,80,,search_boards
fold the cloth from left to right,move the left corner of the orange cloth to the right,search,,80,,search_boards
fold the cloth from left to right,move the left side of the orange cloth to the right,search,,80,,search_boards
fold the cloth from left to right,fold the orange rag from left to right,search,,80,,search_boards
fold the cloth from right to left,fold the cloth from right to left,original,,80,,search_boards
fold the cloth from right to left,gently fold the light green dish cloth on the counter from right to left,search,,80,,search_boards
fold the cloth from right to left,carefully fold the light green dish cloth on the counter from right to left,search,,80,,search_boards
fold the cloth from right to left,fold the light green cleaning cloth on the counter from right to left,search,,80,,search_boards
fold the cloth from right to left,fold the light green dish cloth on the counter from right to left,search,,80,,search_boards
fold the cloth from right to left,fold the cloth on the counter from right to left,search,,80,,search_boards
fold the cloth from right to left,fold the green cloth in half starting from the right,search,,80,,search_boards
fold the cloth from right to left,grasp the right side of the green cloth and fold it left,search,,80,,search_boards
fold the cloth from right to left,fold the right half of the green cloth over to the left,search,,80,,search_boards
fold the cloth from right to left,fold the green dish cloth on the counter from right to left,search,,80,,search_boards
fold the cloth from right to left,gently fold the green cloth on the counter from right to left,search,,80,,search_boards
fold the cloth from right to left,fold the green cleaning cloth on the counter from right to left,search,,80,,search_boards
fold the cloth from right to left,fold the green dish cloth on the counter over to the left,search,,80,,search_boards
fold the cloth from right to left,gently fold the green dish cloth on the counter from right to left,search,,80,,search_boards
fold the cloth from right to left,carefully fold the green dish cloth on the counter from right to left,search,,80,,search_boards
fold the cloth from the bottom to the top,fold the cloth from the bottom to the top,original,,80,,search_boards
fold the cloth from the bottom to the top,fold the light blue towel from bottom to top,search,,80,,search_boards
fold the cloth from the bottom to the top,fold the light blue towel in half from bottom to top,search,,80,,search_boards
fold the cloth from the bottom to the top,fold the bottom half of the blue cloth upward,search,,80,,search_boards
fold the cloth from the bottom to the top,fold the light blue rag from bottom to top,search,,80,,search_boards
fold the cloth from the bottom to the top,fold the light blue cloth from bottom to top,search,,80,,search_boards
fold the cloth from the bottom to the top,grab the bottom edge of the blue cloth and fold it up,search,,80,,search_boards
fold the cloth from the left to the right,fold the cloth from the left to the right,original,,80,,search_boards
fold the cloth from the left to the right,fold the left part of the light blue towel over to the right,search,,80,,search_boards
fold the cloth from the left to the right,grab the left corner of the light blue towel and fold it to the right,search,,80,,search_boards
fold the cloth from the left to the right,fold the left side of the light blue towel to the right,search,,80,,search_boards
fold the cloth from the left to the right,bring the left edge of the light blue towel over to the right,search,,80,,search_boards
fold the cloth from the left to the right,fold the light blue towel in half from left to right,search,,80,,search_boards
fold the cloth from the left to the right,fold the left corner of the blue cloth to the right,search,,80,,search_boards
fold the cloth from the left to the right,fold the blue cloth horizontally from left to right,search,,80,,search_boards
fold the cloth from the left to the right,grab the left side of the blue cloth and fold it right,search,,80,,search_boards
fold the cloth from the top left to the bottom right,fold the cloth from the top left to the bottom right,original,,80,,search_boards
fold the cloth from the top left to the bottom right,fold the cloth from top left to bottom right,search,,80,,search_boards
fold the cloth from the top left to the bottom right,fold the towel from top left to bottom right,search,,80,,search_boards
fold the cloth from the top left to the bottom right,fold the blue cloth starting from top left to bottom right,search,,80,,search_boards
fold the cloth from the top left to the bottom right,fold the blue cloth from top left to bottom right,search,,80,,search_boards
fold the cloth from the top left to the bottom right,fold the blue cloth diagonally from top left to bottom right,search,,80,,search_boards
fold the cloth from the top left to the bottom right,grab the top left corner of the blue towel and fold it to the bottom right,search,,80,,search_boards
fold the cloth from the top left to the bottom right,fold the blue cloth from top left to bottom right corner,search,,80,,search_boards
fold the cloth from top left to bottom right,fold the cloth from top left to bottom right,original,,80,,search_boards
fold the cloth from top left to bottom right,fold the blue rag diagonally from top left to bottom right,search,,80,,search_boards
fold the cloth from top left to bottom right,fold the blue towel diagonally from top left to bottom right,search,,80,,search_boards
fold the cloth from top left to bottom right,fold the blue cloth diagonally from top left to bottom right,search,,80,,search_boards
fold the cloth from top left to bottom right,fold the blue cloth down diagonally to the bottom right,search,,80,,search_boards
fold the cloth from top left to bottom right,fold the blue cloth from the top corner to the bottom right,search,,80,,search_boards
fold the cloth from top left to bottom right,fold the blue towel diagonally towards the bottom right,search,,80,,search_boards
fold the cloth from top left to bottom right,fold the blue cloth down diagonally towards the bottom right corner,search,,80,,search_boards
fold the cloth from top right to bottom left,fold the cloth from top right to bottom left,original,,80,,search_boards
fold the cloth from top right to bottom left,diagonal fold of the blue cloth from top right to bottom left,search,,80,,search_boards
fold the cloth from top right to bottom left,fold the top of the blue rag towards the bottom left,search,,80,,search_boards
fold the cloth from top right to bottom left,diagonal fold of the blue rag from top right to bottom left,search,,80,,search_boards
fold the cloth from top right to bottom left,fold the top edge of the blue rag towards the bottom left,search,,80,,search_boards
fold the cloth from top right to bottom left,diagonal fold the blue cloth from top right to bottom left,search,,80,,search_boards
fold the cloth from top right to bottom left,fold the blue cloth in half diagonally towards the bottom left,search,,80,,search_boards
fold the cloth from top to bottom,[dry-run:gemini] 090997e719ea,search,0.23203867888265794,80,,loop_gemini
fold the cloth from top to bottom,[dry-run:gemini] 5aac1776ceba,search,0.3463528744532318,80,,loop_gemini
fold the cloth from top to bottom,fold the cloth from top to bottom,original,,80,,search_boards
fold the cloth from top to bottom,pull the top of the blue cloth down to fold it,search,,80,,search_boards
fold the cloth from top to bottom,pull the top edge of the blue cloth down to fold it,search,,80,,search_boards
fold the cloth from top to bottom,fold the blue cloth by pulling the top down,search,,80,,search_boards
fold the cloth from top to bottom,grab the top edge of the blue cloth and pull it down,search,,80,,search_boards
fold the cloth from top to bottom,fold the blue cloth downward from the top,search,,80,,search_boards
fold the cloth from top to bottom,pull the top corner of the blue cloth down,search,,80,,search_boards
lever vertical to front,lever vertical to front,original,,80,,search_boards
lever vertical to front,move the silver lever to the front,search,,80,,search_boards
lever vertical to front,turn the silver handle to the front,search,,80,,search_boards
lever vertical to front,move the silver handle to the front,search,,80,,search_boards
lever vertical to front,push the silver handle to the front,search,,80,,search_boards
lever vertical to front,move the faucet lever to the front,search,,80,,search_boards
lever vertical to front,turn the faucet knob to the front,search,,80,,search_boards
lever vertical to front,rotate the faucet handle forward,search,,80,,search_boards
lever vertical to front,turn the faucet handle to point forward,search,,80,,search_boards
lever vertical to front,rotate the faucet handle to the front,search,,80,,search_boards
lever vertical to front,push the faucet handle to the front,search,,80,,search_boards
lever vertical to front,pull the faucet handle to the front,search,,80,,search_boards
lift bowl,lift bowl,original,,80,,search_boards
lift bowl,grab and lift blue bowl,search,,80,,search_boards
lift bowl,pick up light blue bowl,search,,80,,search_boards
lift bowl,grab and lift the blue bowl,search,,80,,search_boards
lift bowl,grab the light blue bowl,search,,80,,search_boards
lift bowl,pick up the light blue bowl,search,,80,,search_boards
lift bowl,grab the blue bowl,search,,80,,search_boards
lift bowl,pick up the blue bowl,search,,80,,search_boards
move light switch to the right,[dry-run:gemini] 14fa3c1c07c5,search,0.639421902373544,80,,loop_gemini
move light switch to the right,[dry-run:gemini] 5b98ff7f9cb2,search,0.8648590071057884,80,,loop_gemini
move light switch to the right,push the little switch right,search,,80,,search_boards
move light switch to the right,move light switch to the right,original,,80,,search_boards
move light switch to the right,flip the little switch to the right,search,,80,,search_boards
move light switch to the right,push the little switch to the right,search,,80,,search_boards
move light switch to the right,push the little white switch to the right,search,,80,,search_boards
move light switch to the right,flip the toggle switch to the right,search,,80,,search_boards
move light switch to the right,push the switch right,search,,80,,search_boards
move light switch to the right,toggle the switch right,search,,80,,search_boards
move the cloth from left to right,move the cloth from left to right,original,,80,,search_boards
move the cloth from left to right,move blue cloth to the right,search,,80,,search_boards
move the cloth from left to right,move the blue cloth right,search,,80,,search_boards
move the cloth from left to right,move the blue cloth to the right,search,,80,,search_boards
move the cloth from left to right,shift the blue cloth to the right,search,,80,,search_boards
move the cloth from left to right,drag the blue cloth to the right side of the stove,search,,80,,search_boards
move the cloth from left to right,move the blue cloth over the stove to the right,search,,80,,search_boards
move the cloth from right to left,move the cloth from right to left,original,,80,,search_boards
move the cloth from right to left,shift the cloth from right to left,search,,80,,search_boards
move the cloth from right to left,pull the cloth from right to left,search,,80,,search_boards
move the cloth from right to left,slide the cloth from right to left,search,,80,,search_boards
move the cloth from right to left,wipe the stove by moving the orange rag to the left,search,,80,,search_boards
move the cloth from right to left,reposition the orange rag on the left burner,search,,80,,search_boards
move the cloth from right to left,drag the orange cloth from the right side to the left side,search,,80,,search_boards
move the cloth to the left of the table,move the cloth to the left of the table,original,,80,,search_boards
move the cloth to the left of the table,shift the orange rag to the left part of the table,search,,80,,search_boards
move the cloth to the left of the table,shift the orange rag to the left side of the table,search,,80,,search_boards
move the cloth to the left of the table,move the orange rag to the left side of the table,search,,80,,search_boards
move the cloth to the left of the table,move the orange rag to the left,search,,80,,search_boards
move the cloth to the left of the table,slide the orange rag to the left,search,,80,,search_boards
move the cloth to the left of the table,push the orange cloth to the left,search,,80,,search_boards
move the cloth to the left of the table,move the orange rag to the left of the table,search,,80,,search_boards
move the cloth to the left of the table,move the cloth to the left,search,,80,,search_boards
move the silver pot to the upper right of table,[dry-run:gemini] 4444927a3cc2,search,0.46714948342373447,80,,loop_gemini
move the silver pot to the upper right of table,[dry-run:gemini] 9af3b2893c5d,search,0.7443124780005983,80,,loop_gemini
move the silver pot to the upper right of table,shift the silver pot to the upper right of table,search,,80,,search_boards
move the silver pot to the upper right of table,move the silver pot to the upper right of table,original,,80,,search_boards
move the silver pot to the upper right of table,shift the small silver pot to the upper right of table,search,,80,,search_boards
move the silver pot to the upper right of table,move the small grey mouse away from the house,search,,80,,search_boards
move the silver pot to the upper right of table,slide the grey stuffed animal to the upper right,search,,80,,search_boards
move the silver pot to the upper right of table,slide the plush mouse to the top right of the table,search,,80,,search_boards
move the silver pot to the upper right of table,move the small silver pot to the upper right of table,search,,80,,search_boards
open book,flip open the red book,search,,80,,search_boards
open book,open book,original,,80,,search_boards
open book,open the book,search,,80,,search_boards
open book,flip open the red album,search,,80,,search_boards
open book,open the red book on the table,search,,80,,search_boards
open brown1fbox flap,open brown1fbox flap,original,,80,,search_boards
open brown1fbox flap,open the brown box,search,,80,,search_boards
open brown1fbox flap,open the brown box lid,search,,80,,search_boards
open brown1fbox flap,open the brown cardboard box,search,,80,,search_boards
open brown1fbox flap,open the lid on the brown cardboard box,search,,80,,search_boards
open brown1fbox flap,open the flap on the cardboard box,search,,80,,search_boards
open brown1fbox flap,lift the flap of the brown box,search,,80,,search_boards
open brown1fbox flap,open the flap of the kitchen set box,search,,80,,search_boards
open cabinet,pull open the kitchen cabinet door,search,,80,,search_boards
open cabinet,pull open the kitchen cabinet,search,,80,,search_boards
open cabinet,use the handle to open the cabinet door,search,,80,,search_boards
open cabinet,open cabinet,original,,80,,search_boards
open cabinet,grasp the cabinet handle and pull open,search,,80,,search_boards
open cabinet,pull open the cabinet door,search,,80,,search_boards
open cabinet,open the cabinet under the counter,search,,80,,search_boards
open drawer of box,pull open the box drawer,search,,80,,search_boards
open drawer of box,open drawer of box,original,,80,,search_boards
open drawer of box,slide the drawer out,search,,80,,search_boards
open drawer of box,slide the black handle drawer open,search,,80,,search_boards
open drawer of box,slide the drawer open,search,,80,,search_boards
open drawer of box,open the drawer,search,,80,,search_boards
open drawer of box,open the drawer of the box on the counter,search,,80,,search_boards
open fridge,pull open the grey toy refrigerator door,search,,80,,search_boards
open fridge,pull open the grey toy fridge door,search,,80,,search_boards
open fridge,gently pull open the grey toy refrigerator door,search,,80,,search_boards
open fridge,pull open the gray toy refrigerator door,search,,80,,search_boards
open fridge,open fridge,original,,80,,search_boards
open fridge,pull open the grey fridge door,search,,80,,search_boards
open fridge,pull the refrigerator door open,search,,80,,search_boards
open fridge,pull open the refrigerator door,search,,80,,search_boards
open fridge,pull the fridge door open,search,,80,,search_boards
open fridge,pull open the grey refrigerator door,search,,80,,search_boards
open large4fbox flaps,pull the cardboard flaps open,search,,80,,search_boards
open large4fbox flaps,lift the cardboard flaps open,search,,80,,search_boards
open large4fbox flaps,lift the cardboard box flaps open,search,,80,,search_boards
open large4fbox flaps,lift open the cardboard box flaps,search,,80,,search_boards
open large4fbox flaps,open large4fbox flaps,original,,80,,search_boards
open large4fbox flaps,pull open the cardboard box flaps,search,,80,,search_boards
open large4fbox flaps,pull the cardboard box flaps open,search,,80,,search_boards
open large4fbox flaps,open the cardboard box flaps,search,,80,,search_boards
open low fridge,open the lower fridge door,search,,80,,search_boards
open low fridge,open the lower fridge,search,,80,,search_boards
open low fridge,open the white lower fridge door,search,,80,,search_boards
open low fridge,open the white lower refrigerator door,search,,80,,search_boards
open low fridge,open low fridge,original,,80,,search_boards
open low fridge,open the low white fridge,search,,80,,search_boards
open low fridge,open the small white fridge door,search,,80,,search_boards
open low fridge,open the lower refrigerator door,search,,80,,search_boards
open oven,grab and pull open the white oven door,search,,80,,search_boards
open oven,pull open the white oven door gently,search,,80,,search_boards
open oven,pull open the white oven,search,,80,,search_boards
open oven,pull open the handle of the white oven,search,,80,,search_boards
open oven,open oven,original,,80,,search_boards
open oven,pull open the oven door,search,,80,,search_boards
open oven,grab the oven handle and open it,search,,80,,search_boards
open oven,pull the oven handle to open it,search,,80,,search_boards
open small4fbox flaps,open the small brown cardboard box flaps,search,,80,,search_boards
open small4fbox flaps,open small brown cardboard box flaps,search,,80,,search_boards
open small4fbox flaps,open small4fbox flaps,original,,80,,search_boards
open small4fbox flaps,open the small card board box flaps,search,,80,,search_boards
open small4fbox flaps,open the small cardboard box flaps,search,,80,,search_boards
open small4fbox flaps,pull open the box flaps,search,,80,,search_boards
open small4fbox flaps,open small box flaps,search,,80,,search_boards
open small4fbox flaps,open the cardboard box flaps,search,,80,,search_boards
open the drawer,open the drawer,original,,80,,search_boards
open the drawer,pull open the drawer using the handle,search,,80,,search_boards
open the drawer,open the drawer on the red box,search,,80,,search_boards
open the drawer,pull the black handle to open the red drawer,search,,80,,search_boards
open the drawer,grab the handle and open the drawer,search,,80,,search_boards
open the drawer,pull the drawer handle,search,,80,,search_boards
open the drawer,use the handle to pull open the drawer,search,,80,,search_boards
opened the drawer,opened the drawer,original,,80,,search_boards
opened the drawer,slide the red drawer open,search,,80,,search_boards
opened the drawer,open the red drawer by pulling its handle,search,,80,,search_boards
opened the drawer,slide out the red drawer with the black handle,search,,80,,search_boards
opened the drawer,slide the red drawer out,search,,80,,search_boards
opened the drawer,pull the handle of the red drawer,search,,80,,search_boards
opened the drawer,pull open the red drawer,search,,80,,search_boards
opened the drawer,slide open the red drawer,search,,80,,search_boards
pick up any cup,[dry-run:gemini] 5252a3da701c,search,0.4850915638999627,80,,loop_gemini
pick up any cup,[dry-run:gemini] 6f66411425cf,search,0.726315816690256,80,,loop_gemini
pick up any cup,pick up any cup in the rack,search,,80,,search_boards
pick up any cup,pick up any cup,original,,80,,search_boards
pick up any cup,pick up any cup inside the rack,search,,80,,search_boards
pick up any cup,pick up any cup from the rack,search,,80,,search_boards
pick up any cup,pick up any mug in the rack,search,,80,,search_boards
pick up any cup,grab any cup from the rack,search,,80,,search_boards
pick up any cup,pick up one of the cups,search,,80,,search_boards
pick up any cup,grab any mug,search,,80,,search_boards
pick up bit holder,pick up bit holder,original,,80,,search_boards
pick up bit holder,pick up red plastic bit holder,search,,80,,search_boards
pick up bit holder,pick up red screwdriver bit holder,search,,80,,search_boards
pick up bit holder,grab the red plastic screwdriver bit holder,search,,80,,search_boards
pick up bit holder,lift the red plastic screwdriver bit holder,search,,80,,search_boards
pick up bit holder,pick up the red screwdriver bit holder,search,,80,,search_boards
pick up bit holder,pick up the red plastic screwdriver bit holder,search,,80,,search_boards
pick up bit holder,grab the red plastic bit holder,search,,80,,search_boards
pick up bit holder,grasp the red bit holder,search,,80,,search_boards
pick up blue pen and put into drawer,[dry-run:gemini] f808e9853eb3,search,0.21614187556875739,80,,loop_gemini
pick up blue pen and put into drawer,[dry-run:gemini] e02e89970779,search,0.7606333870054709,80,,loop_gemini
pick up blue pen and put into drawer,pick up blue pen and put into drawer,original,,80,,search_boards
pick up blue pen and put into drawer,pick up the blue dry erase marker and put it in the upper left drawer,search,,80,,search_boards
pick up blue pen and put into drawer,put the blue pen in the upper left organizer,search,,80,,search_boards
pick up blue pen and put into drawer,move the blue pen to the top left plastic drawer,search,,80,,search_boards
pick up blue pen and put into drawer,grab the blue marker and place it in the upper left compartment,search,,80,,search_boards
pick up blue pen and put into drawer,grab the blue dry erase marker and place it in the side compartment,search,,80,,search_boards
pick up blue pen and put into drawer,pick up the blue pen and place it in the upper left drawer,search,,80,,search_boards
