task,phrases,best,worst,median,rollout_measured,thin_evidence,spread
take sushi out of pot cardboard fence,20,8.1595,2.741,6.386699999999999,0,0,5.4185
open large4fbox flaps,20,8.0935,2.6796,7.9329,0,0,5.4139
zip zipper bag,19,7.7704,2.3975,7.0723,0,0,5.3729000000000005
upright basil bottle cardboard fence,21,7.8906,2.5615,6.374,0,0,5.3291
put pot or pan in sink,18,7.5317,2.2067,6.7094000000000005,0,0,5.324999999999999
turn faucet front to left,19,7.9797,2.6959,7.6988,0,0,5.2838
take carrot off plate,21,8.1682,2.9016,7.4337,0,0,5.2666
put pot on stove which is near stove,20,7.658,2.3945,5.71555,0,0,5.2635000000000005
fold the cloth from the top left to the bottom right,20,8.1659,3.049,6.41615,0,0,5.116900000000001
end effector reaching banana,20,8.7199,3.7029,5.9595,0,0,5.017000000000001
take spoon out of bowl sink,20,7.2008,2.2037,5.68715,0,0,4.9971
widowx_coke_can_on_plate_lang_common_distract,56,1.7083,-3.126,1.32365,0,56,4.8343
put pan from drying rack into sink,19,6.9688,2.1411,5.1787,0,0,4.8277
open brown1fbox flap,20,8.0659,3.2618,7.7714,0,0,4.804099999999999
fold the cloth from top to bottom,19,7.8507,3.0651,5.8643,0,0,4.7856
closed the drawer,19,8.2454,3.4949,7.5313,0,0,4.750500000000001
put the ball in the cup,16,7.4387,2.6947,4.182449999999999,0,0,4.744
unfold the cloth from top to bottom,19,8.1918,3.4872,5.5403,0,0,4.704600000000001
put potato on plate,17,7.8223,3.1822,7.5131,0,0,4.6401
pick up violet Allen key,20,7.841,3.2079,6.75165,0,0,4.633100000000001
unfold the cloth from top right to bottom left,18,8.1875,3.5662,5.647,0,0,4.6213
open fridge,22,7.93,3.3518,7.7774,0,0,4.5782
put sushi on plate,19,8.0374,3.4864,7.209,0,0,4.551
pour almonds in pot,20,8.1768,3.6269,7.9963,0,0,4.5499
put cup from counter or drying rack into sink,19,6.0962,1.5635,5.3046,0,0,4.5327
put pot in sink,19,7.8998,3.3779,6.9737,0,0,4.5219000000000005
open small4fbox flaps,21,8.1165,3.6067,7.18305,0,0,4.5098
put banana on plate,21,8.2616,3.76,8.0893,0,0,4.5016
wipe pot with sponge,20,7.7638,3.2766,7.371549999999999,0,0,4.4872
widowx_spoon_on_towel_lang_common_distract,37,1.1194,-3.3547,-0.2148,0,37,4.4741
put carrot in pot cardboard fence,20,8.3616,3.9125,6.3668499999999995,0,0,4.4491
put banana in pot cardboard fence,20,8.3901,3.9462,7.18005,0,0,4.4439
put broccoli in pot,20,8.0293,3.5934,6.449249999999999,0,0,4.435899999999999
turn faucet left,20,7.634,3.2217,6.8251,0,0,4.4123
fold the cloth from top left to bottom right,21,8.2782,3.904,5.7336,0,0,4.3742
put detergent in sink,17,8.077,3.7111,7.1265,0,0,4.3659
pick up bowl and put in small4fbox,20,8.0349,3.6705,6.6195,0,0,4.3644
put carrot in bowl,19,8.0934,3.7332,7.4306,0,0,4.360200000000001
put pan in sink,19,7.7068,3.4182,7.1301,0,0,4.288600000000001
pick up green mug,20,8.0225,3.7662,7.6623,0,0,4.256300000000001
pick up sponge and wipe plate,20,8.3044,4.0804,8.1402,0,0,4.223999999999999
close small4fbox flaps,19,8.3072,4.1017,7.0967,0,0,4.2055
Open the drawer,21,8.0209,3.8274,7.36095,0,0,4.193499999999999
unfold the cloth from left to right,19,7.5712,3.4023,5.7546,0,0,4.168900000000001
put carrot in pot or pan,21,7.8311,3.6747,7.4695,0,0,4.1564
unfold the cloth from bottom right to top left,17,7.9757,3.9075,6.4662,0,0,4.068199999999999
opened the drawer,20,7.9152,3.8642,7.01905,0,0,4.051
unzip zipper bag,19,7.5128,3.4626,6.9515,0,0,4.0502
open oven,20,8.4911,4.5114,8.398299999999999,0,0,3.9796999999999993
put spoon in bowl sink,21,7.5937,3.6196,6.474449999999999,0,0,3.9741
take lid off pot,19,7.7718,3.7996,6.9244,0,0,3.9722
open low fridge,20,8.1584,4.2173,7.92365,0,0,3.9411000000000005
pick up bit holder,22,7.856,3.917,6.6855,0,0,3.939
end effector reaching pot or pan,19,8.4079,4.4782,5.0096,0,0,3.9296999999999995
turn lever vertical to front,23,7.2268,3.3055,6.072,0,0,3.9213
open white1fbox flap,20,8.1722,4.2539,7.69305,0,0,3.9183000000000003
open microwave,22,7.9684,4.0703,7.7869,0,0,3.8981000000000003
upright hot sauce bottle cardboard fence,21,7.8154,3.9252,7.0817,0,0,3.8902000000000005
put cap on container,18,7.7742,3.8889,6.6159,0,0,3.8853000000000004
take lid off pot or pan,19,7.1585,3.3058,5.3788,0,0,3.8527
put brush into pot or pan,19,7.1382,3.2986,6.1118,0,0,3.8396000000000003
move the cloth to the left of the table,21,7.775,3.939,4.665,0,0,3.8360000000000003
fold the cloth from bottom right to top left,20,8.1773,4.3652,6.8621,0,0,3.812100000000001
pick up any cup,20,7.6006,3.8162,6.8133,0,0,3.7844
flip cup upright,20,6.8969,3.1156,6.46965,0,0,3.7812999999999994
end effector reaching corn,20,8.381,4.6195,6.7719000000000005,0,0,3.7615
pick up blue pen and put into drawer,21,8.1297,4.3907,7.2844,0,0,3.739
put lid on stove,21,7.2365,3.5027,5.5078,0,0,3.7338000000000005
turn faucet front to right,18,8.5638,4.8308,8.229,0,0,3.7330000000000005
move the cloth from right to left,19,8.532,4.8045,6.7509,0,0,3.7275
put banana in colander,21,8.4922,4.7796,7.7367,0,0,3.7126
widowx_coke_can_on_plate_distract,56,2.697,-1.002,2.39105,0,0,3.699
put pan on stove and put stuffedduck in pan,20,7.6664,3.9708,6.8426,0,0,3.6956
put red bottle in sink,19,8.0949,4.4083,7.8952,0,0,3.686600000000001
end effector reaching salmon,20,8.4935,4.8088,6.39215,0,0,3.6846999999999994
close large4fbox flaps,20,8.3944,4.7612,8.241299999999999,0,0,3.6331999999999995
fold the cloth from top right to bottom left,19,8.3713,4.7478,6.7498,0,0,3.6235
put pear in bowl,17,8.1192,4.5191,7.6746,0,0,3.6000999999999994
flip pot upright in sink,21,7.1407,3.5708,6.26585,0,0,3.5698999999999996
put can in pot,21,7.6191,4.0618,5.516450000000001,0,0,3.5573000000000006
close brown1fbox flap,19,8.177,4.6248,7.9107,0,0,3.5522
open book,18,7.9868,4.4452,7.7698,0,0,3.5416
pick up box cutter and put into drawer,21,8.078,4.572,7.7691,0,0,3.5059999999999993
put pan from stove to sink,23,6.4253,2.9218,5.8176,0,0,3.5035
pick up scissors and put into drawer,18,7.7956,4.3006,7.6289,0,0,3.495
put corn in bowl sink,18,7.6314,4.1572,6.97075,0,0,3.4742000000000006
end effector reaching carrot,18,8.6312,5.1783,6.507899999999999,0,0,3.4528999999999996
put corn in pan which is on stove,23,7.2702,3.8193,5.9604,0,0,3.4509
put corn in pot which is in sink,26,7.1788,3.7321,6.21475,0,0,3.4467
put clothes in laundry machine,19,8.0531,4.6165,7.7171,0,0,3.4366000000000003
close the drawer,19,8.3541,4.9394,7.6838,0,0,3.4147000000000007
put carrot on plate,18,7.8441,4.4375,7.5266,0,0,3.4066
put broccoli in bowl,20,7.8242,4.4578,7.0992,0,0,3.3664000000000005
close cabinet,18,8.8279,5.4778,8.532,0,0,3.3500999999999994
close low fridge,20,8.7052,5.3941,8.079350000000002,0,0,3.3110999999999997
put spoon into pan,17,6.7201,3.4219,5.5098,0,0,3.2982000000000005
put carrot on cutting board,21,7.8907,4.6245,7.6299,0,0,3.2661999999999995
put cup into pot or pan,24,7.132,3.8684,5.3311,0,0,3.2636
put stuffedduck in pan,20,7.8164,4.6177,6.28955,0,0,3.1986999999999997
unfold the cloth from top left to bottom right,19,7.6678,4.4755,5.5594,0,0,3.1922999999999995
lift bowl,20,7.3445,4.1559,6.2989,0,0,3.1886
take sushi out of pan,19,7.8953,4.7748,7.0518,0,0,3.1205
lever vertical to front,24,6.7535,3.6598,5.4725,0,0,3.0936999999999997
open drawer of box,19,8.3505,5.2596,7.8276,0,0,3.0909000000000004
open the drawer,19,8.1085,5.0717,7.4637,0,0,3.0367999999999995
put corn on plate,18,8.0461,5.0171,7.13585,0,0,3.028999999999999
put eggplant into pot or pan,18,7.2211,4.1964,6.56945,0,0,3.0247
close fridge,19,8.4532,5.4374,8.1979,0,0,3.0158000000000005
put pepper in pan,20,8.2064,5.1921,6.94295,0,0,3.0143000000000004
put cucumber in cup,21,8.2281,5.2291,7.4139,0,0,2.9989999999999997
flip orange pot upright in sink,19,6.7742,3.7842,5.9703,0,0,2.9900000000000007
move the cloth from left to right,19,8.3822,5.3922,6.2315,0,0,2.9899999999999993
put banana in pot or pan,21,8.5068,5.5849,6.1755,0,0,2.9219
put spoon in pot,22,7.0598,4.1899,5.8370999999999995,0,0,2.8699000000000003
put lemon on plate,19,7.2571,4.4075,6.884,0,0,2.8496000000000006
put knife in pot or pan,19,7.2427,4.4342,5.9841,0,0,2.8085000000000004
close oven,21,8.42,5.6204,8.1565,0,0,2.7996
put detergent from sink into drying rack,20,7.6701,4.9177,6.8476,0,0,2.7523999999999997
close microwave,21,8.5227,5.8067,8.3878,0,0,2.716
put sushi in pot or pan,21,7.9627,5.2529,7.0503,0,0,2.7097999999999995
close white1fbox flap,18,8.3773,5.6805,8.0376,0,0,2.6967999999999996
widowx_spoon_on_towel_distract,37,3.1787,0.5053,2.536,0,37,2.6734
put eggplant on plate,18,6.6767,4.0342,6.41965,0,0,2.6425
put big spoon from basket to tray,22,7.3176,4.7171,7.229699999999999,0,0,2.6004999999999994
put pot or pan from sink into drying rack,26,7.785,5.2039,6.6963,0,0,2.5811
put spatula in pan,19,7.9078,5.345,7.2305,0,0,2.5628
flip pot upright which is in sink,20,6.6474,4.0881,6.3593,0,0,2.5593000000000004
put redcube in pan and put pan on stove,23,7.7431,5.2336,7.6017,0,0,2.5095
pick up glue and put into drawer,20,7.65,5.1418,6.845549999999999,0,0,2.5082000000000004
widowx_carrot_on_keyboard_distract,43,3.3512,0.8675,1.9462,0,43,2.4837
put corn into bowl,19,7.9718,5.5032,7.2709,0,0,2.4686000000000003
put pepper in pot or pan,19,6.771,4.4361,6.3689,0,0,2.3349
put fork from basket to tray,19,6.9149,4.5854,6.7172,0,0,2.3295000000000003
move light switch to the right,20,8.4879,6.2043,8.0476,0,0,2.2836
close drawer of box,21,8.4732,6.2176,7.5709,0,0,2.2556000000000003
put pan on stove and put stuffedpig in pan,26,7.5656,5.361,7.462999999999999,0,0,2.2046
widowx_carrot_on_plate_distract,40,1.5785,-0.6026,1.16235,0,0,2.1811
put green squash in pot or pan,20,7.2816,5.1287,6.18135,0,0,2.1529
put sweet potato in pot,17,7.1946,5.0939,6.8686,0,0,2.1007000000000007
sweep into pile,19,8.4721,6.4596,7.5455,0,0,2.0124999999999993
put sweet potato in pot which is in sink,20,6.2697,4.3032,5.9239,0,0,1.9665
put eggplant into pan,20,6.4866,4.5739,5.5917,0,0,1.9127
put broccoli in pot or pan,21,7.8128,5.9087,7.3723,0,0,1.9041000000000006
put small spoon from basket to tray,20,7.425,5.5279,7.17345,0,0,1.8971
widowx_carrot_on_plate_lang_common_distract,40,7.2165,5.3203,5.9262999999999995,0,40,1.8962000000000003
put strawberry in pot,20,7.0505,5.1793,6.4077,0,0,1.8712000000000009
put green squash into pot or pan,22,7.4187,5.5676,6.7975,0,0,1.8511000000000006
pick up red srewdriver,19,7.7804,6.0834,7.1529,0,0,1.697
put pan on stove and put blueberry in pan,18,7.8171,6.1996,7.29895,0,0,1.6174999999999997
put cup from counter to sink,24,7.2083,5.7746,6.5259,0,0,1.4337
put stuffedpig in pan,21,7.4628,6.035,6.7503,0,0,1.4277999999999995
put cup from anywhere into sink,19,6.9155,5.5104,6.558,0,0,1.4051
put potato in pot or pan,19,7.2474,5.8468,6.8493,0,0,1.4005999999999998
put sweet potato in pan which is on stove,23,6.6792,5.434,6.3695,0,0,1.2451999999999996
put eggplant in pot or pan,18,6.3519,5.2406,5.9314,0,0,1.1113
