task,phrase,kind,base_kind,score,logit,z,grip,proxy_imputed,n_ctx,source
close brown1fbox flap,close the left lid of the box,search,,0.4801796214823047,6.3305,-2.9667,0.0419,False,64,search_boards
close brown1fbox flap,close the left lid of the brown box,search,,0.6965674020966207,7.0991,-1.3878,0.036,False,64,search_boards
close brown1fbox flap,"Directing your attention to the earth-toned storage unit, I entreat you to rectify its open state by maneuvering the extended flap into a flush, sealed position.",adversarial,,0.8495554232105926,7.6426,-0.8182,0.0103,False,64,generated_adversarial
close brown1fbox flap,Flip down the flap on the brown carton.,natural,,0.8721505782841211,7.7229,-0.2589,0.0252,False,64,generated_natural
close brown1fbox flap,"Regarding the brown-coloured receptacle currently displaying an open appendage, it is required that you manipulate said flap until it is completely shut.",adversarial,,0.9250250725715772,7.9107,-0.2341,0.0096,False,64,generated_adversarial
close brown1fbox flap,Just fold the open flap on the brown box.,natural,,0.9255717423290152,7.9126,-0.2782,0.0077,False,64,generated_natural
close brown1fbox flap,"If it is within your operational parameters, I would be much obliged if you could manually transition the extended flap of the brown container into a closed configuration.",adversarial,,0.9409447553686257,7.9672,-0.1251,0.0088,False,64,generated_adversarial
close brown1fbox flap,Go ahead and close the brown box flap.,natural,,0.95744765002783,8.0259,0.0757,0.0116,False,64,generated_natural
close brown1fbox flap,Please fold down the flap of the brown box.,natural,,0.9603069522881834,8.036,-0.0138,0.0071,False,64,generated_natural
close brown1fbox flap,Can you shut the flap on that brown box?,natural,,0.971109552288904,8.0744,0.1308,0.0094,False,64,generated_natural
close brown1fbox flap,Close the flap on the brown box.,natural,,0.9729461242287314,8.0809,0.0601,0.0061,False,64,generated_natural
close brown1fbox flap,Shut the brown box's flap.,natural,,0.9730388698289348,8.0812,0.1226,0.0085,False,64,generated_natural
close brown1fbox flap,Push the flap of the brown box closed.,natural,,0.9753458701347264,8.0894,0.0918,0.0066,False,64,generated_natural
close brown1fbox flap,close brown1fbox flap,original,,1.0,8.177,0.3326,0.0083,False,64,search_boards
close cabinet,"Given that we are finished retrieving items from the interior, please apply rotational force to the hinged barrier of the storage console until it sits flush against the frame.",adversarial,,0.0,5.4778,-5.8094,0.0056,False,64,generated_adversarial
close cabinet,Please manipulate the swinging exterior barrier of the built-in unit until its contents are entirely obscured from view.,adversarial,,0.0835480892494651,5.7577,-5.2079,0.0044,False,64,generated_adversarial
close cabinet,"If it is not too much trouble, please rectify the ajar status of the shelved enclosure so that its contents are once again hidden away behind the panel.",adversarial,,0.1150945716942912,5.8634,-4.9578,0.0049,False,64,generated_adversarial
close cabinet,"Assuming that access to the interior shelves is no longer required, kindly transition the storage compartment to a fully sealed state.",adversarial,,0.2637438698096247,6.3614,-3.8562,0.0042,False,64,generated_adversarial
close cabinet,Just swing the cabinet door back into its frame.,natural,,0.5448427849028236,7.3031,-1.7128,0.0052,False,64,generated_natural
close cabinet,Go ahead and shut that cupboard.,natural,,0.7195968032550711,7.8885,-0.4057,0.0048,False,64,generated_natural
close cabinet,Could you push the cupboard closed for me?,natural,,0.8435039351521413,8.3036,0.5321,0.0049,False,64,generated_natural
close cabinet,Close up the wooden storage cabinet.,natural,,0.850035900295925,8.3255,0.5762,0.0047,False,64,generated_natural
close cabinet,Push the cabinet all the way shut.,natural,,0.9115420880811014,8.5316,1.0456,0.005,False,64,generated_natural
close cabinet,shut the white cabinet door,search,,0.9117793582145894,8.5324,1.049,0.005,False,64,search_boards
close cabinet,shut the white cabinet,search,,0.938073435500376,8.6205,1.246,0.005,False,64,search_boards
close cabinet,Please close the open cabinet.,natural,,0.9388525831233008,8.6231,1.2546,0.0051,False,64,generated_natural
close cabinet,Make sure the cabinet is shut.,natural,,0.9465800950655098,8.649,1.31,0.005,False,64,generated_natural
close cabinet,shut the cabinet door,search,,0.9481948144445572,8.6544,1.3244,0.0051,False,64,search_boards
close cabinet,Shut the cabinet door.,natural,,0.9523876357237252,8.6684,1.3577,0.0051,False,64,generated_natural
close cabinet,push the cabinet door closed,search,,0.9600021437632322,8.6939,1.4198,0.0053,False,64,search_boards
close cabinet,push the cabinet door to close it,search,,0.9668340327146372,8.7168,1.4648,0.0051,False,64,search_boards
close cabinet,close cabinet,original,,1.0,8.8279,1.7202,0.0053,False,64,search_boards
close drawer of box,"While being careful not to upset the main body of the rectangular container, I would appreciate it if you could attend to the open sliding tray housed within it, guiding it steadily inward until it is entirely flush with the outer casing.",adversarial,,0.0,6.2176,-3.9001,0.0152,False,64,generated_adversarial
close drawer of box,"With respect to the six-sided container, it currently features a pull-out section that remains ajar; kindly rectify this state of affairs by applying inward force to the extension until it sits perfectly flush.",adversarial,,0.0323457404532207,6.2906,-3.9426,0.0071,False,64,generated_adversarial
close drawer of box,"Should you find the tracks to be entirely free of obstruction, I would be most grateful if you could take the sliding compartment protruding from the box and ensure it is pushed entirely shut.",adversarial,,0.2396969974766899,6.7583,-2.9562,0.0045,False,64,generated_adversarial
close drawer of box,"Assuming no further items are required to be placed inside the box, proceed to apply continuous inward pressure to its extended sliding compartment until it is restored to a fully shut state.",adversarial,,0.3143096001495051,6.9266,-2.4801,0.0083,False,64,generated_adversarial
close drawer of box,push the red wooden drawer closed,search,,0.4396586428196327,7.2093,-1.9462,0.0043,False,64,search_boards
close drawer of box,push the red drawer closed,search,,0.516755672174078,7.3832,-1.5517,0.0044,False,64,search_boards
close drawer of box,push the red drawer shut,search,,0.5280481643385051,7.4087,-1.502,0.0041,False,64,search_boards
close drawer of box,close the open red drawer,search,,0.5513255162854475,7.4612,-1.3837,0.0041,False,64,search_boards
close drawer of box,push the open red drawer closed,search,,0.5569295282863325,7.4738,-1.3467,0.0045,False,64,search_boards
close drawer of box,push the drawer in,search,,0.5803535821810352,7.5267,-1.2351,0.0042,False,64,search_boards
close drawer of box,push the open drawer in,search,,0.6195698617417538,7.6151,-1.0419,0.004,False,64,search_boards
close drawer of box,Make sure the drawer in the little box is shut.,natural,,0.7087837391571781,7.8164,-0.5873,0.004,False,64,generated_natural
close drawer of box,Could you close the drawer on the storage box?,natural,,0.7466233235243389,7.9017,-0.3856,0.0044,False,64,generated_natural
close drawer of box,Please push in the drawer on the wooden box.,natural,,0.7856178202628777,7.9897,-0.192,0.0042,False,64,generated_natural
close drawer of box,Just push the drawer back into the box.,natural,,0.8183889756835467,8.0636,-0.0319,0.004,False,64,generated_natural
close drawer of box,Slide the box drawer all the way in.,natural,,0.8281267263632982,8.0855,0.0229,0.0042,False,64,generated_natural
close drawer of box,Shut the box's drawer.,natural,,0.8431783349885368,8.1195,0.1021,0.0043,False,64,generated_natural
close drawer of box,The drawer of the box needs to be closed.,natural,,0.8784826266058061,8.1991,0.2919,0.0047,False,64,generated_natural
close drawer of box,Push the drawer on that box closed.,natural,,0.883205353600266,8.2098,0.3058,0.0043,False,64,generated_natural
close drawer of box,close drawer of box,original,,1.0,8.4732,0.8924,0.0041,False,64,search_boards
close drawer of box,"Provided you can do so without displacing the main body of the box, I require you to interface with the sliding compartment currently projecting from its facade, driving it steadily inward until it has been returned to a fully closed state.",adversarial,,,,,,True,80,generated_adversarial
close fridge,"If you would be so kind, please return the hinged barrier of the large food-chilling apparatus to its fully sealed configuration.",adversarial,,0.0,5.4374,-5.672,0.0145,False,64,generated_adversarial
close fridge,"To mitigate the egress of chilled air, I ask that you manipulate the articulated facade of the kitchen's primary cold storage chamber until no gap remains.",adversarial,,0.1106024079299024,5.771,-4.7364,0.0218,False,64,generated_adversarial
close fridge,"Given that the ambient temperature will quickly warm the contents, I require you to pivot the open barrier of the main refrigeration unit until it is completely flush.",adversarial,,0.2621472577889941,6.228,-3.8348,0.0168,False,64,generated_adversarial
close fridge,"So as to prevent the perishable items inside from spoiling, exert sufficient inward force on the open door of the refrigerator until it latches securely.",adversarial,,0.3235582220917873,6.4132,-3.3002,0.0215,False,64,generated_adversarial
close fridge,Shut the door on the large white cooling appliance.,natural,,0.3253165901993011,6.4185,-3.5906,0.0096,False,64,generated_natural
close fridge,shut the white cabinet door,search,,0.5182063307982752,7.0002,-2.3587,0.0066,False,64,search_boards
close fridge,Can you push the fridge closed for me?,natural,,0.8772226259044466,8.083,0.0409,0.0051,False,64,generated_natural
close fridge,Give the fridge door a push so it closes completely.,natural,,0.8957510438524762,8.1389,0.1595,0.0049,False,64,generated_natural
close fridge,Push the refrigerator door all the way shut.,natural,,0.9079113291485148,8.1755,0.2374,0.0047,False,64,generated_natural
close fridge,shut the white fridge,search,,0.9153434646114326,8.1979,0.2941,0.0049,False,64,search_boards
close fridge,Go ahead and close the fridge.,natural,,0.9169368023383968,8.2027,0.3073,0.005,False,64,generated_natural
close fridge,shut the fridge door,search,,0.9182153258054436,8.2066,0.3167,0.0051,False,64,search_boards
close fridge,Please shut the refrigerator door.,natural,,0.927452148767555,8.2345,0.3827,0.0052,False,64,generated_natural
close fridge,Make sure the refrigerator is shut tightly.,natural,,0.933426345138896,8.2525,0.4157,0.0049,False,64,generated_natural
close fridge,shut the fridge,search,,0.9360126594582804,8.2603,0.4355,0.005,False,64,search_boards
close fridge,Swing the fridge door shut.,natural,,0.9399587776695152,8.2722,0.4644,0.0051,False,64,generated_natural
close fridge,close the white fridge,search,,0.9802669151787768,8.3937,0.7385,0.0051,False,64,search_boards
close fridge,close the fridge,search,,0.9847723597286022,8.4073,0.7674,0.005,False,64,search_boards
close fridge,close fridge,original,,1.0,8.4532,0.8744,0.0052,False,64,search_boards
close large4fbox flaps,"In preparation for the impending dispatch protocol, I require you to interface with the exceptionally capacious corrugated cargo unit, subsequently depressing its quartet of hinged roof segments until they form a flush, impenetrable barrier over the interior payload area.",adversarial,,0.0,4.7612,-5.8043,0.0691,False,64,generated_adversarial
close large4fbox flaps,"Proceed to manipulate the foldable extensions belonging to the oversized cardboard container, maneuvering them sequentially downward until the aperture is completely obstructed.",adversarial,,0.0090311878990821,4.794,-6.8454,0.0253,False,64,generated_adversarial
close large4fbox flaps,"Assuming you are currently idle, I would greatly appreciate it if you could ensure that the uppermost articulated sections of the notably voluminous receptacle are folded into a shut configuration.",adversarial,,0.0554318076636557,4.9626,-6.1106,0.0392,False,64,generated_adversarial
close large4fbox flaps,Direct your attention to the most sizeable carton present and manipulate its uppermost hinged appendages until the opening is entirely obscured from view.,adversarial,,0.2706719696301294,5.7446,-4.2433,0.0435,False,64,generated_adversarial
close large4fbox flaps,Please fold down the flaps on that big cardboard box.,natural,,0.9268627270460212,8.1287,0.194,0.0071,False,64,generated_natural
close large4fbox flaps,Push the top flaps of the big container down into the closed position.,natural,,0.9328566377469414,8.1505,0.1841,0.0048,False,64,generated_natural
close large4fbox flaps,Close up the large box by folding its top flaps shut.,natural,,0.951724887415252,8.219,0.345,0.0051,False,64,generated_natural
close large4fbox flaps,I need the flaps on the big cardboard box to be closed.,natural,,0.9531198396312204,8.2241,0.3651,0.0054,False,64,generated_natural
close large4fbox flaps,shut the flaps of the cardboard box,search,,0.9550683761866372,8.2312,0.3636,0.0047,False,64,search_boards
close large4fbox flaps,Just fold the flaps over so the large box is closed.,natural,,0.9564990310156096,8.2364,0.3957,0.0055,False,64,generated_natural
close large4fbox flaps,close the flaps on the cardboard box,search,,0.9591900879250876,8.2462,0.4038,0.005,False,64,search_boards
close large4fbox flaps,close the flaps of the large cardboard box,search,,0.9605136218680724,8.251,0.4153,0.005,False,64,search_boards
close large4fbox flaps,close the box flaps,search,,0.9605274675298628,8.251,0.4086,0.0047,False,64,search_boards
close large4fbox flaps,Make sure all the flaps on the large box are closed.,natural,,0.9607735908654614,8.2519,0.4088,0.0047,False,64,generated_natural
close large4fbox flaps,shut the flaps on the box,search,,0.9610869007792926,8.253,0.4121,0.0047,False,64,search_boards
close large4fbox flaps,shut the flaps on the cardboard box,search,,0.9616300270370592,8.255,0.4189,0.0048,False,64,search_boards
close large4fbox flaps,Go ahead and shut the large box by folding the flaps inward.,natural,,0.9629367869049478,8.2598,0.4411,0.0052,False,64,generated_natural
close large4fbox flaps,close the flaps on the box,search,,0.9635452982893148,8.262,0.4352,0.0048,False,64,search_boards
close large4fbox flaps,Shut the flaps on the large box.,natural,,0.963961253917271,8.2635,0.4445,0.005,False,64,generated_natural
close large4fbox flaps,close large4fbox flaps,original,,1.0,8.3944,0.7612,0.0059,False,64,search_boards
close low fridge,"Assuming it is currently ajar, ensure that the lower appliance used for keeping perishables cold is returned to a firmly shut state.",adversarial,,0.0,5.3941,-5.652,0.0191,False,64,generated_adversarial
close low fridge,"Should you find the inferior food-chilling compartment currently unsealed, please engage its swinging barrier and push until it sits entirely flush with the main chassis.",adversarial,,0.1095208295989601,5.7567,-5.0703,0.0099,False,64,generated_adversarial
close low fridge,The cold storage compartment situated nearest to ground level currently requires its swinging access panel to be returned to a completely secured position.,adversarial,,0.1266915121833829,5.8136,-5.0327,0.0064,False,64,generated_adversarial
close low fridge,Would you be so kind as to seal the aperture of the refrigeration unit located closest to the floor?,adversarial,,0.477860988029047,6.9763,-2.452,0.005,False,64,generated_adversarial
close low fridge,close the lower white door,search,,0.6131776629609337,7.4244,-1.447,0.0049,False,64,search_boards
close low fridge,"The lower refrigerator is open, please shut it.",natural,,0.6220402327207036,7.4537,-1.3114,0.0076,False,64,generated_natural
close low fridge,Close the under-counter cooler.,natural,,0.6470431019829883,7.5365,-1.2031,0.0046,False,64,generated_natural
close low fridge,Please close the fridge down by your feet.,natural,,0.7598995399277827,7.9102,-0.3444,0.0053,False,64,generated_natural
close low fridge,shut the white door,search,,0.786657635769357,7.9988,-0.1643,0.0045,False,64,search_boards
close low fridge,close the cabinet below the dispenser,search,,0.7926905396204599,8.0187,-0.1275,0.0042,False,64,search_boards
close low fridge,Make sure the bottom fridge door is pushed all the way shut.,natural,,0.8293055834803873,8.14,0.1532,0.0045,False,64,generated_natural
close low fridge,shut the white cupboard door,search,,0.8336004276015511,8.1542,0.183,0.0044,False,64,search_boards
close low fridge,Can you close the lower fridge for me?,natural,,0.835284987775245,8.1598,0.2135,0.0051,False,64,generated_natural
close low fridge,close the white door,search,,0.8452573970741387,8.1928,0.2824,0.0049,False,64,search_boards
close low fridge,close the white cupboard door,search,,0.864542545596738,8.2566,0.4209,0.0047,False,64,search_boards
close low fridge,shut the lower cabinet door,search,,0.8654149971366082,8.2595,0.4223,0.0045,False,64,search_boards
close low fridge,Push the bottom fridge door closed.,natural,,0.8963702433736879,8.362,0.6653,0.005,False,64,generated_natural
close low fridge,Shut the bottom refrigerator.,natural,,0.9169725915214644,8.4302,0.8141,0.0048,False,64,generated_natural
close low fridge,Shut the low fridge.,natural,,0.9974032729457052,8.6966,1.4099,0.0047,False,64,generated_natural
close low fridge,close low fridge,original,,1.0,8.7052,1.4289,0.0047,False,64,search_boards
close microwave,"Noting that the cooking cavity where we warm our meals has been left exposed to the ambient air, please rectify this by swinging its front portal firmly shut.",adversarial,,0.0,5.8067,-4.8305,0.0149,False,64,generated_adversarial
close microwave,"Given that the appliance we use to reheat leftovers is presently ajar, I would appreciate it if you could thrust its transparent panel back into the latching mechanism.",adversarial,,0.2191916013436404,6.4021,-3.5017,0.0145,False,64,generated_adversarial
close microwave,"If it would not be too much trouble, could you kindly ensure that the hinged barrier of the electromagnetic food-heating apparatus is pushed entirely into its secured position.",adversarial,,0.3302981596425705,6.7038,-2.9226,0.0106,False,64,generated_adversarial
close microwave,"Before proceeding to any other task, I require you to manipulate the hinged visor of the high-frequency radiation oven until it clicks securely into its sealed configuration.",adversarial,,0.3518041289961726,6.7622,-2.8966,0.0065,False,64,generated_adversarial
close microwave,Shut the door of the cooking appliance for me.,natural,,0.4388397936639172,6.9986,-2.2656,0.0104,False,64,generated_natural
close microwave,"The microwave is still open, please close it.",natural,,0.4840854122604638,7.1215,-1.7334,0.0204,False,64,generated_natural
close microwave,push the wooden microwave shut,search,,0.9131950335341236,8.287,0.4975,0.0051,False,64,search_boards
close microwave,I need you to close the microwave for me.,natural,,0.92152576886339,8.3096,0.5522,0.0052,False,64,generated_natural
close microwave,shut the wooden microwave,search,,0.9452785307010132,8.3741,0.6967,0.0052,False,64,search_boards
close microwave,Can you close the door on the microwave?,natural,,0.9466197658133464,8.3778,0.7121,0.0055,False,64,generated_natural
close microwave,Make sure the microwave is completely closed.,natural,,0.950310214877696,8.3878,0.7206,0.0049,False,64,generated_natural
close microwave,Push the microwave door closed.,natural,,0.951166334206824,8.3901,0.7341,0.0052,False,64,generated_natural
close microwave,close the wooden microwave,search,,0.953988878379822,8.3978,0.754,0.0053,False,64,search_boards
close microwave,shut the white microwave door,search,,0.9552232689809028,8.4011,0.7549,0.0051,False,64,search_boards
close microwave,Swing the microwave door shut.,natural,,0.9580446305066772,8.4088,0.7698,0.005,False,64,generated_natural
close microwave,push the white microwave shut,search,,0.9641829067189674,8.4255,0.806,0.0049,False,64,search_boards
close microwave,shut the microwave door,search,,0.9739483715599532,8.452,0.8706,0.0051,False,64,search_boards
close microwave,Please shut the microwave.,natural,,0.9766864212878038,8.4594,0.8839,0.005,False,64,generated_natural
close microwave,shut the white microwave,search,,0.9767019666012812,8.4595,0.8849,0.005,False,64,search_boards
close microwave,shut the microwave,search,,0.9871712006191548,8.4879,0.951,0.0051,False,64,search_boards
close microwave,close microwave,original,,1.0,8.5227,1.0344,0.0053,False,64,search_boards
close oven,"Please direct your end-effectors to the gaping facade of the kitchen's primary thermal baking unit, and pivot its hinged transparent partition until the cavity is securely sealed.",adversarial,,0.0,5.6204,-4.991,0.0251,False,64,generated_adversarial
close oven,"Given that the primary heating chamber used for baking is currently ajar, it is imperative that you pivot its heavy glass barrier into the fully sealed position.",adversarial,,0.0182127395949771,5.6714,-4.9346,0.0228,False,64,generated_adversarial
close oven,"Without delaying any further, apply forward pressure to the drop-down barrier of the pastry-baking appliance until the interior is entirely sealed off from the room.",adversarial,,0.0339122801774381,5.7154,-4.7427,0.0265,False,64,generated_adversarial
close oven,Go ahead and close the door with the glass window.,natural,,0.043880568195388,5.7433,-4.8576,0.0195,False,64,generated_natural
close oven,"If it would not be an excessive imposition, I require you to rectify the exposed state of the large thermal appliance where the roasting happens by pushing its door entirely shut.",adversarial,,0.3167008046497889,6.5071,-3.154,0.0189,False,64,generated_adversarial
close oven,Please make sure the cooker is closed.,natural,,0.4117746056489451,6.7732,-2.1383,0.0353,False,64,generated_natural
close oven,push the open oven door until it is shut,search,,0.7816787044588257,7.8088,-0.5798,0.005,False,64,search_boards
close oven,Swing the stainless steel oven door closed.,natural,,0.82195311311862,7.9215,-0.3209,0.0052,False,64,generated_natural
close oven,shut the open oven door,search,,0.8982617304616223,8.1352,0.1579,0.0051,False,64,search_boards
close oven,push the oven door back to close it,search,,0.9003152951865965,8.1409,0.1643,0.0049,False,64,search_boards
close oven,push the open oven door shut,search,,0.905872266396172,8.1565,0.2009,0.0049,False,64,search_boards
close oven,Just grab the handle and close up the oven.,natural,,0.9120891750286594,8.1739,0.2444,0.0051,False,64,generated_natural
close oven,The oven needs to be shut now.,natural,,0.9239395776854996,8.2071,0.3224,0.0052,False,64,generated_natural
