task,phrases,best,worst,median,rollout_measured,thin_evidence,spread
upright basil bottle cardboard fence,9,0.9946097061312368,0.8778437454952699,0.985605446408492,0,0,0.11676596063596689
put eggplant into pan,8,0.9817361622452926,0.8736564008585179,0.974471245184986,0,0,0.10807976138677466
put eggplant in pot or pan,5,0.9673948448602162,0.8861578110870247,0.9652592840012515,0,0,0.08123703377319147
end effector reaching corn,8,0.9945333159696917,0.9182347547569982,0.9944698733049954,0,0,0.07629856121269352
put pan on stove and put stuffedpig in pan,14,0.9887780722416524,0.9182007543377287,0.9498626988242822,0,0,0.07057731790392363
put cup from counter or drying rack into sink,7,0.9744969336281516,0.9049089471843169,0.9430389347077303,0,0,0.06958798644383468
take the eggplant and put it between the two right burners,7,0.9945926875357605,0.9257050015717012,0.9509140802345907,0,0,0.06888768596405925
pick up pot from sink,9,0.9788316574093477,0.9158059603271519,0.97505356003271,0,0,0.06302569708219585
put pan from drying rack into sink,7,0.9913124001924769,0.9362608171449133,0.9739425865446268,0,0,0.055051583047563635
flip pot upright which is in sink,7,0.9909218151180561,0.9460675290127099,0.9573951252381603,0,0,0.04485428610534625
put pot on stove which is near stove,8,0.9892743134674953,0.9459229583081923,0.9781941226353728,0,0,0.043351355159302996
right pepper shaker,7,0.9945847678898262,0.9517525622437493,0.9832518406316414,0,0,0.042832205646076926
flip orange pot upright in sink,7,0.9946018112757548,0.9517941274759707,0.9779413543753767,0,0,0.04280768379978406
put pot or pan on stove,9,0.9887881157083154,0.9473692921074452,0.9868543572749676,0,0,0.041418823600870125
fold the cloth from left to right,6,0.9946133460364723,0.953539568811669,0.9833915126463619,0,0,0.04107377722480332
put cup into pot or pan,11,0.979585158099471,0.9393887046286841,0.9600722480968056,0,0,0.04019645347078693
put spatula on plate sink,7,0.9946194071135177,0.9561024364354106,0.985300394724448,0,0,0.03851697067810711
fold the cloth from the left to the right,9,0.9946321133053252,0.9574597179238372,0.9911172426056674,0,0,0.03717239538148798
move the cloth from right to left,7,0.9935158391542618,0.9567627583218431,0.9893711634430312,0,0,0.03675308083241868
fold the cloth from bottom to top,5,0.9916028515802773,0.9576070071298886,0.9870236112271262,0,0,0.033995844450388724
Fold the cloth from bottom left to top right,5,0.9945756155010826,0.9623177522206522,0.9876047793936428,0,0,0.032257863280430454
unfold the cloth from bottom left to top right,4,0.990696081005384,0.9588706904388641,0.9640677869037344,0,0,0.031825390566519896
lift bowl,8,0.9945999877534533,0.9636412049341714,0.9773032688459924,0,0,0.030958782819281883
opened the drawer,8,0.9946345301465471,0.9637243976175665,0.9861084288367103,0,0,0.03091013252898067
unfold the cloth from top left to bottom right,7,0.9871275818574134,0.9581958382240827,0.981538248038394,0,0,0.02893174363333073
unzip zipper bag,7,0.9946042416861717,0.9673269401624639,0.9894895386823299,0,0,0.027277301523707775
put pan from stove to sink,11,0.9903853539767147,0.9648776993675298,0.9839867148865049,0,0,0.025507654609184915
fold the cloth from top left to bottom right,8,0.9946066710082858,0.9693831403288117,0.9884136871537412,0,0,0.025223530679474138
put potato in pot or pan,7,0.9945376221355594,0.9702773107059005,0.9729657310615076,0,0,0.0242603114296589
put redcube in pan and put pan on stove,11,0.98834420778837,0.964293843477513,0.9846744806618292,0,0,0.024050364310856942
take lid off pot or pan,7,0.9945400812870154,0.9708817147095791,0.9766378318182906,0,0,0.023658366577436363
take sushi out of pan,7,0.9944689395401114,0.9711936831938629,0.989331810919236,0,0,0.023275256346248496
lever vertical to front,12,0.9945902519493166,0.9714239577223718,0.9945259244249633,0,0,0.023166294226944828
put spoon in pot,10,0.9944782709204765,0.9726242322326477,0.9886353717419114,0,0,0.02185403868782876
put potato in pot cardboard fence,7,0.9946496109024807,0.9730222434472386,0.9877877258992969,0,0,0.021627367455242075
put broccoli in bowl,8,0.9946441866932971,0.9733706517518621,0.9795848913539345,0,0,0.021273534941435024
flip pot upright in sink,8,0.9946604429344181,0.9735169587957576,0.9805115678758383,0,0,0.021143484138660518
fold the cloth from the bottom to the top,7,0.9945222274633496,0.9735723501943768,0.9779657592337244,0,0,0.020949877268972794
put green squash in pot or pan,8,0.9946121330064315,0.973769671024169,0.9806215553840802,0,0,0.020842461982262472
put pan on stove and put blueberry in pan,6,0.9945774472087437,0.9745166182563151,0.9792447673577029,0,0,0.020060828952428666
topple basil bottle cardboard fence,7,0.9945762261386667,0.9748406743207638,0.9859748703953062,0,0,0.019735551817902874
put sweet potato in pot which is in sink,8,0.9845785294773002,0.9651832881632557,0.971414888903182,0,0,0.019395241314044465
put detergent from sink into drying rack,8,0.9917495413363566,0.9730519406574062,0.9817002101915513,0,0,0.018697600678950432
put corn in pan which is on stove,11,0.9851056822886609,0.9666695246444735,0.9696307688734167,0,0,0.01843615764418738
move the cloth to the left of the table,9,0.9918900481494576,0.9737841231957708,0.9843639569206785,0,0,0.01810592495368679
put sushi in pot or pan,9,0.994635738161268,0.9766455785269434,0.990083264714525,0,0,0.0179901596343246
unfold the cloth from right to left,9,0.9946139524496298,0.97691513919658,0.9891243557986703,0,0,0.017698813253049783
put lid on pot,8,0.9946084922859626,0.9769457520353544,0.9874891176235314,0,0,0.01766274025060821
take spatula off plate sink,8,0.9945981636185065,0.9774501676429097,0.9824499706207317,0,0,0.017147995975596797
put cup from counter to sink,11,0.9865258495836625,0.9695940823623616,0.9734175553382257,0,0,0.016931767221300964
unfold the cloth from left to right,7,0.9892755144518537,0.9726904603756634,0.9808894051052087,0,0,0.016585054076190264
end effector reaching banana,8,0.9947231964485689,0.9781697206955979,0.9925584713032339,0,0,0.016553475752970948
put eggplant into pot or pan,6,0.9892334007495545,0.9728254423490854,0.9753715470346691,0,0,0.016407958400469047
upright hot sauce bottle cardboard fence,9,0.9946036341856146,0.9791806199247797,0.988687279859409,0,0,0.015423014260834922
put pot or pan in sink,6,0.9945320850166169,0.9791182248830647,0.9869712161144129,0,0,0.015413860133552282
put fork from basket to tray,7,0.9807017855031009,0.9653010135257137,0.9780217902914601,0,0,0.015400771977387206
put eggplant on plate,6,0.9945615519501302,0.9795670410949057,0.9811820797846778,0,0,0.014994510855224519
put cucumber in cup,8,0.9946103129519435,0.9797205351707923,0.9879578623745299,0,0,0.014889777781151192
end effector reaching carrot,6,0.9946393605825911,0.9806352630756795,0.9882412527915032,0,0,0.014004097506911561
open brown1fbox flap,8,0.9945209940271911,0.9807060695715404,0.9940866150888583,0,0,0.01381492445565069
put lemon on plate,7,0.9946640487624046,0.9808745465237392,0.9819640973072147,0,0,0.013789502238665374
put broccoli in pot,8,0.99464720081773,0.9815566994325401,0.986361063146844,0,0,0.013090501385189857
put pan on stove from sink,7,0.9945462243497157,0.9815751327318087,0.9880243873413024,0,0,0.012971091617906993
end effector reaching pot or pan,7,0.9946133460364723,0.9816894232889016,0.9929271192268445,0,0,0.012923922747570704
put corn in bowl sink,6,0.9946005956622819,0.9816833182561242,0.9840343153603546,0,0,0.012917277406157668
put sweet potato in pot,5,0.9945896428822435,0.9816772112258253,0.9821535616512245,0,0,0.0129124316564182
open low fridge,8,0.991409343257954,0.9785507488384135,0.9910691781116601,0,0,0.012858594419540514
pick up violet Allen key,8,0.9945817188013484,0.982238675478664,0.9870903761087725,0,0,0.012343043322684433
fold the cloth from the top left to the bottom right,8,0.9919823982308019,0.9796912782761616,0.9872335724477356,0,0,0.012291119954640273
pick up bit holder,9,0.9945419249280297,0.9822603846820271,0.9868367244079498,0,0,0.012281540246002587
unfold the cloth from top right to bottom left,6,0.9925099456206233,0.9804863890527084,0.9877554951659586,0,0,0.012023556567914984
put green squash into pot or pan,10,0.9922714859184094,0.9802730151218658,0.9873649893563803,0,0,0.011998470796543592
put banana in colander,9,0.994568893973317,0.9831752440130713,0.9909085681922842,0,0,0.011393649960245722
put knife on cutting board,6,0.9935427639559149,0.9822781273756873,0.9834641663755868,0,0,0.011264636580227583
put pan on stove and put stuffedduck in pan,8,0.9915631732097377,0.9805426177631135,0.9868070224053787,0,0,0.01102055544662428
open the drawer,7,0.9946538259540156,0.9837042731188554,0.9865378813140937,0,0,0.010949552835160192
put knife in pot or pan,7,0.9946084922859626,0.983897291866433,0.9850840761873427,0,0,0.010711200419529554
fold the cloth from top right to bottom left,7,0.9914784774988687,0.9807744880023228,0.9899072507389007,0,0,0.01070398949654594
put corn into bowl,7,0.994621829644651,0.9839366983510173,0.9866307686034149,0,0,0.010685131293633687
put red bottle in sink,7,0.9945627763057893,0.9843343116177017,0.9896472785740432,0,0,0.01022846468808758
pick up glass cup,6,0.994560939669482,0.9847273435295136,0.9864001723150957,0,0,0.00983359613996837
put spoon in bowl sink,8,0.9945406959028243,0.9847817233542687,0.9891220987723361,0,0,0.009758972548555622
put pear in bowl,5,0.9945640003873164,0.9851653538294075,0.9880698388636482,0,0,0.009398646557908896
put pepper in pan,8,0.994597555437346,0.985445593234007,0.9895873855329862,0,0,0.009151962203338915
put the silver lid on the silver pot,6,0.9946423774084148,0.9855861627868001,0.9880099481573601,0,0,0.009056214621614656
put banana in pot or pan,9,0.9946447896532009,0.9859262638480762,0.992164860339828,0,0,0.008718525805124666
fold cloth in half,9,0.9946393605825911,0.9863318932400672,0.9898346157780753,0,0,0.008307467342523855
close brown1fbox flap,7,0.9945597149025106,0.986424666582103,0.9927614654793453,0,0,0.008135048320407567
put potato on plate,5,0.9945969471880832,0.9866008742485295,0.9872021600132833,0,0,0.007996072939553733
put knife in pot cardboard fence,8,0.9945865965237277,0.9866262886480291,0.9896861659273744,0,0,0.007960307875698569
take cup off plate,11,0.9922218494353575,0.9843604721054957,0.990583777542997,0,0,0.007861377329861807
take sushi off plate,8,0.9946490084824962,0.9868308416013405,0.9911132699292566,0,0,0.007818166881155664
put banana in pot cardboard fence,8,0.9945768367078845,0.9868426046216832,0.989867483614306,0,0,0.007734232086201387
put carrot in bowl,7,0.9910361587568973,0.9833336605772017,0.9889883617486512,0,0,0.007702498179695594
open large4fbox flaps,8,0.9945517472288111,0.9869231952176886,0.9937319578422856,0,0,0.007628552011122558
put pan in sink,7,0.9945376221355594,0.9872407149140279,0.9888369504867222,0,0,0.0072969072215315345
put lid on pot or pan,8,0.994637549676156,0.9874092802981977,0.9887027024838462,0,0,0.007228269377958285
fold the cloth from right to left,15,0.9918288134994284,0.9846778965983976,0.9873528664063607,0,0,0.007150916901030868
flip cup upright,8,0.9934513528596469,0.9864276977931222,0.988222361422407,0,0,0.007023655066524692
take banana out of colander,8,0.9945841582086817,0.9875895278642747,0.9900337933079693,0,0,0.00699463034440706
put strawberry in pot,8,0.9904487391232868,0.9834814185958082,0.9862131560287317,0,0,0.006967320527478615
take corn out of bowl sink,6,0.9893198574816099,0.9823920518887458,0.9868026619402124,0,0,0.0069278055928641
open book,5,0.9946151650722572,0.9878177296102824,0.9945963388707114,0,0,0.006797435461974866
pick up bowl and put in small4fbox,8,0.9946272763740842,0.9882288979444598,0.9913123472726009,0,0,0.0063983784296244295
put bowl on plate cardboard fence,9,0.9932487355442138,0.9868763655883482,0.9926143999162055,0,0,0.006372369955865542
pick up green mug,7,0.9945067896438294,0.988178757270945,0.9894907158233471,0,0,0.0063280323728844845
open fridge,10,0.9945737831780571,0.9889203556144059,0.9908042161991473,0,0,0.00565342756365117
put pear on plate,9,0.9946048491187096,0.9893031004077716,0.9929398268874582,0,0,0.005301748710938026
take cucumber out of cup,7,0.9946628470889306,0.9893687825347923,0.992060342596579,0,0,0.005294064554138278
put broccoli in pot or pan,9,0.9946580377027552,0.9894281472569921,0.9908338250963725,0,0,0.005229890445763052
take clothes out of laundry machine,7,0.9946622461512593,0.9899174237457072,0.9911122585472177,0,0,0.004744822405552074
take beet from pot sink,7,0.9935340437805331,0.9889091878678903,0.9916601503908281,0,0,0.0046248559126428335
put pan from sink into drying rack,7,0.9945049342003125,0.9900163598770529,0.9909918062251254,0,0,0.004488574323259553
zip zipper bag,7,0.9946327176171221,0.9902551470438297,0.9913765035377838,0,0,0.004377570573292466
pick up box cutter and put into drawer,9,0.9945370071756024,0.9901992817864853,0.9924567462970201,0,0,0.004337725389117142
put spatula in pan,7,0.9922818955884902,0.9881257496312896,0.9888980089911956,0,0,0.0041561459572005965
put corn on plate,6,0.9946060637797592,0.9907190064638057,0.9917828621329439,0,0,0.0038870573159535127
put carrot on cutting board,9,0.9890853216169541,0.9852987552005282,0.9887516658029216,0,0,0.0037865664164258295
turn faucet front to left,7,0.9945640003873164,0.9907957094479585,0.9923406214727628,0,0,0.0037682909393579322
move the cloth from left to right,7,0.9946145587948891,0.9908492327996345,0.9913435393765117,0,0,0.003765325995254587
sweep into pile,7,0.9945646123252992,0.9908533371850003,0.9925802992379532,0,0,0.0037112751402988975
put spatula on cutting board,7,0.9946592404532604,0.9909492668847699,0.9915195026311561,0,0,0.0037099735684904545
put banana on plate,8,0.9945283905032253,0.9908317687948891,0.9913419891431816,0,0,0.0036966217083361785
topple hot sauce bottle cardboard fence,6,0.991181783852155,0.987599235525539,0.9899128456792684,0,0,0.0035825483266160862
take sushi out of pot cardboard fence,8,0.9945731722669321,0.991223240019089,0.991883615333266,0,0,0.0033499322478430793
put pot or pan from sink into drying rack,13,0.9939089365620996,0.9905774405467548,0.9922671444455319,0,0,0.0033314960153447704
take broccoli out of pan,8,0.9892562827299393,0.9862323483015333,0.9891109041910338,0,0,0.0030239344284059833
close small4fbox flaps,7,0.99464720081773,0.9916479717662475,0.9945419249280297,0,0,0.0029992290514824216
unfold the cloth from bottom right to top left,5,0.9882814505822769,0.9857683340385439,0.9860061415970289,0,0,0.002513116543732985
pick up sponge and wipe plate,8,0.9945431536780692,0.9921595789700224,0.9929813643436729,0,0,0.002383574708046843
put knife on cutting board cardboard fence,7,0.9897717819234741,0.9875227586020818,0.9883324661642579,0,0,0.0022490233213923183
put cap on container,6,0.9895024800618568,0.9875687004576648,0.98874672191396,0,0,0.001933779604192054
open drawer of box,7,0.9946550296477064,0.9937394301018242,0.9946133460364723,0,0,0.000915599545882162
pour almonds in pot,8,0.9945333159696917,0.993732384003476,0.9938709139823112,0,0,0.0008009319662157788
open cabinet,7,0.9924855034532925,0.9918508008300957,0.9921622200962575,0,0,0.000634702623196759
open small4fbox flaps,8,0.9945957304852225,0.9940911930963371,0.9944906783801849,0,0,0.000504537388885451
open oven,8,0.9945707279383151,0.9943174869373369,0.9945329648403136,0,0,0.00025324100097823266
close microwave,9,0.9946844360864334,0.9945474521371536,0.9945768367078845,0,0,0.00013698394927985635
close fridge,7,0.9946036341856146,0.9944987448861783,0.9945804986879231,0,0,0.00010488929943630598
close oven,9,0.9946447896532009,0.9945474521371536,0.9945878152717943,0,0,9.733751604734664e-05
turn faucet left,8,0.9943328159171345,0.9942402214635805,0.994273186065076,0,0,9.259445355402907e-05
close white1fbox flap,6,0.994633321861253,0.9945419249280297,0.9945655281772878,0,0,9.139693322324227e-05
close low fridge,8,0.9946742521276839,0.9945969471880832,0.9946157712478039,0,0,7.73049396006753e-05
turn faucet right,8,0.9945548130911787,0.9944782709204765,0.9945108075565179,0,0,7.654217070218738e-05
end effector reaching stuffedrabbit,8,0.9946640487624046,0.9946200128480285,0.9946381528384431,0,0,4.403591437607268e-05
