task,suite,task_id,canonical,split_20260901,eval_set_20260904,phrase_a,phrase_b,a_is_canonical,edit_type,span_a,span_b,span_pos,edit_class,succ_a,succ_b,delta,p_z,p_fisher,both,a_only,b_only,neither,p_mcnemar,designed,design_note,source_a,source_b,significant_18pp
libero_90/17,libero_90,17,stack the middle black bowl on the back black bowl,train,,stack the middle black bowl on the back black bowl,stack the centre black bowl on the back black bowl,True,replace,middle,centre,2,noun/other,0,0,0,1.0,1.0,0,0,0,50,1.0,True,round6: G identical-object locator; middle -> centre,round6,round6,False
libero_90/17,libero_90,17,stack the middle black bowl on the back black bowl,train,,stack the middle black bowl on the back black bowl,stack the middle black bowl on the rear black bowl,True,replace,back,rear,7,noun/other,0,0,0,1.0,1.0,0,0,0,50,1.0,True,round6: G identical-object locator; back -> rear,round6,round6,False
libero_90/19,libero_90,19,put the moka pot on the stove,train,,put the moka pot on the stove,put the coffee pot on the stove,True,replace,moka,coffee,2,noun/other,94,84,-10,0.11004143475794968,0.19971707940132497,41,6,1,2,0.125,True,minpair: TARGET; minpair,roll50,minpair_partial,False
libero_90/19,libero_90,19,put the moka pot on the stove,train,,put the moka pot on the stove,put the espresso pot on the stove,True,replace,moka,espresso,2,noun/other,94,84,-10,0.11004143475794968,0.19971707940132497,41,6,1,2,0.125,True,minpair: TARGET; minpair,roll50,minpair_partial,False
libero_90/19,libero_90,19,put the moka pot on the stove,train,,put the moka pot on the burner,put the moka pot on the stove.,False,replace,burner,stove.,6,noun/other,96,90,-6,0.23967772321846303,0.4360315033131094,44,4,1,1,0.375,False,,minpair_partial,round8,False
libero_90/19,libero_90,19,put the moka pot on the stove,train,,put the moka pot on the burner,put the moka pot on the hot plate,False,replace,burner,hot plate,6,noun/other,96,92,-4,0.39970292178238365,0.6777322876074912,44,4,2,0,0.6875,False,,minpair_partial,round2,False
libero_90/19,libero_90,19,put the moka pot on the stove,train,,put the moka pot on the stove,put the moka pot on the stove.,True,replace,stove,stove.,6,punctuation,94,90,-4,0.4609947864255787,0.7149836629646897,42,5,3,0,0.7265625,True,round8: A formatting; trailing period (Bridge: -11pp),roll50,round8,False
libero_90/19,libero_90,19,put the moka pot on the stove,train,,put the moka pot on the stove,Put the moka pot on the stove,True,replace,put,Put,0,case,94,92,-2,0.6951092703010286,1.0,43,4,3,0,1.0,True,round8: A formatting; capitalise (Bridge: -12pp),roll50,round8,False
libero_90/19,libero_90,19,put the moka pot on the stove,train,,can you put the moka pot on the stove,i want the moka pot on the stove,False,replace,can you put,i want,0,verb/frame,94,92,-2,0.6951092703010286,1.0,44,3,2,1,1.0,False,,round8,round8,False
libero_90/19,libero_90,19,put the moka pot on the stove,train,,can you put the moka pot on the stove,just put the moka pot on the stove,False,replace,can you,just,0,noun/other,94,92,-2,0.6951092703010286,1.0,44,3,2,1,1.0,False,,round8,roll50,False
libero_90/19,libero_90,19,put the moka pot on the stove,train,,put the moka pot on the stove,i want the moka pot on the stove,True,replace,put,i want,0,verb/frame,94,92,-2,0.6951092703010286,1.0,44,3,2,1,1.0,True,round8: F sentence structure; desire,roll50,round8,False
libero_90/19,libero_90,19,put the moka pot on the stove,train,,put the moka pot on the stove,just put the moka pot on the stove,True,insert,,just,0,words added,94,92,-2,0.6951092703010286,1.0,44,3,2,1,1.0,True,roll50: proposed; probe50,roll50,roll50,False
libero_90/19,libero_90,19,put the moka pot on the stove,train,,put the moka pot on the stove,put the moka pot on the hot plate,True,replace,stove,hot plate,6,noun/other,94,92,-2,0.6951092703010286,1.0,43,4,3,0,1.0,True,round2: A_transfer; stove -> hot plate; r2,roll50,round2,False
libero_90/19,libero_90,19,put the moka pot on the stove,train,,put the moka pot on the hot plate,put the moka pot on the stove.,False,replace,hot plate,stove.,6,noun/other,92,90,-2,0.7267678061991002,1.0,41,5,4,0,1.0,False,,round2,round8,False
libero_90/19,libero_90,19,put the moka pot on the stove,train,,put the moka pot on the stove,put the silver moka pot on the stove,True,insert,,silver,2,words added,94,92,-2,0.6951092703010286,1.0,43,4,3,0,1.0,True,round6: E specificity penalty; add 'silver',roll50,round6,False
libero_90/19,libero_90,19,put the moka pot on the stove,train,,Put the moka pot on the stove,i want the moka pot on the stove,False,replace,Put,i want,0,verb/frame,92,92,0,1.0,1.0,43,3,3,1,1.0,False,,round8,round8,False
libero_90/19,libero_90,19,put the moka pot on the stove,train,,Put the moka pot on the stove,just put the moka pot on the stove,False,replace,Put,just put,0,words added,92,92,0,1.0,1.0,43,3,3,1,1.0,False,,round8,roll50,False
libero_90/19,libero_90,19,put the moka pot on the stove,train,,put the moka pot on the stove,can you put the moka pot on the stove,True,insert,,can you,0,verb/frame,94,94,0,1.0,1.0,45,2,2,1,1.0,True,round8: F sentence structure; question,roll50,round8,False
libero_90/19,libero_90,19,put the moka pot on the stove,train,,i want the moka pot on the stove,just put the moka pot on the stove,False,replace,i want,just put,0,noun/other,92,92,0,1.0,1.0,45,1,1,3,1.0,False,,round8,roll50,False
libero_90/19,libero_90,19,put the moka pot on the stove,train,,put the coffee pot on the stove,put the espresso pot on the stove,False,replace,coffee,espresso,2,noun/other,84,84,0,1.0,0.9999999999999999,36,6,6,2,1.0,False,,minpair_partial,minpair_partial,False
libero_90/19,libero_90,19,put the moka pot on the stove,train,,the moka pot goes on the stove,the moka pot should be put on the stove,False,replace,goes,should be put,3,verb/frame,90,90,0,1.0,1.0,41,4,4,1,1.0,False,,round8,round8,False
libero_90/19,libero_90,19,put the moka pot on the stove,train,,Put the moka pot on the stove,can you put the moka pot on the stove,False,replace,Put,can you put,0,verb/frame,92,94,2,0.6951092703010286,1.0,44,2,3,1,1.0,False,,round8,round8,False
libero_90/19,libero_90,19,put the moka pot on the stove,train,,put the moka pot on the stove,put the moka pot on the burner,True,replace,stove,burner,6,noun/other,94,96,2,0.64635519553949,1.0,45,2,3,0,1.0,True,minpair: DEST; minpair,roll50,minpair_partial,False
libero_90/19,libero_90,19,put the moka pot on the stove,train,,put the coffee pot on the stove,put the silver moka pot on the stove,False,replace,coffee,silver moka,2,noun/other,84,92,8,0.21835469056590126,0.35666132312750487,39,3,7,1,0.34375,False,,minpair_partial,round6,False
libero_90/19,libero_90,19,put the moka pot on the stove,train,,put the espresso pot on the stove,put the silver moka pot on the stove,False,replace,espresso,silver moka,2,noun/other,84,92,8,0.21835469056590126,0.35666132312750487,38,4,8,0,0.3876953125,False,,minpair_partial,round6,False
libero_90/21,libero_90,21,turn on the stove and put the frying pan on it,train,,fire up the stove and put the frying pan on it,start the stove and put the frying pan on it,False,replace,fire up,start,0,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,False,,round6,round6,False
libero_90/21,libero_90,21,turn on the stove and put the frying pan on it,train,,fire up the stove and put the frying pan on it,switch on the stove and put the frying pan on it,False,replace,fire up,switch on,0,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,False,,round6,round6,False
libero_90/21,libero_90,21,turn on the stove and put the frying pan on it,train,,turn on the stove and put the frying pan on it,fire up the stove and put the frying pan on it,True,replace,turn on,fire up,0,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,True,round6: C verb rescue; verb alternative,round6,round6,False
libero_90/21,libero_90,21,turn on the stove and put the frying pan on it,train,,start the stove and put the frying pan on it,switch on the stove and put the frying pan on it,False,replace,start,switch on,0,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,False,,round6,round6,False
libero_90/21,libero_90,21,turn on the stove and put the frying pan on it,train,,turn on the stove and put the frying pan on it,start the stove and put the frying pan on it,True,replace,turn on,start,0,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,True,round6: C verb rescue; verb alternative,round6,round6,False
libero_90/21,libero_90,21,turn on the stove and put the frying pan on it,train,,turn on the stove and put the frying pan on it,switch on the stove and put the frying pan on it,True,replace,turn,switch,0,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,True,round6: C verb rescue; verb alternative,round6,round6,False
libero_90/22,libero_90,22,close the bottom drawer of the cabinet,train,,close the bottom drawer of the cupboard,close the bottom drawer of the wooden cabinet,False,replace,cupboard,wooden cabinet,6,noun/other,100,98,-2,0.31487864133641963,1.0,49,1,0,0,1.0,False,,roll50,round6,False
libero_90/22,libero_90,22,close the bottom drawer of the cabinet,train,,close the bottom drawer of the cabinet,close the bottom drawer of the wooden cabinet,True,insert,,wooden,6,color,96,98,2,0.5577341459422835,1.0,47,1,2,0,1.0,True,round6: E specificity penalty; add 'wooden',roll50,round6,False
libero_90/22,libero_90,22,close the bottom drawer of the cabinet,train,,close the bottom drawer of the cabinet,close the bottom drawer of the cupboard,True,replace,cabinet,cupboard,6,noun/other,96,100,4,0.15312745101966943,0.494949494949495,48,0,2,0,0.5,True,roll50: proposed; probe50,roll50,roll50,False
libero_90/22,libero_90,22,close the bottom drawer of the cabinet,train,,close the bottom drawer of the cabinet,close the lower drawer of the cabinet,True,replace,bottom,lower,2,noun/other,96,100,4,0.15312745101966943,0.494949494949495,48,0,2,0,0.5,True,roll50: proposed; probe50,roll50,roll50,False
libero_90/23,libero_90,23,close the bottom drawer of the cabinet and open the top drawer,train,,close the bottom drawer of the cabinet and open the top drawer,push in the bottom drawer of the cabinet and open the top drawer,True,replace,close,push in,0,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,True,round6: F more floor rescues; paraphrase,round6,round6,False
libero_90/23,libero_90,23,close the bottom drawer of the cabinet and open the top drawer,train,,close the bottom drawer of the cabinet and open the top drawer,shut the bottom drawer of the cabinet and open the top drawer,True,replace,close,shut,0,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,True,round6: F more floor rescues; paraphrase,round6,round6,False
libero_90/23,libero_90,23,close the bottom drawer of the cabinet and open the top drawer,train,,push in the bottom drawer of the cabinet and open the top drawer,shut the bottom drawer of the cabinet and open the top drawer,False,replace,push in,shut,0,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,False,,round6,round6,False
libero_90/24,libero_90,24,put the black bowl in the bottom drawer of the cabinet,train,,can you put the black bowl in the bottom drawer of the cabinet,i want the black bowl in the bottom drawer of the cabinet,False,replace,can you put,i want,0,verb/frame,100,100,0,1.0,1.0,50,0,0,0,1.0,False,,round8,round8,False
libero_90/24,libero_90,24,put the black bowl in the bottom drawer of the cabinet,train,,can you put the black bowl in the bottom drawer of the cabinet,place the black bowl in the bottom drawer of the cabinet,False,replace,can you put,place,0,verb/frame,100,100,0,1.0,1.0,50,0,0,0,1.0,False,,round8,round3,False
libero_90/24,libero_90,24,put the black bowl in the bottom drawer of the cabinet,train,,put the black bowl in the bottom drawer of the cabinet,can you put the black bowl in the bottom drawer of the cabinet,True,insert,,can you,0,verb/frame,100,100,0,1.0,1.0,50,0,0,0,1.0,True,round8: F sentence structure; question,round2,round8,False
libero_90/24,libero_90,24,put the black bowl in the bottom drawer of the cabinet,train,,i want the black bowl in the bottom drawer of the cabinet,place the black bowl in the bottom drawer of the cabinet,False,replace,i want,place,0,verb/frame,100,100,0,1.0,1.0,50,0,0,0,1.0,False,,round8,round3,False
libero_90/24,libero_90,24,put the black bowl in the bottom drawer of the cabinet,train,,put the black bowl in the bottom drawer of the cabinet,i want the black bowl in the bottom drawer of the cabinet,True,replace,put,i want,0,verb/frame,100,100,0,1.0,1.0,50,0,0,0,1.0,True,round8: F sentence structure; desire,round2,round8,False
libero_90/24,libero_90,24,put the black bowl in the bottom drawer of the cabinet,train,,put the black bowl in the bottom drawer of the cabinet,place the black bowl in the bottom drawer of the cabinet,True,replace,put,place,0,verb/frame,100,100,0,1.0,1.0,50,0,0,0,1.0,True,round3: 8 replicate put vs place; 90/59 gave +12pp p=0.241,round2,round3,False
libero_90/24,libero_90,24,put the black bowl in the bottom drawer of the cabinet,train,,put the black bowl in the bottom drawer of the cabinet,put the black bowl in the bottom drawer of the cupboard,True,replace,cabinet,cupboard,10,noun/other,100,100,0,1.0,1.0,50,0,0,0,1.0,True,round2: B_role; DEST rename; r2,round2,round2,False
libero_90/24,libero_90,24,put the black bowl in the bottom drawer of the cabinet,train,,put the black bowl in the bottom drawer of the cabinet,put the black bowl in the bottom drawer of the wooden cabinet,True,insert,,wooden,10,color,100,100,0,1.0,1.0,50,0,0,0,1.0,True,round6: E specificity penalty; add 'wooden',round2,round6,False
libero_90/24,libero_90,24,put the black bowl in the bottom drawer of the cabinet,train,,put the black bowl in the bottom drawer of the cabinet,put the black dish in the bottom drawer of the cabinet,True,replace,bowl,dish,3,noun/other,100,100,0,1.0,1.0,50,0,0,0,1.0,True,round2: B_role; TARGET rename; r2,round2,round2,False
libero_90/24,libero_90,24,put the black bowl in the bottom drawer of the cabinet,train,,put the black bowl in the bottom drawer of the cupboard,put the black bowl in the bottom drawer of the wooden cabinet,False,replace,cupboard,wooden cabinet,10,noun/other,100,100,0,1.0,1.0,50,0,0,0,1.0,False,,round2,round6,False
libero_90/24,libero_90,24,put the black bowl in the bottom drawer of the cabinet,train,,the black bowl goes in the bottom drawer of the cabinet,the black bowl should be put in the bottom drawer of the cabinet,False,replace,goes,should be put,3,verb/frame,100,100,0,1.0,1.0,50,0,0,0,1.0,False,,round8,round8,False
libero_90/25,libero_90,25,put the black bowl on top of the cabinet,train,,put the black bowl on top of the cabinet,place the black bowl on top of the cabinet,True,replace,put,place,0,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,True,"round6: B same string, other scenes; verb",round6,round6,False
libero_90/25,libero_90,25,put the black bowl on top of the cabinet,train,,put the black bowl on top of the cabinet,put the black bowl atop the cabinet,True,replace,on top of,atop,4,preposition/particle,0,0,0,1.0,1.0,0,0,0,50,1.0,True,"round6: B same string, other scenes; preposition",round6,round6,False
libero_90/25,libero_90,25,put the black bowl on top of the cabinet,train,,put the black bowl on top of the cabinet,put the bowl on top of the cabinet,True,delete,black,,2,color,0,0,0,1.0,1.0,0,0,0,50,1.0,True,"round6: B same string, other scenes; drop the colour",round6,round6,False
libero_90/25,libero_90,25,put the black bowl on top of the cabinet,train,,put the black bowl on top of the cabinet,put the grey bowl on top of the cabinet,True,replace,black,grey,2,color,0,0,0,1.0,1.0,0,0,0,50,1.0,True,"round7: same string, scene at 0%",round6,round7,False
libero_90/25,libero_90,25,put the black bowl on top of the cabinet,train,,put the bowl on top of the cabinet,put the grey bowl on top of the cabinet,False,insert,,grey,2,color,0,0,0,1.0,1.0,0,0,0,50,1.0,False,,round6,round7,False
libero_90/28,libero_90,28,close the top drawer of the cabinet,train,,close the open top drawer of the white cabinet on the left,push in the open top drawer of the white cabinet on the left,False,replace,close,push in,0,verb/frame,48,30,-18,0.06500731219208666,0.10040717163394025,10,14,5,21,0.063568115234375,False,,roll50,roll50,False
libero_90/28,libero_90,28,close the top drawer of the cabinet,train,,close the top drawer of the cabinet,close the upper drawer of the cabinet,True,replace,top,upper,2,noun/other,38,38,0,1.0,1.0,11,8,8,23,1.0,True,roll50: modifier; confirm50,roll50,roll50,False
libero_90/30,libero_90,30,put the black bowl on the plate,sealed_test,B_ood_range,put the black bowl on the plate,put the black bowl on the dish,True,replace,plate,dish,6,noun/other,76,20,-56,2.088746156416682e-08,2.8890933972659572e-08,6,32,4,8,1.941574737429619e-06,True,round3: 9 SEALED (held out); held-out plate->dish (90/9 gave -8pp),round3,round3,True
libero_90/30,libero_90,30,put the black bowl on the plate,sealed_test,B_ood_range,put the black bowl on the plate,put the dark bowl on the plate,True,replace,black,dark,2,noun/other,76,72,-4,0.6484182011551726,0.8199963968244333,28,10,8,4,0.8145294189453125,True,round3: 9 SEALED (held out); held-out black->dark (90/9 gave -10pp),round3,round3,False
libero_90/30,libero_90,30,put the black bowl on the plate,sealed_test,B_ood_range,put the black bowl on the plate,put the grey bowl on the plate,True,replace,black,grey,2,color,76,72,-4,0.6484182011551726,0.8199963968244333,31,7,5,7,0.7744140625,True,"round7: sealed scene (76%, dish was -56)",round3,round7,False
libero_90/30,libero_90,30,put the black bowl on the plate,sealed_test,B_ood_range,put the dark bowl on the plate,put the grey bowl on the plate,False,replace,dark,grey,2,noun/other,72,72,0,1.0,0.9999999999999999,28,8,8,6,1.0,False,,round3,round7,False
libero_90/31,libero_90,31,put the black bowl on top of the cabinet,train,,put the bowl on top of the cabinet,put the grey bowl on top of the cabinet,False,insert,,grey,2,color,36,10,-26,0.00200753736420068,0.0037212012790969573,3,15,2,30,0.002349853515625,False,,round6,round7,True
libero_90/31,libero_90,31,put the black bowl on top of the cabinet,train,,put the black bowl on top of the cabinet,put the black bowl atop the cabinet,True,replace,on top of,atop,4,preposition/particle,16,10,-6,0.3723653021980271,0.5535550107112579,1,7,4,38,0.548828125,True,"round6: B same string, other scenes; preposition",round6,round6,False
libero_90/31,libero_90,31,put the black bowl on top of the cabinet,train,,put the black bowl on top of the cabinet,put the grey bowl on top of the cabinet,True,replace,black,grey,2,color,16,10,-6,0.3723653021980271,0.5535550107112579,3,5,2,40,0.453125,True,round7: black 16% / bowl 36% — is 'black' the problem?,round6,round7,False
libero_90/31,libero_90,31,put the black bowl on top of the cabinet,train,,put the black bowl on top of the cabinet,place the black bowl on top of the cabinet,True,replace,put,place,0,verb/frame,16,14,-2,0.7794345284272752,1.0,3,5,4,38,1.0,True,"round6: B same string, other scenes; verb",round6,round6,False
libero_90/31,libero_90,31,put the black bowl on top of the cabinet,train,,put the black bowl on top of the cabinet,put the bowl on top of the cabinet,True,delete,black,,2,color,16,36,20,0.02261932973833059,0.039006299959161286,7,1,11,31,0.00634765625,True,"round6: B same string, other scenes; drop the colour",round6,round6,True
libero_90/32,libero_90,32,put the ketchup in the top drawer of the cabinet,train,,put the ketchup in the top drawer of the cabinet,place the ketchup in the top drawer of the cabinet,True,replace,put,place,0,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,True,round6: F more floor rescues; paraphrase,round6,round6,False
libero_90/32,libero_90,32,put the ketchup in the top drawer of the cabinet,train,,place the ketchup in the top drawer of the cabinet,set the ketchup in the top drawer of the cabinet,False,replace,place,set,0,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,False,,round6,round6,False
libero_90/32,libero_90,32,put the ketchup in the top drawer of the cabinet,train,,put the ketchup in the top drawer of the cabinet,put the ketchup into the top drawer of the cabinet,True,replace,in,into,3,preposition/particle,0,0,0,1.0,1.0,0,0,0,50,1.0,True,round6: F more floor rescues; paraphrase,round6,round6,False
libero_90/32,libero_90,32,put the ketchup in the top drawer of the cabinet,train,,put the ketchup in the top drawer of the cabinet,set the ketchup in the top drawer of the cabinet,True,replace,put,set,0,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,True,round6: F more floor rescues; paraphrase,round6,round6,False
libero_90/34,libero_90,34,put the yellow and white mug to the front of the white mug,train,,put the yellow and white mug to the front of the white mug,move the yellow and white mug to the front of the white mug,True,replace,put,move,0,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,True,round6: F more floor rescues; paraphrase,round6,round6,False
libero_90/34,libero_90,34,put the yellow and white mug to the front of the white mug,train,,place the yellow and white mug in front of the white mug,put the yellow and white mug in front of the white mug,False,replace,place,put,0,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,False,,round6,round6,False
libero_90/34,libero_90,34,put the yellow and white mug to the front of the white mug,train,,put the yellow and white mug to the front of the white mug,put the yellow and white mug in front of the white mug,True,replace,to the,in,6,preposition/particle,0,0,0,1.0,1.0,0,0,0,50,1.0,True,round6: F more floor rescues; paraphrase,round6,round6,False
libero_90/35,libero_90,35,open the microwave,train,,open the microwave,open the microwave door,True,insert,,door,3,words added,8,2,-6,0.1686686188878151,0.3621784858898261,0,4,1,45,0.375,True,round6: C verb rescue; verb alternative,round6,round6,False
libero_90/35,libero_90,35,open the microwave,train,,open the microwave,pull open the microwave,True,insert,,pull,0,verb/frame,8,6,-2,0.6951092703010273,1.0,1,3,2,44,1.0,True,round6: C verb rescue; verb alternative,round6,round6,False
libero_90/35,libero_90,35,open the microwave,train,,open the microwave,unlatch the microwave,True,replace,open,unlatch,0,noun/other,8,6,-2,0.6951092703010273,1.0,0,4,3,43,1.0,True,round6: C verb rescue; verb alternative,round6,round6,False
libero_90/35,libero_90,35,open the microwave,train,,open up the microwave,unlatch the microwave,False,replace,open up,unlatch,0,noun/other,8,6,-2,0.6951092703010273,1.0,0,4,3,43,1.0,False,,round6,round6,False
libero_90/35,libero_90,35,open the microwave,train,,open the microwave,open up the microwave,True,insert,,up,1,preposition/particle,8,8,0,1.0,1.0,2,2,2,44,1.0,True,round6: C verb rescue; verb alternative,round6,round6,False
libero_90/35,libero_90,35,open the microwave,train,,pull open the microwave,unlatch the microwave,False,replace,pull open,unlatch,0,noun/other,6,6,0,1.0,1.0,0,3,3,44,1.0,False,,round6,round6,False
libero_90/36,libero_90,36,put the white bowl on the plate,train,,place the white bowl on the plate,set the white bowl on the plate,False,replace,place,set,0,verb/frame,4,2,-2,0.5577341459422839,1.0,0,2,1,47,1.0,False,,round6,round6,False
libero_90/36,libero_90,36,put the white bowl on the plate,train,,put the white bowl on the plate,put the white dish on the plate,True,replace,bowl,dish,3,noun/other,0,2,2,0.31487864133641996,1.0,0,0,1,49,1.0,True,round6: D floor place-tasks; paraphrase,round6,round6,False
libero_90/36,libero_90,36,put the white bowl on the plate,train,,put the white bowl on the plate,set the white bowl on the plate,True,replace,put,set,0,verb/frame,0,2,2,0.31487864133641996,1.0,0,0,1,49,1.0,True,round6: D floor place-tasks; paraphrase,round6,round6,False
libero_90/36,libero_90,36,put the white bowl on the plate,train,,put the white bowl on the plate,place the white bowl on the plate,True,replace,put,place,0,verb/frame,0,4,4,0.1531274510196696,0.494949494949495,0,0,2,48,0.5,True,round6: D floor place-tasks; paraphrase,round6,round6,False
libero_90/37,libero_90,37,put the white bowl to the right of the plate,train,,put the white bowl to the right of the plate,place the white bowl to the right of the plate,True,replace,put,place,0,verb/frame,0,0,0,1.0,1.0,0,0,0,50,1.0,True,round6: D floor place-tasks; paraphrase,round6,round6,False
libero_90/37,libero_90,37,put the white bowl to the right of the plate,train,,put the white bowl to the right of the plate,put the white bowl on the right of the plate,True,replace,to,on,4,preposition/particle,0,0,0,1.0,1.0,0,0,0,50,1.0,True,round6: D floor place-tasks; paraphrase,round6,round6,False
