task,base_kind,base,base_logit,rewrite,rewrite_logit,delta,same_draw,n_ctx
put pan in sink,adversarial,Ascertain the whereabouts of the handled cooking vessel and subsequently ensure its physical relocation to the interior cavity of the dish-washing basin.,4.62,Put the pot in the sink.,6.0323,1.4123,True,64.0
put potato in pot or pan,adversarial,"The item most commonly utilized to make French fries should be relocated such that it rests within the confines of the pot, or alternatively, the pan.",5.7071,Take the potato and put it in the pot or the pan.,7.1244,1.4173,True,64.0
put potato in pot or pan,adversarial,"The item most commonly utilized to make French fries should be relocated such that it rests within the confines of the pot, or alternatively, the pan.",5.7071,Put the potato in the pot or pan.,7.2968,1.5897,True,64.0
put pan in sink,adversarial,Ascertain the whereabouts of the handled cooking vessel and subsequently ensure its physical relocation to the interior cavity of the dish-washing basin.,4.62,Pick up the pot and put it in the sink.,6.2876,1.6676,True,128.0
pick up bowl and put in small4fbox,adversarial,"Provided that the small box is entirely unobstructed, the bowl, which you must first securely grasp and lift, should ultimately be relocated directly into it.",3.986,"If the small box is unobstructed, pick up the bowl and put it in the box.",5.932,1.946,True,64.0
pick up bowl and put in small4fbox,adversarial,"Provided that the small box is entirely unobstructed, the bowl, which you must first securely grasp and lift, should ultimately be relocated directly into it.",3.986,"If the small box is entirely unobstructed, pick up the bowl and put it into the small box.",6.2165,2.2305,True,128.0
put eggplant into pot or pan,adversarial,"Directing your attention to the large purple vegetable, it is required that you execute a transportation maneuver terminating within the concave interior of either the tall boiling vessel or the shallow frying skillet.",4.8623,Put the eggplant in the pot or pan.,7.2845,2.4222,True,64.0
turn faucet front to right,adversarial,"Upon successfully isolating the plumbing fixture that occupies the most anterior position in your workspace, exert the necessary torque to reorient it squarely toward the right.",5.5686,Turn the most anterior faucet in the workspace squarely toward the right.,8.1864,2.6178,True,64.0
turn faucet front to right,adversarial,"Upon successfully isolating the plumbing fixture that occupies the most anterior position in your workspace, exert the necessary torque to reorient it squarely toward the right.",5.5686,Turn the faucet to point to the right.,8.373,2.8044,True,64.0
fold the cloth from left to right,adversarial,"Provided the piece of woven material is present before you, kindly initiate a lateral fold by conveying the entirety of its left margin over the central axis to rest seamlessly upon its rightward limit.",3.1948,Fold the left edge of the cloth over the center to the right edge.,6.2686,3.0739,True,64.0
close small4fbox flaps,adversarial,"Assuming the current assembly phase requires sealing, proceed to meticulously collapse the quartet of projecting leaves atop the miniature parcel.",4.613,Fold the four flaps on top of the small box.,7.7176,3.1046,True,64.0
close small4fbox flaps,adversarial,"Assuming the current assembly phase requires sealing, proceed to meticulously collapse the quartet of projecting leaves atop the miniature parcel.",4.613,Fold the four flaps atop the small box.,7.7659,3.1529,True,64.0
fold the cloth from left to right,adversarial,"Provided the piece of woven material is present before you, kindly initiate a lateral fold by conveying the entirety of its left margin over the central axis to rest seamlessly upon its rightward limit.",3.1948,Fold the left edge of the cloth over to the right edge.,6.6216,3.4269,True,64.0
take the red object out of the pot and put it on the left burner,adversarial,"Targeting the red object that currently resides within the confines of the pot, please initiate a retrieval sequence to extract it, culminating in its placement atop the left burner.",2.6423,Take the red object out of the pot and place it on the left burner.,7.2655,4.6233,True,64.0
take the red object out of the pot and put it on the left burner,adversarial,"Targeting the red object that currently resides within the confines of the pot, please initiate a retrieval sequence to extract it, culminating in its placement atop the left burner.",2.6423,Take the red object out of the pot and put it on the left burner.,7.6061,4.9638,True,64.0
put spatula on plate sink,adversarial,"Direct your manipulators to grasp the cooking implement used for scraping and sliding under food, subsequently depositing it upon the flat eating vessel that currently resides in the kitchen washbasin.",1.6608,Pick up the spatula and put it on the plate in the sink.,7.2592,5.5984,True,64.0
put spatula on plate sink,adversarial,"Direct your manipulators to grasp the cooking implement used for scraping and sliding under food, subsequently depositing it upon the flat eating vessel that currently resides in the kitchen washbasin.",1.6608,Pick up the spatula and place it on the plate in the sink.,7.2871,5.6264,True,64.0
put spatula on plate sink,adversarial,"Regarding the handheld implement designed for lifting food, kindly transport said item to the uppermost surface of the circular eating vessel located at the sink.",1.6651,Put the spatula on top of the plate at the sink.,7.6316,5.9665,True,128.0
put spatula on plate sink,adversarial,"Regarding the handheld implement designed for lifting food, kindly transport said item to the uppermost surface of the circular eating vessel located at the sink.",1.6651,Put the spatula on the plate at the sink.,7.7378,6.0727,True,128.0
end effector transition from object to object,natural,Transfer the robot hand from the first piece to the second one.,1.1992,Move the robot hand from the first piece to the second one.,0.2118,-0.9874,True,64.0
end effector transition from object to object,natural,Transfer the robot hand from the first piece to the second one.,1.1992,Move the gripper from the first piece to the second one.,0.6206,-0.5786,True,128.0
put sweet potato in pot which is in sink,natural,Grab the sweet potato and drop it in the pot that's resting in the sink.,6.7359,Grab the sweet potato and drop it in the pot in the sink.,6.5116,-0.2243,True,64.0
put small spoon from basket to tray,natural,Move the little spoon out of the basket and onto the tray.,7.1564,Take the little spoon out of the basket and put it on the tray.,7.066,-0.0905,True,64.0
fold the cloth from the top left to the bottom right,natural,Fold the upper left part of the textile down to the lower right.,6.776,Fold the upper left part of the cloth down to the lower right.,6.7299,-0.046,True,64.0
flip cup upright,natural,Could you flip the drinking cup so it stands on its base?,7.0194,Flip the cup so it stands on its base,6.9809,-0.0385,True,64.0
put sushi in pot or pan,natural,I need you to move the sushi over to the pot or the pan.,7.8451,Move the sushi over to the pot or the pan.,7.8342,-0.0108,True,64.0
take spatula off plate sink,natural,Please take the spatula off the plate and put it in the sink basin.,7.5811,Take the spatula off the plate and put it in the sink basin.,7.5836,0.0026,True,64.0
flip cup upright,natural,Could you flip the drinking cup so it stands on its base?,7.0194,Flip the cup so it stands on its base.,7.0451,0.0258,True,64.0
close microwave,natural,Make sure the microwave is completely closed.,8.4716,Close the microwave completely.,8.5437,0.072,True,64.0
put banana in colander,natural,Pop the banana into the colander.,8.3445,Put the banana into the colander.,8.4173,0.0727,True,64.0
put eggplant into pan,natural,I need you to put the eggplant into the frying pan.,6.488,Put the eggplant into the frying pan.,6.5877,0.0997,True,64.0
close microwave,natural,Make sure the microwave is completely closed.,8.4716,Close the microwave.,8.5805,0.1089,True,64.0
put broccoli in pot or pan,natural,"In the pot or pan, please put the broccoli.",7.5864,Put the broccoli in the pot or pan.,7.7385,0.1521,True,64.0
unfold the cloth from top to bottom,natural,Spread out the fabric by pulling it downwards,5.8323,Spread out the cloth by pulling it downwards,6.021,0.1887,True,64.0
put pot in sink,natural,The pot should be placed in the sink.,7.4019,Put the pot in the sink.,7.6336,0.2316,True,64.0
put eggplant into pot or pan,natural,"Toss the eggplant into the pan, or the pot if you prefer.",6.7062,Toss the eggplant into the pan or the pot.,6.9663,0.2601,True,64.0
put eggplant into pot or pan,natural,"Toss the eggplant into the pan, or the pot if you prefer.",6.7062,Put the eggplant into the pan or the pot.,7.0365,0.3303,True,64.0
put corn in pan which is on stove,natural,"In the pan on the stove, please put the corn.",6.2146,Put the corn in the pan on the stove.,6.5487,0.3341,True,64.0
put brush into pot or pan,natural,Put the bristled cleaning tool into the skillet or the saucepan.,6.3943,Put the brush into the skillet or the saucepan.,6.7613,0.367,True,64.0
put pot in sink,natural,The pot should be placed in the sink.,7.4019,Place the pot in the sink.,7.7714,0.3694,True,64.0
put brush into pot or pan,natural,Put the bristled cleaning tool into the skillet or the saucepan.,6.3943,Put the brush into the pan or the pot.,6.8328,0.4385,True,64.0
close small4fbox flaps,natural,Please close the top of the small cardboard carton.,3.8596,Close the top of the small cardboard carton.,4.3982,0.5386,True,64.0
put potato on plate,natural,The plate needs to have the potato placed on it.,7.3114,Put the potato on the plate.,7.8878,0.5764,True,64.0
pick up pot from sink,natural,Lift the pot up out of the washbasin.,1.7735,Lift the pot up out of the sink.,5.3398,3.5663,True,64.0
upright basil bottle cardboard fence,original,upright basil bottle cardboard fence,7.8635,Set the basil bottle upright in the cardboard fence,7.4908,-0.3727,True,64.0
put fork from basket to tray,original,put fork from basket to tray,6.3201,pick up fork from basket and put it in tray,6.1811,-0.1389,True,128.0
put pan from stove to sink,search,transfer the metal pot from the blue burner to the sink,5.4895,put the metal pot from the blue burner in the sink,5.4098,-0.0797,True,64.0
put clothes in laundry machine,search,place the clothes into the open laundry machine,7.775,place the clothes into the open washing machine,7.8125,0.0375,True,64.0
put pan from stove to sink,search,transfer the metal pot from the blue burner to the sink,5.4895,pick up the metal pot from the blue burner and put it in the sink,5.6357,0.1461,True,64.0
