task,phrase,kind,base_kind,score,logit,z,grip,proxy_imputed,n_ctx,gt_success,source
Fold the cloth from bottom left to top right,"Initiate a structural halving of the pliable material positioned before you by seizing the extremity situated furthest down and to the left, subsequently arcing it across the diagonal axis until it aligns perfectly with the uppermost rightward boundary.",adversarial,,0.123157700204266,0.0871,-8.1325,0.3906,False,64,,generated_adversarial
Fold the cloth from bottom left to top right,"In order to minimize the exposed surface area of the flexible material before you, kindly elevate its bottommost left extremity and overlay it directly upon the uppermost right boundary.",adversarial,,0.5094428418561304,3.4956,-4.7418,0.2226,False,64,,generated_adversarial
Fold the cloth from bottom left to top right,Pull the lower left part of the wiping cloth across to the upper right.,natural,,0.5478835088445005,3.8348,-4.9243,0.1855,False,64,,generated_natural
Fold the cloth from bottom left to top right,"Should you be ready to proceed, I require you to execute a diagonal crease upon the woven textile by elevating the extremity situated in the lower left and depositing it squarely upon the upper right limit.",adversarial,,0.5975942506256017,4.2734,-4.3988,0.1674,False,64,,generated_adversarial
Fold the cloth from bottom left to top right,Grab the lower left of the fabric and bring it up to the upper right corner.,natural,,0.6120356976001352,4.4009,-4.139,0.1663,False,64,,generated_natural
Fold the cloth from bottom left to top right,fold the blue cloth diagonally towards the top right,search,,0.6738062569529365,4.9459,-3.0704,0.1601,False,64,,search_boards
Fold the cloth from bottom left to top right,Pick up the bottom left corner of the cloth and drop it onto the top right.,natural,,0.675287305546955,4.959,-3.0379,0.1602,False,64,,generated_natural
Fold the cloth from bottom left to top right,Match the bottom left corner of the cloth to the top right one.,natural,,0.6991587613022681,5.1696,-2.4286,0.1655,False,64,,generated_natural
Fold the cloth from bottom left to top right,"Fold that rag diagonally, moving the bottom left over to the top right.",natural,,0.7427045544080894,5.5539,-2.1811,0.1413,False,64,,generated_natural
Fold the cloth from bottom left to top right,fold the blue cloth diagonally from bottom-left to top-right,search,,0.8094906667003527,6.1432,-1.4217,0.1191,False,64,,search_boards
Fold the cloth from bottom left to top right,Bring the bottom-left of the towel up to the top-right to fold it.,natural,,0.8265535106476818,6.2937,-1.7859,0.0915,False,64,,generated_natural
Fold the cloth from bottom left to top right,fold the bottom left of the blue towel up to the top right,search,,0.8620020294269539,6.6065,-1.0376,0.0932,False,64,,search_boards
Fold the cloth from bottom left to top right,Take the bottom left corner of the cloth and fold it over to the top right.,natural,,0.8709938422185243,6.6859,-0.9733,0.0887,False,64,,generated_natural
Fold the cloth from bottom left to top right,Please fold the material by placing the bottom left corner onto the top right.,natural,,0.8778764085511236,6.7466,-0.8172,0.0895,False,64,,generated_natural
Fold the cloth from bottom left to top right,fold the blue cloth from bottom left corner to top right,search,,0.9058197508931194,6.9932,-0.1846,0.0926,False,64,,search_boards
Fold the cloth from bottom left to top right,Fold the cloth from bottom left to top right,original,,1.0,7.8242,1.0989,0.0695,False,64,,search_boards
close brown1fbox flap,It is imperative that the uppermost hinged portion of the umber-colored packing vessel be maneuvered downwards until it rests entirely in a shut disposition.,adversarial,,0.0,4.6248,-5.4572,0.0948,False,64,,generated_adversarial
close brown1fbox flap,shut the lid on the brown box,search,,0.1406292337510484,5.1243,-2.7278,0.1578,False,64,,search_boards
close brown1fbox flap,close the lid of the cardboard box,search,,0.25251480934773113,5.5218,-3.5937,0.0887,False,64,,search_boards
close brown1fbox flap,close the box lid,search,,0.33843335262303237,5.827,-4.1844,0.0385,False,192,,search_boards
close brown1fbox flap,Close the brown box lid.,rephrased,search,0.4522997620234427,6.2314,-3.0661,0.0467,False,64,,loop_qwen
close brown1fbox flap,close the brown box lid,search,,0.46764875895761976,6.286,-2.6246,0.0592,False,320,,search_boards
close brown1fbox flap,close the left lid of the box,search,,0.4801796214823047,6.3305,-2.9667,0.0419,False,64,,search_boards
close brown1fbox flap,close the left lid of the brown box,search,,0.6965674020966207,7.0991,-1.3878,0.036,False,64,,search_boards
close brown1fbox flap,"Directing your attention to the earth-toned storage unit, I entreat you to rectify its open state by maneuvering the extended flap into a flush, sealed position.",adversarial,,0.8495554232105926,7.6426,-0.8182,0.0103,False,64,,generated_adversarial
close brown1fbox flap,Flip down the flap on the brown carton.,natural,,0.8721505782841211,7.7229,-0.2589,0.0252,False,64,,generated_natural
close brown1fbox flap,"Regarding the brown-coloured receptacle currently displaying an open appendage, it is required that you manipulate said flap until it is completely shut.",adversarial,,0.9250250725715773,7.9107,-0.2341,0.0096,False,64,,generated_adversarial
close brown1fbox flap,Just fold the open flap on the brown box.,natural,,0.9255717423290153,7.9126,-0.2782,0.0077,False,64,,generated_natural
close brown1fbox flap,"If it is within your operational parameters, I would be much obliged if you could manually transition the extended flap of the brown container into a closed configuration.",adversarial,,0.9409447553686255,7.9672,-0.1251,0.0088,False,64,,generated_adversarial
close brown1fbox flap,Shut the cardboard flap.,rephrased,search,0.9477203770486106,7.9913,-0.1202,0.0069,False,64,,loop_qwen
close brown1fbox flap,Go ahead and close the brown box flap.,natural,,0.9574476500278299,8.0259,0.0757,0.0116,False,64,,generated_natural
close brown1fbox flap,Please fold down the flap of the brown box.,natural,,0.9603069522881834,8.036,-0.0138,0.0071,False,64,,generated_natural
close brown1fbox flap,Can you shut the flap on that brown box?,natural,,0.9711095522889039,8.0744,0.1308,0.0094,False,64,,generated_natural
close brown1fbox flap,close the brown box flap,search,,0.9715584089366791,8.076,0.0305,0.0054,False,64,,probe
close brown1fbox flap,Close the flap on the brown box.,natural,,0.9729461242287314,8.0809,0.0601,0.0061,False,64,,generated_natural
close brown1fbox flap,Shut the brown box's flap.,natural,,0.9730388698289347,8.0812,0.1226,0.0085,False,64,,generated_natural
close brown1fbox flap,Push the flap of the brown box closed.,natural,,0.9753458701347263,8.0894,0.0918,0.0066,False,64,,generated_natural
close brown1fbox flap,close brown1fbox flap,original,,1.0,8.177,0.3326,0.0083,False,64,,search_boards
close cabinet,"Given that we are finished retrieving items from the interior, please apply rotational force to the hinged barrier of the storage console until it sits flush against the frame.",adversarial,,0.0,5.4778,-5.8094,0.0056,False,64,,generated_adversarial
close cabinet,Please manipulate the swinging exterior barrier of the built-in unit until its contents are entirely obscured from view.,adversarial,,0.08354808924946514,5.7577,-5.2079,0.0044,False,64,,generated_adversarial
close cabinet,"If it is not too much trouble, please rectify the ajar status of the shelved enclosure so that its contents are once again hidden away behind the panel.",adversarial,,0.11509457169429126,5.8634,-4.9578,0.0049,False,64,,generated_adversarial
close cabinet,"Assuming that access to the interior shelves is no longer required, kindly transition the storage compartment to a fully sealed state.",adversarial,,0.2637438698096247,6.3614,-3.8562,0.0042,False,64,,generated_adversarial
close cabinet,Just swing the cabinet door back into its frame.,natural,,0.5448427849028236,7.3031,-1.7128,0.0052,False,64,,generated_natural
close cabinet,Go ahead and shut that cupboard.,natural,,0.7195968032550711,7.8885,-0.4057,0.0048,False,64,,generated_natural
close cabinet,Could you push the cupboard closed for me?,natural,,0.8435039351521413,8.3036,0.5321,0.0049,False,64,,generated_natural
close cabinet,Close up the wooden storage cabinet.,natural,,0.850035900295925,8.3255,0.5762,0.0047,False,64,,generated_natural
close cabinet,Push the cabinet all the way shut.,natural,,0.9115420880811014,8.5316,1.0456,0.005,False,64,,generated_natural
close cabinet,shut the white cabinet door,search,,0.9117793582145894,8.5324,1.049,0.005,False,64,,search_boards
close cabinet,shut the white cabinet,search,,0.9380734355003759,8.6205,1.246,0.005,False,64,,search_boards
close cabinet,Please close the open cabinet.,natural,,0.9388525831233009,8.6231,1.2546,0.0051,False,64,,generated_natural
close cabinet,Make sure the cabinet is shut.,natural,,0.9465800950655098,8.649,1.31,0.005,False,64,,generated_natural
close cabinet,shut the cabinet door,search,,0.9481948144445572,8.6544,1.3244,0.0051,False,64,,search_boards
close cabinet,Shut the cabinet door.,natural,,0.9523876357237253,8.6684,1.3577,0.0051,False,64,,generated_natural
close cabinet,push the cabinet door closed,search,,0.9600021437632322,8.6939,1.4198,0.0053,False,64,,search_boards
close cabinet,push the cabinet door to close it,search,,0.9668340327146371,8.7168,1.4648,0.0051,False,64,,search_boards
close cabinet,close cabinet,original,,1.0,8.8279,1.7202,0.0053,False,64,,search_boards
close fridge,"If you would be so kind, please return the hinged barrier of the large food-chilling apparatus to its fully sealed configuration.",adversarial,,0.0,5.4374,-5.672,0.0145,False,64,,generated_adversarial
close fridge,"To mitigate the egress of chilled air, I ask that you manipulate the articulated facade of the kitchen's primary cold storage chamber until no gap remains.",adversarial,,0.1106024079299024,5.771,-4.7364,0.0218,False,64,,generated_adversarial
close fridge,"Given that the ambient temperature will quickly warm the contents, I require you to pivot the open barrier of the main refrigeration unit until it is completely flush.",adversarial,,0.2621472577889941,6.228,-3.8348,0.0168,False,64,,generated_adversarial
close fridge,"So as to prevent the perishable items inside from spoiling, exert sufficient inward force on the open door of the refrigerator until it latches securely.",adversarial,,0.32355822209178736,6.4132,-3.3002,0.0215,False,64,,generated_adversarial
close fridge,Shut the door on the large white cooling appliance.,natural,,0.32531659019930115,6.4185,-3.5906,0.0096,False,64,,generated_natural
close fridge,Push the grey door closed.,rephrased,natural,0.48999093942855965,6.9152,-2.5507,0.0065,False,64,,loop_qwen
close fridge,shut the white cabinet door,search,,0.5182063307982752,7.0002,-2.3587,0.0066,False,64,,search_boards
close fridge,Can you push the fridge closed for me?,natural,,0.8772226259044466,8.083,0.0409,0.0051,False,64,,generated_natural
close fridge,Give the fridge door a push so it closes completely.,natural,,0.8957510438524762,8.1389,0.1595,0.0049,False,64,,generated_natural
close fridge,Push the refrigerator door all the way shut.,natural,,0.9079113291485147,8.1755,0.2374,0.0047,False,64,,generated_natural
close fridge,shut the white fridge,search,,0.9153434646114326,8.1979,0.2941,0.0049,False,64,,search_boards
close fridge,Go ahead and close the fridge.,natural,,0.9169368023383969,8.2027,0.3073,0.005,False,64,,generated_natural
close fridge,Please shut the refrigerator door.,natural,,0.927452148767555,8.2345,0.3827,0.0052,False,64,,generated_natural
close fridge,Make sure the refrigerator is shut tightly.,natural,,0.933426345138896,8.2525,0.4157,0.0049,False,64,,generated_natural
close fridge,shut the fridge,search,,0.9360126594582805,8.2603,0.4355,0.005,False,64,,search_boards
close fridge,shut the fridge door,search,,0.9452920285167922,8.2883,0.4992,0.005,False,512,,search_boards
close fridge,Swing the fridge door shut.,natural,,0.9678575923760829,8.3563,0.6474,0.0048,False,512,,generated_natural
close fridge,close the white fridge,search,,0.9802669151787768,8.3937,0.7385,0.0051,False,64,,search_boards
close fridge,close the fridge,search,,0.9847723597286022,8.4073,0.7674,0.005,False,64,,search_boards
close fridge,close the grey fridge door,rephrased,search,0.9888728269903005,8.4197,0.7968,0.0051,False,64,,loop_qwen
close fridge,Shut the fridge door.,rephrased,search,0.9905357956836709,8.4247,0.803,0.0049,False,64,,loop_gemini
close fridge,Close the fridge door.,rephrased,natural,0.9988105927076452,8.4497,0.863,0.005,False,64,,loop_claude
close fridge,close fridge,original,,1.0,8.4532,0.8744,0.0052,False,64,,search_boards
close large4fbox flaps,"In preparation for the impending dispatch protocol, I require you to interface with the exceptionally capacious corrugated cargo unit, subsequently depressing its quartet of hinged roof segments until they form a flush, impenetrable barrier over the interior payload area.",adversarial,,0.0,4.7612,-5.8043,0.0691,False,64,,generated_adversarial
close large4fbox flaps,"Proceed to manipulate the foldable extensions belonging to the oversized cardboard container, maneuvering them sequentially downward until the aperture is completely obstructed.",adversarial,,0.009031187899082185,4.794,-6.8454,0.0253,False,64,,generated_adversarial
close large4fbox flaps,"Assuming you are currently idle, I would greatly appreciate it if you could ensure that the uppermost articulated sections of the notably voluminous receptacle are folded into a shut configuration.",adversarial,,0.0554318076636557,4.9626,-6.1106,0.0392,False,64,,generated_adversarial
close large4fbox flaps,Direct your attention to the most sizeable carton present and manipulate its uppermost hinged appendages until the opening is entirely obscured from view.,adversarial,,0.2706719696301294,5.7446,-4.2433,0.0435,False,64,,generated_adversarial
close large4fbox flaps,Please fold down the flaps on that big cardboard box.,natural,,0.9268627270460211,8.1287,0.194,0.0071,False,64,,generated_natural
close large4fbox flaps,Push the top flaps of the big container down into the closed position.,natural,,0.9328566377469414,8.1505,0.1841,0.0048,False,64,,generated_natural
close large4fbox flaps,Close up the large box by folding its top flaps shut.,natural,,0.951724887415252,8.219,0.345,0.0051,False,64,,generated_natural
close large4fbox flaps,I need the flaps on the big cardboard box to be closed.,natural,,0.9531198396312203,8.2241,0.3651,0.0054,False,64,,generated_natural
close large4fbox flaps,shut the flaps of the cardboard box,search,,0.9550683761866372,8.2312,0.3636,0.0047,False,64,,search_boards
close large4fbox flaps,Just fold the flaps over so the large box is closed.,natural,,0.9564990310156096,8.2364,0.3957,0.0055,False,64,,generated_natural
close large4fbox flaps,close the flaps on the cardboard box,search,,0.9591900879250875,8.2462,0.4038,0.005,False,64,,search_boards
close large4fbox flaps,close the flaps of the large cardboard box,search,,0.9605136218680723,8.251,0.4153,0.005,False,64,,search_boards
close large4fbox flaps,close the box flaps,search,,0.9605274675298628,8.251,0.4086,0.0047,False,64,,search_boards
close large4fbox flaps,Make sure all the flaps on the large box are closed.,natural,,0.9607735908654614,8.2519,0.4088,0.0047,False,64,,generated_natural
close large4fbox flaps,shut the flaps on the box,search,,0.9610869007792926,8.253,0.4121,0.0047,False,64,,search_boards
close large4fbox flaps,shut the flaps on the cardboard box,search,,0.9616300270370592,8.255,0.4189,0.0048,False,64,,search_boards
close large4fbox flaps,Go ahead and shut the large box by folding the flaps inward.,natural,,0.9629367869049478,8.2598,0.4411,0.0052,False,64,,generated_natural
close large4fbox flaps,close the flaps on the box,search,,0.9635452982893147,8.262,0.4352,0.0048,False,64,,search_boards
close large4fbox flaps,Shut the flaps on the large box.,natural,,0.963961253917271,8.2635,0.4445,0.005,False,64,,generated_natural
close large4fbox flaps,close large4fbox flaps,original,,1.0,8.3944,0.7612,0.0059,False,64,,search_boards
close microwave,"Noting that the cooking cavity where we warm our meals has been left exposed to the ambient air, please rectify this by swinging its front portal firmly shut.",adversarial,,0.0,5.8067,-4.8305,0.0149,False,64,,generated_adversarial
close microwave,"Given that the appliance we use to reheat leftovers is presently ajar, I would appreciate it if you could thrust its transparent panel back into the latching mechanism.",adversarial,,0.2146254831128101,6.4021,-3.5017,0.0145,False,64,,generated_adversarial
close microwave,"If it would not be too much trouble, could you kindly ensure that the hinged barrier of the electromagnetic food-heating apparatus is pushed entirely into its secured position.",adversarial,,0.32341751075315806,6.7038,-2.9226,0.0106,False,64,,generated_adversarial
close microwave,"Before proceeding to any other task, I require you to manipulate the hinged visor of the high-frequency radiation oven until it clicks securely into its sealed configuration.",adversarial,,0.3444754757209389,6.7622,-2.8966,0.0065,False,64,,generated_adversarial
close microwave,Shut the door of the cooking appliance for me.,natural,,0.4296980456681938,6.9986,-2.2656,0.0104,False,64,,generated_natural
close microwave,"The microwave is still open, please close it.",natural,,0.4740011243011996,7.1215,-1.7334,0.0204,False,64,,generated_natural
close microwave,push the wooden microwave shut,search,,0.8941716929254353,8.287,0.4975,0.0051,False,64,,search_boards
close microwave,I need you to close the microwave for me.,natural,,0.9023288854627792,8.3096,0.5522,0.0052,False,64,,generated_natural
close microwave,shut the wooden microwave,search,,0.9255868385659685,8.3741,0.6967,0.0052,False,64,,search_boards
close microwave,Can you close the door on the microwave?,natural,,0.9269001335653563,8.3778,0.7121,0.0055,False,64,,generated_natural
close microwave,Make sure the microwave is completely closed.,natural,,0.9305137045620729,8.3878,0.7206,0.0049,False,64,,generated_natural
close microwave,Push the microwave door closed.,natural,,0.9313519895305203,8.3901,0.7341,0.0052,False,64,,generated_natural
close microwave,close the wooden microwave,search,,0.9341157355090316,8.3978,0.754,0.0053,False,64,,search_boards
close microwave,shut the white microwave door,search,,0.9353244117424405,8.4011,0.7549,0.0051,False,64,,search_boards
close microwave,Swing the microwave door shut.,natural,,0.9380869997101972,8.4088,0.7698,0.005,False,64,,generated_natural
close microwave,push the white microwave shut,search,,0.9440974056266046,8.4255,0.806,0.0049,False,64,,search_boards
close microwave,shut the microwave door,search,,0.9536594399220328,8.452,0.8706,0.0051,False,64,,search_boards
close microwave,Please shut the microwave.,natural,,0.9563404516123738,8.4594,0.8839,0.005,False,64,,generated_natural
close microwave,shut the white microwave,search,,0.9563556730916402,8.4595,0.8849,0.005,False,64,,search_boards
close microwave,Shut the gray microwave door.,rephrased,natural,0.960227334872158,8.4702,0.9131,0.0052,False,64,,loop_qwen
close microwave,shut the microwave,search,,0.966606815905203,8.4879,0.951,0.0051,False,64,,search_boards
close microwave,close microwave,original,,0.979168370490292,8.5227,1.0344,0.0053,False,64,,search_boards
close microwave,Close the microwave door.,rephrased,natural,0.9835212951557921,8.5348,1.0603,0.0053,False,64,,loop_claude
close microwave,Close the microwave completely.,rephrased,natural,0.9867144224384462,8.5437,1.0783,0.0052,False,64,,loop_gemini
close microwave,Close the microwave.,rephrased,natural,1.0,8.5805,1.1674,0.0054,False,64,,loop_claude
close oven,"Please direct your end-effectors to the gaping facade of the kitchen's primary thermal baking unit, and pivot its hinged transparent partition until the cavity is securely sealed.",adversarial,,0.0,5.6204,-4.991,0.0251,False,64,,generated_adversarial
close oven,"Given that the primary heating chamber used for baking is currently ajar, it is imperative that you pivot its heavy glass barrier into the fully sealed position.",adversarial,,0.01821273959497717,5.6714,-4.9346,0.0228,False,64,,generated_adversarial
close oven,"Without delaying any further, apply forward pressure to the drop-down barrier of the pastry-baking appliance until the interior is entirely sealed off from the room.",adversarial,,0.03391228017743812,5.7154,-4.7427,0.0265,False,64,,generated_adversarial
close oven,Go ahead and close the door with the glass window.,natural,,0.043880568195388,5.7433,-4.8576,0.0195,False,64,,generated_natural
close oven,"If it would not be an excessive imposition, I require you to rectify the exposed state of the large thermal appliance where the roasting happens by pushing its door entirely shut.",adversarial,,0.3167008046497889,6.5071,-3.154,0.0189,False,64,,generated_adversarial
close oven,Please make sure the cooker is closed.,natural,,0.41177460564894514,6.7732,-2.1383,0.0353,False,64,,generated_natural
close oven,push the open oven door until it is shut,search,,0.7816787044588257,7.8088,-0.5798,0.005,False,64,,search_boards
close oven,Swing the stainless steel oven door closed.,natural,,0.82195311311862,7.9215,-0.3209,0.0052,False,64,,generated_natural
close oven,shut the open oven door,search,,0.8982617304616223,8.1352,0.1579,0.0051,False,64,,search_boards
close oven,push the oven door back to close it,search,,0.9003152951865965,8.1409,0.1643,0.0049,False,64,,search_boards
close oven,push the open oven door shut,search,,0.905872266396172,8.1565,0.2009,0.0049,False,64,,search_boards
close oven,Just grab the handle and close up the oven.,natural,,0.9120891750286594,8.1739,0.2444,0.0051,False,64,,generated_natural
close oven,The oven needs to be shut now.,natural,,0.9239395776854995,8.2071,0.3224,0.0052,False,64,,generated_natural
close oven,push the oven door to shut it,search,,0.924368421388606,8.2083,0.3143,0.0048,False,64,,search_boards
close oven,push the oven door to close it,search,,0.930488969630479,8.2254,0.3575,0.005,False,64,,search_boards
close oven,Can you close the oven for me?,natural,,0.9348694462209027,8.2377,0.3921,0.0053,False,64,,generated_natural
close oven,Push the oven completely shut.,natural,,0.9487549795335247,8.2765,0.4786,0.0052,False,64,,generated_natural
close oven,Shut the oven door.,natural,,0.9632752873023899,8.3172,0.5732,0.0054,False,384,,generated_natural
close oven,Close the oven door.,rephrased,natural,0.9647113460084604,8.3212,0.5825,0.0054,False,64,,loop_claude
close oven,close the oven door completely,search,,0.9719370402699855,8.3414,0.6229,0.0052,False,64,,search_boards
close oven,close the open oven door,search,,0.9720321556625402,8.3417,0.6239,0.0052,False,64,,search_boards
close oven,close oven,original,,1.0,8.42,0.807,0.0055,False,64,,search_boards
close small4fbox flaps,Fold the top down on that little box.,natural,,0.0,4.1017,-5.7518,0.1294,False,64,,generated_natural
close small4fbox flaps,"Should you possess the requisite manipulatory capabilities, I would be most obliged if you executed the necessary motions to fold shut the top sections of the extraordinarily small shipping container.",adversarial,,0.05036111573737924,4.3135,-5.0226,0.1393,False,64,,generated_adversarial
close small4fbox flaps,Close the top of the small cardboard carton.,rephrased,natural,0.07050790614268666,4.3982,-5.3495,0.119,False,64,,loop_claude
close small4fbox flaps,"With regard to the diminutive corrugated receptacle situated before you, systematically articulate its uppermost foldable extensions until the internal cavity is entirely obscured.",adversarial,,0.0718203399017723,4.4037,-5.2658,0.1218,False,64,,generated_adversarial
close small4fbox flaps,Please close the top of the small cardboard carton.,natural,,0.07976470125753721,4.4371,-4.6545,0.1429,False,64,,generated_natural
close small4fbox flaps,Close the top of the small cardboard box.,search,,0.16990429495408238,4.8162,-5.5387,0.0746,False,128,,probe
close small4fbox flaps,close the top of the small cardboard carton,rephrased,natural,0.20748006321377063,4.9742,-4.9594,0.0834,False,64,,loop_gemini
close small4fbox flaps,"Assuming the current assembly phase requires sealing, proceed to meticulously collapse the quartet of projecting leaves atop the miniature parcel.",adversarial,,0.2111607492161931,4.9897,-5.0274,0.0794,False,64,,generated_adversarial
close small4fbox flaps,Shut the lid of the little brown box.,rephrased,natural,0.2179100381989383,5.0181,-5.0305,0.0768,False,64,,loop_qwen
close small4fbox flaps,Close the top of the carton.,rephrased,natural,0.2361157431145413,5.0947,-5.0896,0.0677,False,64,,loop_claude
close small4fbox flaps,"Disregarding any extraneous objects in your field of view, locate the unusually compact shipping module and sequentially depress its four uppermost hinged appendages until the interior void is completely sealed off.",adversarial,,0.2980426365108052,5.3551,-5.0057,0.048,False,64,,generated_adversarial
close small4fbox flaps,shut the small box,search,,0.4289022051284223,5.9054,-4.7805,0.0082,False,64,,search_boards
close small4fbox flaps,close the small box,search,,0.459705970712246,6.035,-4.3541,0.0135,False,64,,search_boards
close small4fbox flaps,close the small box on the stove,search,,0.4950280489395202,6.1835,-3.7821,0.0228,False,64,,search_boards
close small4fbox flaps,Close the top flap of the small cardboard box.,rephrased,natural,0.6667282583525865,6.9056,-2.5985,0.0055,False,64,,loop_claude
close small4fbox flaps,Close up the small four-flap box.,natural,,0.7121615341058347,7.0967,-2.0937,0.0085,False,64,,generated_natural
close small4fbox flaps,Fold the four flaps down on the cardboard box.,rephrased,adversarial,0.8347225447211084,7.6121,-1.0158,0.0052,False,64,,loop_qwen
close small4fbox flaps,"Assuming the current step needs closing, go ahead to fold down the four open cardboard flaps on top of the small box.",rephrased,adversarial,0.8475520672594641,7.6661,-0.9249,0.004,False,64,,loop_qwen
close small4fbox flaps,Secure the top of that little cardboard box by folding its flaps over.,natural,,0.8496191937399191,7.6748,-0.8902,0.0046,False,64,,generated_natural
close small4fbox flaps,Fold down the four flaps on the box.,search,,0.858618162780519,7.7126,-0.7919,0.0052,False,64,,probe
close small4fbox flaps,Fold the four flaps on top of the small box.,rephrased,adversarial,0.8592337160202846,7.7152,-0.7821,0.0053,False,128,,loop_gemini
close small4fbox flaps,Fold the four projecting flaps atop the miniature box.,rephrased,adversarial,0.8599593907094707,7.7183,-0.7795,0.0051,False,128,,loop_gemini
close small4fbox flaps,Fold down the four flaps on top of the small cardboard box.,rephrased,adversarial,0.8624425489514883,7.7287,-0.7641,0.0048,False,64,,loop_claude
close small4fbox flaps,Fold down the four flaps on the small box.,rephrased,adversarial,0.8678323367045342,7.7514,-0.7074,0.0051,False,64,,loop_gemini
close small4fbox flaps,Fold the four flaps atop the small box.,rephrased,adversarial,0.8712987948469704,7.7659,-0.6678,0.0053,False,64,,loop_claude
close small4fbox flaps,Push all four flaps down to seal the little packing box.,natural,,0.876813237125042,7.7891,-0.643,0.0042,False,64,,generated_natural
close small4fbox flaps,fold the four flaps atop the box,rephrased,adversarial,0.8795541390076204,7.8007,-0.5932,0.0052,False,64,,loop_claude
close small4fbox flaps,fold the four flaps on the small box,rephrased,adversarial,0.8854940745922836,7.8256,-0.5373,0.0052,False,64,,loop_gemini
close small4fbox flaps,close the box flaps on the stove,search,,0.8872482070894443,7.833,-0.5512,0.004,False,64,,search_boards
close small4fbox flaps,fold the flaps of the box closed,search,,0.8878409471177862,7.8355,-0.5357,0.0044,False,64,,search_boards
close small4fbox flaps,shut the flaps of the small cardboard box,search,,0.8962521579356141,7.8709,-0.4625,0.0041,False,64,,search_boards
close small4fbox flaps,Shut the flaps on the small cardboard box.,natural,,0.9064467036058437,7.9138,-0.3565,0.0045,False,64,,generated_natural
close small4fbox flaps,Go ahead and close the flaps on the small box.,natural,,0.917882426293828,7.9619,-0.2534,0.0043,False,64,,generated_natural
close small4fbox flaps,Make sure the flaps on the small box are shut.,natural,,0.9216214094248834,7.9776,-0.2241,0.004,False,64,,generated_natural
close small4fbox flaps,close small4fbox flaps,original,,1.0,8.3072,0.5369,0.0048,False,64,,search_boards
close the drawer,"Seeing as the extendable compartment has been left ajar, it would be best if you were to exert force against its faceplate to return it to a fully retracted state.",adversarial,,0.0,4.9394,-4.9052,0.0886,False,64,,generated_adversarial
close the drawer,"Directing your attention to the protruding storage bin that operates on tracks, kindly apply continuous inward force to its front facade until the compartment is completely recessed within its housing.",adversarial,,0.030207802816699908,5.0496,-4.928,0.078,False,64,,generated_adversarial
close the drawer,"If it is not an imposition, please apply steady forward pressure to the extended sliding receptacle until it rests completely flush with the surrounding cabinetry.",adversarial,,0.0893343803939913,5.2651,-4.5591,0.0734,False,64,,generated_adversarial
