task,phrases,best,worst,median,rollout_measured,thin_evidence,spread
lever vertical to front,28,7.0235,3.6598,5.7474,0,0,3.3637
close cabinet,18,8.8279,5.4778,8.532,0,0,3.3500999999999994
close white1fbox flap,22,8.3773,5.0556,8.052900000000001,0,0,3.3217
put spoon into pan,17,6.7201,3.4219,5.5098,0,0,3.2982000000000005
put carrot on cutting board,36,7.8907,4.6245,7.6235,0,0,3.2661999999999995
put stuffedduck in pan,20,7.8164,4.6177,6.28955,0,0,3.1986999999999997
unfold the cloth from top left to bottom right,22,7.6678,4.4755,5.5591,0,0,3.1922999999999995
lift bowl,29,7.3445,4.1559,6.3089,0,0,3.1886
take sushi out of pan,19,7.8953,4.7748,7.0518,0,0,3.1205
open drawer of box,19,8.3505,5.2596,7.8276,0,0,3.0909000000000004
put eggplant into pot or pan,34,7.2845,4.1964,6.46725,0,0,3.0881000000000007
open the drawer,19,8.1085,5.0717,7.4637,0,0,3.0367999999999995
put corn on plate,20,8.0461,5.0171,7.15085,0,0,3.028999999999999
close fridge,23,8.4532,5.4374,8.2027,0,0,3.0158000000000005
put pepper in pan,20,8.2064,5.1921,6.94295,0,0,3.0143000000000004
flip orange pot upright in sink,23,6.7742,3.7842,6.1416,0,0,2.9900000000000007
move the cloth from left to right,24,8.3822,5.3922,6.13655,0,0,2.9899999999999993
put banana in pot or pan,25,8.5068,5.5849,6.235,0,0,2.9219
put lemon on plate,19,7.2571,4.4075,6.884,0,0,2.8496000000000006
put knife in pot or pan,19,7.2427,4.4342,5.9841,0,0,2.8085000000000004
close oven,22,8.42,5.6204,8.165199999999999,0,0,2.7996
put eggplant on plate,30,6.8158,4.0342,6.4999,0,0,2.7816
close microwave,25,8.5805,5.8067,8.3978,0,0,2.7738000000000005
put detergent from sink into drying rack,20,7.6701,4.9177,6.8476,0,0,2.7523999999999997
put sushi in pot or pan,28,7.9627,5.2529,7.215,0,0,2.7097999999999995
put big spoon from basket to tray,22,7.3176,4.7171,7.229699999999999,0,0,2.6004999999999994
put sweet potato in pot which is in sink,24,6.853,4.3032,5.972049999999999,0,0,2.5497999999999994
put redcube in pan and put pan on stove,23,7.7431,5.2336,7.6017,0,0,2.5095
put corn into bowl,19,7.9718,5.5032,7.2709,0,0,2.4686000000000003
put fork from basket to tray,24,6.879,4.5854,6.6195,0,0,2.2935999999999996
put pepper in pot or pan,23,6.7076,4.4361,6.3088,0,0,2.2715000000000005
put small spoon from basket to tray,25,7.425,5.2578,7.1457,0,0,2.1672000000000002
put green squash in pot or pan,24,7.2816,5.1287,6.13965,0,0,2.1529
put eggplant into pan,24,6.5877,4.5739,5.5917,0,0,2.0138
sweep into pile,19,8.4721,6.4596,7.5455,0,0,2.0124999999999993
put strawberry in pot,33,7.1765,5.1793,6.4351,0,0,1.9972000000000003
put broccoli in pot or pan,24,7.8128,5.9087,7.3702000000000005,0,0,1.9041000000000006
put green squash into pot or pan,22,7.4187,5.5676,6.7975,0,0,1.8511000000000006
pick up red srewdriver,19,7.7804,6.0834,7.1529,0,0,1.697
put cup from anywhere into sink,23,6.9155,5.278,6.3679,0,0,1.6375000000000002
put potato in pot or pan,26,7.2968,5.6697,6.87525,0,0,1.6271000000000004
put sweet potato in pan which is on stove,23,6.6792,5.434,6.3695,0,0,1.2451999999999996
