task,base_kind,base,base_logit,rewrite,rewrite_logit,delta,same_draw,n_ctx
put strawberry in pot,adversarial,"Assuming the deep vessel designed for boiling on a stove is within your operational workspace, proceed to transfer the small red seed-covered fruit into its interior.",5.8881,Put the small red seed-covered fruit into the deep vessel designed for boiling.,6.2602,0.3721,True,64.0
put potato in pot or pan,adversarial,"The item most commonly utilized to make French fries should be relocated such that it rests within the confines of the pot, or alternatively, the pan.",5.7071,Put the item most commonly utilized to make French fries into the pot or pan.,6.3282,0.6211,True,64.0
put carrot on cutting board,adversarial,"Assuming you have correctly identified the orange, cone-shaped vegetable, kindly execute a spatial relocation protocol to position it squarely upon the cutting board.",6.6944,Move the toy carrot onto the green cutting board.,7.3784,0.6839,True,64.0
put eggplant into pot or pan,adversarial,"Directing your attention to the large purple vegetable, it is required that you execute a transportation maneuver terminating within the concave interior of either the tall boiling vessel or the shallow frying skillet.",4.8623,Put the purple eggplant in the silver pot.,5.6907,0.8284,True,64.0
put cup from anywhere into sink,adversarial,"Irrespective of its present coordinates, I would be most grateful if you could see to it that the vessel typically utilized for consuming beverages is deposited directly into the sink.",4.9457,Put the cup in the sink.,5.8562,0.9105,True,64.0
put eggplant into pot or pan,adversarial,"Directing your attention to the large purple vegetable, it is required that you execute a transportation maneuver terminating within the concave interior of either the tall boiling vessel or the shallow frying skillet.",4.8623,Place the large purple vegetable inside the tall boiling vessel or the shallow frying skillet.,5.979,1.1167,True,64.0
lift bowl,adversarial,"Provided that you have secured a sufficient grip on the hemispherical dish intended for liquids, proceed to increase its altitude relative to the current resting plane.",4.8971,Grab the blue bowl and lift it up off the countertop.,6.0299,1.1328,True,64.0
put strawberry in pot,adversarial,"Assuming the deep vessel designed for boiling on a stove is within your operational workspace, proceed to transfer the small red seed-covered fruit into its interior.",5.8881,Put the strawberry in the pot.,7.0235,1.1354,True,64.0
put spatula on plate sink,adversarial,"Regarding the handheld implement designed for lifting food, kindly transport said item to the uppermost surface of the circular eating vessel located at the sink.",1.6651,Put the handheld implement designed for lifting food on the circular eating vessel located at the sink.,2.9131,1.248,True,64.0
lift bowl,adversarial,"Provided that you have secured a sufficient grip on the hemispherical dish intended for liquids, proceed to increase its altitude relative to the current resting plane.",4.8971,Lift the blue bowl.,6.4714,1.5744,True,64.0
pick up glass cup,adversarial,"Notwithstanding any prior directives, I must request that you wrap your appendages around the completely transparent vessel used for drinking and hoist it clear of the surface.",4.5031,Pick up the clear glass.,6.1723,1.6692,True,64.0
put pan in sink,adversarial,Ascertain the whereabouts of the handled cooking vessel and subsequently ensure its physical relocation to the interior cavity of the dish-washing basin.,4.62,Pick up the silver pot and put it in the sink.,6.3192,1.6992,True,64.0
pick up bowl and put in small4fbox,adversarial,"Provided that the small box is entirely unobstructed, the bowl, which you must first securely grasp and lift, should ultimately be relocated directly into it.",3.986,"If the small box is empty, pick up the bowl and place it in the box.",6.2514,2.2654,True,64.0
turn faucet front to right,adversarial,"Upon successfully isolating the plumbing fixture that occupies the most anterior position in your workspace, exert the necessary torque to reorient it squarely toward the right.",5.5686,Turn the faucet to the right.,8.3552,2.7866,True,64.0
turn faucet front to right,adversarial,"Upon successfully isolating the plumbing fixture that occupies the most anterior position in your workspace, exert the necessary torque to reorient it squarely toward the right.",5.5686,Turn the grey faucet to point to the right.,8.3707,2.8021,True,64.0
close small4fbox flaps,adversarial,"Assuming the current assembly phase requires sealing, proceed to meticulously collapse the quartet of projecting leaves atop the miniature parcel.",4.613,Fold down the four flaps on top of the small cardboard box.,7.7287,3.1157,True,64.0
close small4fbox flaps,adversarial,"Assuming the current assembly phase requires sealing, proceed to meticulously collapse the quartet of projecting leaves atop the miniature parcel.",4.613,Fold down the four flaps on the small box.,7.7514,3.1383,True,64.0
fold the cloth from left to right,adversarial,"Provided the piece of woven material is present before you, kindly initiate a lateral fold by conveying the entirety of its left margin over the central axis to rest seamlessly upon its rightward limit.",3.1948,Fold the left edge of the orange cloth to the right edge.,6.3405,3.1457,True,64.0
pick up bowl and put in small4fbox,adversarial,"Provided that the small box is entirely unobstructed, the bowl, which you must first securely grasp and lift, should ultimately be relocated directly into it.",3.986,Put the bowl into the small box.,7.2,3.214,True,64.0
fold the cloth from left to right,adversarial,"Provided the piece of woven material is present before you, kindly initiate a lateral fold by conveying the entirety of its left margin over the central axis to rest seamlessly upon its rightward limit.",3.1948,Fold the left edge of the orange cloth over to the right edge.,6.4758,3.281,True,64.0
put spatula on plate sink,adversarial,"Direct your manipulators to grasp the cooking implement used for scraping and sliding under food, subsequently depositing it upon the flat eating vessel that currently resides in the kitchen washbasin.",1.6608,Pick up the spatula and place it on the pink plate in the sink.,6.5954,4.9347,True,64.0
put spatula on plate sink,adversarial,"Regarding the handheld implement designed for lifting food, kindly transport said item to the uppermost surface of the circular eating vessel located at the sink.",1.6651,Move the spatula onto the pink plate in the sink.,7.0594,5.3942,True,64.0
put spatula on plate sink,adversarial,"Direct your manipulators to grasp the cooking implement used for scraping and sliding under food, subsequently depositing it upon the flat eating vessel that currently resides in the kitchen washbasin.",1.6608,Pick up the spatula and put it on the plate in the sink.,7.2592,5.5984,True,64.0
take carrot out of pot cardboard fence,natural,Pull the carrot out of the pot in the cardboard fence.,8.3491,Thinking Process:,1.4132,-6.9359,True,64.0
take spatula off plate sink,natural,Please take the spatula off the plate and put it in the sink basin.,7.5811,Thinking Process:,0.8081,-6.773,True,64.0
put banana in colander,natural,Pop the banana into the colander.,8.3445,Thinking Process:,2.0268,-6.3177,True,64.0
zip zipper bag,natural,Close the zipper bag.,7.6535,Thinking Process:,2.3012,-5.3523,True,64.0
put knife in pot cardboard fence,natural,Put the knife inside the cardboard fence next to the pot.,8.2144,Thinking Process:,3.1278,-5.0866,True,64.0
fold the cloth from bottom left to top right,natural,Fold the towel diagonally by moving the bottom left edge to the top right.,6.7555,Thinking Process:,1.946,-4.8095,True,64.0
put brush into pot or pan,natural,Put the bristled cleaning tool into the skillet or the saucepan.,6.3943,Thinking Process:,1.735,-4.6593,True,64.0
put sushi in pot or pan,natural,I need you to move the sushi over to the pot or the pan.,7.8451,Thinking Process:,3.2749,-4.5702,True,64.0
pick up bowl and put in small4fbox,natural,Take the ceramic bowl and set it down in the small box.,7.1973,Thinking Process:,2.9653,-4.232,True,64.0
flip orange pot upright in sink,natural,Set the orange pot upright inside the sink.,6.7191,Thinking Process:,2.6109,-4.1083,True,64.0
close the drawer,natural,Shut the drawer.,8.6503,Thinking Process:,4.591,-4.0593,True,64.0
put eggplant into pan,natural,I need you to put the eggplant into the frying pan.,6.488,Thinking Process:,3.1215,-3.3665,True,64.0
put potato on plate,natural,The plate needs to have the potato placed on it.,7.3114,Thinking Process:,3.9756,-3.3358,True,64.0
put broccoli in pot or pan,natural,"In the pot or pan, please put the broccoli.",7.5864,Thinking Process:,4.339,-3.2474,True,64.0
put carrot on cutting board,natural,Shift the carrot to the cutting board.,7.8535,Thinking Process:,4.6077,-3.2458,True,64.0
open oven,natural,Swing the door to the oven open.,8.4962,Thinking Process:,5.2716,-3.2246,True,64.0
put corn on plate,natural,Place the corn onto the plate.,7.9313,Thinking Process:,4.771,-3.1604,True,64.0
put sweet potato in pot,natural,Transfer the sweet potato over to the pot.,6.958,Thinking Process:,4.0089,-2.9491,True,64.0
put small spoon from basket to tray,natural,Move the little spoon out of the basket and onto the tray.,7.1564,Thinking Process:,4.36,-2.7965,True,64.0
pick up violet Allen key,natural,Grab the violet hex key.,7.1451,Thinking Process:,4.3751,-2.77,True,64.0
put sweet potato in pot which is in sink,natural,Grab the sweet potato and drop it in the pot that's resting in the sink.,6.7359,Thinking Process:,4.0135,-2.7224,True,64.0
put green squash in pot or pan,natural,Move the green vegetable into a pot or a pan.,6.0898,Thinking Process:,3.4234,-2.6665,True,64.0
unfold the cloth from top to bottom,natural,Spread out the fabric by pulling it downwards,5.8323,Thinking Process:,3.4491,-2.3832,True,64.0
fold the cloth from the top left to the bottom right,natural,Fold the upper left part of the textile down to the lower right.,6.776,Thinking Process:,4.4446,-2.3314,True,64.0
pick up pot from sink,natural,Lift the pot up out of the washbasin.,1.7735,Take the pot out of the washbasin.,-0.2897,-2.0632,True,64.0
close oven,natural,Shut the oven door.,8.3105,Thinking Process:,6.2503,-2.0602,True,64.0
put pot in sink,natural,The pot should be placed in the sink.,7.4019,Thinking Process:,5.37,-2.032,True,64.0
open fridge,natural,Get the refrigerator open for me.,7.5521,Thinking Process:,5.6098,-1.9422,True,64.0
unfold the cloth from bottom left to top right,natural,Unfold the fabric by pulling its lower left corner up to the top right,5.1325,Pull the lower left corner of the fabric to the top right to unfold it.,3.1997,-1.9329,True,64.0
put sushi in pot or pan,natural,I need you to move the sushi over to the pot or the pan.,7.8451,Move the sushi to the pot.,5.9858,-1.8593,True,64.0
turn faucet left,natural,Shift the faucet over to the left.,6.7591,Thinking Process:,4.9558,-1.8033,True,64.0
close fridge,natural,Swing the fridge door shut.,8.3683,Thinking Process:,6.6999,-1.6684,True,64.0
move the cloth from left to right,natural,Take the piece of fabric on the left and put it on the right.,6.1998,Thinking Process:,4.5372,-1.6626,True,64.0
pick up pot from sink,natural,Lift the pot up out of the washbasin.,1.7735,Thinking Process:,0.1251,-1.6484,True,64.0
put sushi in pot or pan,natural,I need you to move the sushi over to the pot or the pan.,7.8451,Put the sushi in the pot.,6.215,-1.63,True,64.0
unfold the cloth from bottom left to top right,natural,Unfold the fabric by pulling its lower left corner up to the top right,5.1325,Thinking Process:,3.6619,-1.4707,True,64.0
pick up pot from sink,natural,Lift the pot up out of the washbasin.,1.7735,Lift the pot out of the washbasin.,0.5053,-1.2682,True,64.0
close microwave,natural,Make sure the microwave is completely closed.,8.4716,Thinking Process:,7.2756,-1.196,True,64.0
put brush into pot or pan,natural,Put the bristled cleaning tool into the skillet or the saucepan.,6.3943,Put the yellow brush in the silver pot.,5.2786,-1.1157,True,64.0
unfold the cloth from top to bottom,natural,Spread out the fabric by pulling it downwards,5.8323,Pull the fabric downwards to spread it out on the stovetop.,4.7301,-1.1022,True,64.0
end effector transition from object to object,natural,Transfer the robot hand from the first piece to the second one.,1.1992,Move the robot hand from the first piece to the second one.,0.2118,-0.9874,True,64.0
take carrot out of pot cardboard fence,natural,Pull the carrot out of the pot in the cardboard fence.,8.3491,Take the carrot out of the pot.,7.468,-0.881,True,64.0
unfold the cloth from bottom left to top right,natural,Unfold the fabric by pulling its lower left corner up to the top right,5.1325,Flatten the yellow cloth by dragging its bottom-left corner toward the upper-right area.,4.345,-0.7875,True,64.0
move the cloth to the left of the table,natural,Put the cloth on the left side of the table.,5.9516,Thinking Process:,5.203,-0.7486,True,64.0
move the cloth from left to right,natural,Take the piece of fabric on the left and put it on the right.,6.1998,Move the green cloth from the left side to the right side.,5.5407,-0.6591,True,64.0
turn faucet front to right,natural,Turn the frontmost tap to the right.,7.8605,Turn the grey tap to the right.,7.2198,-0.6407,True,64.0
put eggplant into pot or pan,natural,"Toss the eggplant into the pan, or the pot if you prefer.",6.7062,Put the eggplant into the pot.,6.1929,-0.5134,True,64.0
move the cloth to the left of the table,natural,Put the cloth on the left side of the table.,5.9516,Place the cloth on the left side of the table.,5.4745,-0.4771,True,64.0
put the blue figure on the top edge of the cloth,natural,Place the blue figure on the upper edge of the cloth.,5.7931,Thinking Process:,5.3332,-0.4599,True,64.0
put eggplant into pot or pan,natural,"Toss the eggplant into the pan, or the pot if you prefer.",6.7062,Put the eggplant into the pan.,6.2706,-0.4357,True,64.0
put broccoli in pot or pan,natural,"In the pot or pan, please put the broccoli.",7.5864,Put the broccoli in the pot.,7.2077,-0.3787,True,64.0
fold the cloth from the top left to the bottom right,natural,Fold the upper left part of the textile down to the lower right.,6.776,Fold the top-left corner of the orange cloth to the bottom-right corner.,6.4718,-0.3042,True,64.0
take spatula off plate sink,natural,Please take the spatula off the plate and put it in the sink basin.,7.5811,Move the spatula from the plate to the sink basin.,7.3052,-0.2759,True,64.0
pick up bowl and put in small4fbox,natural,Take the ceramic bowl and set it down in the small box.,7.1973,Put the ceramic bowl in the small box.,6.9399,-0.2574,True,64.0
put knife in pot cardboard fence,natural,Put the knife inside the cardboard fence next to the pot.,8.2144,Put the toy knife inside the cardboard fence next to the pot.,7.9623,-0.2522,True,64.0
take carrot out of pot cardboard fence,natural,Pull the carrot out of the pot in the cardboard fence.,8.3491,Remove the carrot from the pot in the cardboard fence.,8.2505,-0.0986,True,64.0
put small spoon from basket to tray,natural,Move the little spoon out of the basket and onto the tray.,7.1564,Take the little spoon out of the basket and put it on the tray.,7.066,-0.0905,True,64.0
close the drawer,natural,Shut the drawer.,8.6503,Close the drawer.,8.5851,-0.0651,True,64.0
fold the cloth from bottom left to top right,natural,Fold the towel diagonally by moving the bottom left edge to the top right.,6.7555,Fold the bottom left edge of the towel to the top right.,6.6949,-0.0606,True,64.0
fold the cloth from bottom left to top right,natural,Fold the towel diagonally by moving the bottom left edge to the top right.,6.7555,Fold the towel corner-to-corner by moving the bottom-left edge to the top right.,6.7094,-0.0461,True,64.0
flip cup upright,natural,Could you flip the drinking cup so it stands on its base?,7.0194,Flip the drinking cup so it stands on its base.,6.9851,-0.0343,True,64.0
take clothes out of laundry machine,natural,Take the clean laundry out of the washing machine.,7.0022,Take the laundry out of the washing machine.,6.97,-0.0322,True,64.0
put carrot on cutting board,natural,Shift the carrot to the cutting board.,7.8535,Move the carrot onto the cutting board.,7.8232,-0.0303,True,64.0
put carrot on cutting board,natural,Shift the carrot to the cutting board.,7.8535,Move the carrot to the cutting board.,7.8419,-0.0117,True,64.0
put small spoon from basket to tray,natural,Move the little spoon out of the basket and onto the tray.,7.1564,Move the little spoon from the basket to the tray.,7.1457,-0.0107,True,64.0
take spatula off plate sink,natural,Please take the spatula off the plate and put it in the sink basin.,7.5811,Take the spatula off the plate and put it in the sink basin.,7.5836,0.0026,True,64.0
turn faucet left,natural,Shift the faucet over to the left.,6.7591,Move the faucet to the left.,6.7628,0.0037,True,64.0
close oven,natural,Shut the oven door.,8.3105,Close the oven door.,8.3212,0.0107,True,64.0
fold the cloth from the top left to the bottom right,natural,Fold the upper left part of the textile down to the lower right.,6.776,Fold the upper left part of the textile to the lower right.,6.7952,0.0193,True,64.0
move the cloth from left to right,natural,Take the piece of fabric on the left and put it on the right.,6.1998,Move the fabric on the left to the right.,6.2238,0.024,True,64.0
put sweet potato in pot which is in sink,natural,Grab the sweet potato and drop it in the pot that's resting in the sink.,6.7359,Drop the sweet potato in the pot in the sink.,6.7612,0.0253,True,64.0
flip orange pot upright in sink,natural,Set the orange pot upright inside the sink.,6.7191,Set the orange pot upright in the sink.,6.7461,0.027,True,64.0
open oven,natural,Swing the door to the oven open.,8.4962,Open the oven door.,8.5244,0.0282,True,64.0
put corn on plate,natural,Place the corn onto the plate.,7.9313,Put the corn on the plate.,7.9814,0.0501,True,64.0
close microwave,natural,Make sure the microwave is completely closed.,8.4716,Close the microwave door.,8.5348,0.0632,True,64.0
put green squash in pot or pan,natural,Move the green vegetable into a pot or a pan.,6.0898,Put the green vegetable in a pot or pan.,6.1553,0.0654,True,64.0
close microwave,natural,Make sure the microwave is completely closed.,8.4716,Close the microwave completely.,8.5437,0.072,True,64.0
put banana in colander,natural,Pop the banana into the colander.,8.3445,Put the banana into the colander.,8.4173,0.0727,True,64.0
close fridge,natural,Swing the fridge door shut.,8.3683,Close the fridge door.,8.4497,0.0813,True,64.0
unfold the cloth from top to bottom,natural,Spread out the fabric by pulling it downwards,5.8323,Spread out the fabric by pulling it downwards.,5.9177,0.0854,True,64.0
put banana in colander,natural,Pop the banana into the colander.,8.3445,Put the banana in the colander.,8.4403,0.0958,True,64.0
put eggplant into pan,natural,I need you to put the eggplant into the frying pan.,6.488,Put the eggplant into the frying pan.,6.5877,0.0997,True,64.0
put sweet potato in pot which is in sink,natural,Grab the sweet potato and drop it in the pot that's resting in the sink.,6.7359,Put the sweet potato in the pot in the sink.,6.853,0.1171,True,64.0
put broccoli in pot or pan,natural,"In the pot or pan, please put the broccoli.",7.5864,Put the broccoli in the pot or pan.,7.7385,0.1521,True,64.0
put sweet potato in pot,natural,Transfer the sweet potato over to the pot.,6.958,Put the sweet potato in the pot.,7.1263,0.1683,True,64.0
put pot in sink,natural,The pot should be placed in the sink.,7.4019,Put the pot in the sink.,7.6336,0.2316,True,64.0
put corn in pan which is on stove,natural,"In the pan on the stove, please put the corn.",6.2146,Put the corn in the pan on the stove.,6.5487,0.3341,True,64.0
put potato on plate,natural,The plate needs to have the potato placed on it.,7.3114,Put the potato on the pink plate.,7.6805,0.3691,True,64.0
put pot in sink,natural,The pot should be placed in the sink.,7.4019,Place the pot in the sink.,7.7714,0.3694,True,64.0
close small4fbox flaps,natural,Please close the top of the small cardboard carton.,3.8596,Close the top of the small cardboard carton.,4.3982,0.5386,True,64.0
take clothes out of laundry machine,natural,Take the clean laundry out of the washing machine.,7.0022,Remove the clean laundry from the washing machine.,7.5454,0.5432,True,64.0
put potato on plate,natural,The plate needs to have the potato placed on it.,7.3114,Place the potato on the plate.,7.9652,0.6538,True,64.0
close small4fbox flaps,natural,Please close the top of the small cardboard carton.,3.8596,Thinking Process:,4.5583,0.6987,True,64.0
end effector transition from object to object,natural,Transfer the robot hand from the first piece to the second one.,1.1992,Thinking Process:,2.6264,1.4272,True,64.0
end effector transition from object to object,natural,Transfer the robot hand from the first piece to the second one.,1.1992,Move the gripper from the orange cup to the silver colander.,2.6769,1.4777,True,64.0
put the blue figure on the top edge of the cloth,natural,Place the blue figure on the upper edge of the cloth.,5.7931,Put the blue figure on the top edge of the cloth.,7.8628,2.0697,True,64.0
close small4fbox flaps,natural,Please close the top of the small cardboard carton.,3.8596,Close the top flap of the small cardboard box.,6.9056,3.046,True,64.0
upright basil bottle cardboard fence,original,upright basil bottle cardboard fence,7.8635,Thinking Process:,2.2712,-5.5923,True,64.0
take clothes out of laundry machine,original,take clothes out of laundry machine,8.0903,Thinking Process:,3.2749,-4.8154,True,64.0
wipe pot with sponge,original,wipe pot with sponge,7.7661,Thinking Process:,3.008,-4.7581,True,64.0
put knife on cutting board,original,put knife on cutting board,7.6714,Thinking Process:,3.7272,-3.9442,True,64.0
put pepper in pot or pan,original,put pepper in pot or pan,6.3223,Thinking Process:,3.2249,-3.0974,True,64.0
put fork from basket to tray,original,put fork from basket to tray,6.3201,Thinking Process:,3.5768,-2.7433,True,64.0
put pepper in pot or pan,original,put pepper in pot or pan,6.3223,Put the red pepper in the pot.,5.292,-1.0303,True,64.0
put fork from basket to tray,original,put fork from basket to tray,6.3201,Put the fork from the basket into the tray.,5.9457,-0.3744,True,64.0
upright basil bottle cardboard fence,original,upright basil bottle cardboard fence,7.8635,Stand the basil bottle upright in the cardboard fence.,7.5332,-0.3302,True,64.0
put fork from basket to tray,original,put fork from basket to tray,6.3201,Move the fork from the basket to the tray.,6.0932,-0.2268,True,64.0
wipe pot with sponge,original,wipe pot with sponge,7.7661,Wipe the pot with the sponge.,7.5514,-0.2146,True,64.0
take clothes out of laundry machine,original,take clothes out of laundry machine,8.0903,Take the clothes out of the washing machine.,7.9069,-0.1834,True,64.0
put eggplant on plate,original,put eggplant on plate,6.8396,Put the eggplant on the plate.,6.7329,-0.1066,True,64.0
put knife on cutting board,original,put knife on cutting board,7.6714,Put the knife on the cutting board.,7.5736,-0.0978,True,64.0
put pepper in pot or pan,original,put pepper in pot or pan,6.3223,Put the pepper in the pot or pan.,6.3088,-0.0135,True,64.0
take clothes out of laundry machine,original,take clothes out of laundry machine,8.0903,Take clothes out of the laundry machine.,8.0983,0.008,True,64.0
put clothes in laundry machine,search,place the clothes into the open laundry machine,7.775,Thinking Process:,1.6213,-6.1538,True,64.0
take bowl off plate cardboard fence,search,lift the blue bowl off the green saucer,6.7214,Thinking Process:,0.9105,-5.8109,True,64.0
put beet in pot sink,search,put the purple beet in the red pot,6.8784,Thinking Process:,1.454,-5.4244,True,64.0
put cup on plate,search,move the orange cup on the green plate,5.7749,Thinking Process:,0.6858,-5.0892,True,64.0
put cup from sink to drying rack,search,move pink cup to drying rack,6.4224,Thinking Process:,1.6027,-4.8197,True,64.0
unfold the cloth from bottom to top,search,unfold orange cloth from bottom to top,6.6858,Thinking Process:,1.9369,-4.7489,True,64.0
fold the cloth from bottom to top,search,fold the white cloth in half up,5.5602,Thinking Process:,0.9286,-4.6316,True,64.0
put pan from sink into drying rack,search,put pan in orange drying rack,7.4032,Thinking Process:,3.1511,-4.2521,True,64.0
put lid on pot or pan,search,put the silver lid on the silver pot,6.3922,Thinking Process:,2.2032,-4.189,True,64.0
unfold the cloth from bottom right to top left,search,unfold the yellow cloth towards the top left,6.8311,Thinking Process:,2.993,-3.8381,True,64.0
turn faucet front to left,search,push the faucet lever to the left,7.8702,Thinking Process:,4.0819,-3.7883,True,64.0
unfold the cloth from right to left,search,spread the orange cloth leftward,6.0462,Thinking Process:,2.3935,-3.6527,True,64.0
put broccoli in pot,search,put the green broccoli piece inside the metal pot,6.6132,Thinking Process:,2.9814,-3.6318,True,64.0
unfold the cloth from top left to bottom right,search,unfold the cloth from top left to bottom right corner,7.1448,Thinking Process:,3.5591,-3.5857,True,64.0
put pan in sink,search,put pan into the sink,7.4665,Thinking Process:,4.3126,-3.1539,True,64.0
open large4fbox flaps,search,lift the cardboard box flaps open,7.8871,Thinking Process:,4.9035,-2.9835,True,64.0
take bowl off plate cardboard fence,search,lift the blue bowl off the green saucer,6.7214,Pick up the blue bowl from the green saucer.,3.791,-2.9304,True,64.0
put sushi on plate,search,move the sushi onto the blue plate,7.2454,Thinking Process:,4.3961,-2.8493,True,64.0
close white1fbox flap,search,fold down the white box flap,8.0803,Thinking Process:,5.4779,-2.6024,True,64.0
flip cup upright,search,put cup upright,6.9479,Thinking Process:,4.4473,-2.5006,True,64.0
put pan from stove to sink,search,transfer the metal pot from the blue burner to the sink,5.4895,Thinking Process:,3.0137,-2.4758,True,64.0
unfold the cloth from top left to bottom right,search,unfold the cloth from top left to bottom right corner,7.1448,Spread the cloth open from its top-left corner toward the bottom-right corner.,4.6929,-2.4519,True,64.0
put eggplant on plate,search,place eggplant on the green plate,6.6255,Thinking Process:,4.3714,-2.254,True,64.0
put banana in pot or pan,search,place banana in the silver pot,6.297,Thinking Process:,4.1069,-2.1901,True,64.0
put corn in pan which is on stove,search,place the orange carrot inside the empty pot,5.1839,Thinking Process:,3.1436,-2.0403,True,64.0
flip cup upright,search,put cup upright,6.9479,Set the pink cup upright in the sink.,5.0744,-1.8734,True,64.0
fold the cloth from bottom to top,search,fold the white cloth in half up,5.5602,Fold the white cloth in half upward.,4.0567,-1.5035,True,64.0
fold the cloth from bottom to top,search,fold the white cloth in half up,5.5602,Fold the white cloth up in half.,4.5366,-1.0236,True,64.0
unfold the cloth from top to bottom,search,flatten the blue cloth from top down,5.9076,"Smooth out the blue cloth on the stove, starting at the top and moving to the bottom.",5.0746,-0.8331,True,64.0
close brown1fbox flap,search,close the brown box lid,6.3575,Thinking Process:,5.6029,-0.7546,True,64.0
lever vertical to front,search,push the silver handle to the front,6.0367,Push the silver handle forward.,5.5139,-0.5228,True,64.0
lever vertical to front,search,push the silver handle to the front,6.0367,Thinking Process:,5.5721,-0.4646,True,64.0
unfold the cloth from right to left,search,spread the orange cloth leftward,6.0462,Spread the orange cloth leftward.,5.6294,-0.4168,True,64.0
put pan from stove to sink,search,transfer the metal pot from the blue burner to the sink,5.4895,Move the metal pot from the blue burner to the sink.,5.1454,-0.3441,True,64.0
put corn in pan which is on stove,search,place the orange carrot inside the empty pot,5.1839,Put the orange carrot in the empty pot.,4.8756,-0.3083,True,64.0
unfold the cloth from bottom to top,search,unfold orange cloth from bottom to top,6.6858,Unfold the orange cloth from bottom to top.,6.4202,-0.2656,True,64.0
put broccoli in pot,search,put the green broccoli piece inside the metal pot,6.6132,Put the green broccoli piece in the metal pot.,6.3838,-0.2294,True,64.0
unfold the cloth from bottom right to top left,search,unfold the yellow cloth towards the top left,6.8311,Unfold the yellow cloth to the upper left.,6.6041,-0.2269,True,64.0
put pan from sink into drying rack,search,put pan in orange drying rack,7.4032,Put the pan in the orange drying rack.,7.178,-0.2252,True,64.0
put eggplant on plate,search,put the eggplant on the green plate,6.7743,Put the eggplant on the green plate.,6.612,-0.1623,True,64.0
