task,phrase,proxy,n_ctx,gt_success,source
end effector reaching carrot,touch the orange carrot on the right stove grate,,80,,search_boards
end effector reaching carrot,touch the orange carrot on the stove,,80,,search_boards
end effector reaching carrot,touch the carrot on the stove grate,,80,,search_boards
end effector reaching carrot,aim gripper at the orange carrot,,80,,search_boards
end effector reaching corn,touch the corn with the gripper,,80,,search_boards
end effector reaching corn,end effector reaching corn,,80,,search_boards
end effector reaching corn,touch the toy corn with the gripper,,80,,search_boards
end effector reaching corn,touch the yellow corn,,80,,search_boards
end effector reaching corn,put the gripper next to the corn,,80,,search_boards
end effector reaching corn,touch the yellow corn with the gripper,,80,,search_boards
end effector reaching corn,position gripper next to the corn,,80,,search_boards
end effector reaching corn,reach for the yellow corn on the stove,,80,,search_boards
end effector reaching pot or pan,end effector reaching pot or pan,,80,,search_boards
end effector reaching pot or pan,bring the gripper to the red toy pot,,80,,search_boards
end effector reaching pot or pan,move the gripper to the red toy pot,,80,,search_boards
end effector reaching pot or pan,reach for the red pot on the burner,,80,,search_boards
end effector reaching pot or pan,touch the red pot on the burner,,80,,search_boards
end effector reaching pot or pan,reach for the red cooking pot,,80,,search_boards
end effector reaching pot or pan,touch the red plastic pot,,80,,search_boards
end effector reaching salmon,[dry-run:gemini] fc8dfe765447,0.2050086869119735,80,,loop_gemini
end effector reaching salmon,end effector reaching salmon,,80,,search_boards
end effector reaching salmon,bring gripper close to the salmon,,80,,search_boards
end effector reaching salmon,approach the salmon with the gripper,,80,,search_boards
end effector reaching salmon,approach the salmon on the stove,,80,,search_boards
end effector reaching salmon,bring gripper close to the pink salmon on the stove,,80,,search_boards
end effector reaching salmon,reach toward the salmon on the stove,,80,,search_boards
end effector reaching salmon,aim gripper at the salmon,,80,,search_boards
end effector reaching salmon,approach the salmon slice with the gripper,,80,,search_boards
end effector reaching stuffedrabbit,end effector reaching pink bunny,,80,,search_boards
end effector reaching stuffedrabbit,end effector reaching pink stuffed animal,,80,,search_boards
end effector reaching stuffedrabbit,end effector reaching pink stuffed rabbit,,80,,search_boards
end effector reaching stuffedrabbit,end effector reaching stuffedrabbit,,80,,search_boards
end effector reaching stuffedrabbit,end effector reaching pink rabbit,,80,,search_boards
end effector reaching stuffedrabbit,place the gripper on the pink stuffed rabbit,,80,,search_boards
end effector reaching stuffedrabbit,point gripper at the pink bunny toy,,80,,search_boards
end effector reaching stuffedrabbit,place gripper on the pink toy bunny,,80,,search_boards
end effector transition from pot or pan to object,end effector transition from pot or pan to object,,80,,search_boards
end effector transition from pot or pan to object,end effector transition from bowl to red object,,80,,search_boards
end effector transition from pot or pan to object,end effector transition from bowl to red cylinder,,80,,search_boards
end effector transition from pot or pan to object,end effector transition from orange bowl to red container,,80,,search_boards
end effector transition from pot or pan to object,end effector transition from orange pot to red container,,80,,search_boards
end effector transition from pot or pan to object,move hand from orange bowl to the red cylinder,,80,,search_boards
end effector transition from pot or pan to object,lift hand from orange bowl and move to red and white object,,80,,search_boards
end effector transition from pot or pan to object,move arm from orange bowl to red wheel,,80,,search_boards
flip cup upright,rotate cup upright,,80,,search_boards
flip cup upright,turn cup upright,,80,,search_boards
flip cup upright,flip cup right side up,,80,,search_boards
flip cup upright,put cup upright,,80,,search_boards
flip cup upright,flip cup upright,,80,,search_boards
flip cup upright,turn the light blue cup upright,,80,,search_boards
flip cup upright,flip the small blue cup upright,,80,,search_boards
flip cup upright,rotate the blue cup upright,,80,,search_boards
flip orange pot upright in sink,flip orange pot upright in sink,,80,,search_boards
flip orange pot upright in sink,turn the orange cup upright in sink,,80,,search_boards
flip orange pot upright in sink,flip the orange cup right side up,,80,,search_boards
flip orange pot upright in sink,turn the orange cup upright,,80,,search_boards
flip orange pot upright in sink,turn the orange cup right side up,,80,,search_boards
flip orange pot upright in sink,turn the orange cup right side up in sink,,80,,search_boards
flip orange pot upright in sink,flip the orange cup upright in the sink,,80,,search_boards
flip pot upright in sink,flip pot upright in sink,,80,,search_boards
flip pot upright in sink,orient the pot right side up in the sink,,80,,search_boards
flip pot upright in sink,place the pot right side up in the sink,,80,,search_boards
flip pot upright in sink,turn the pot right-side up in the sink,,80,,search_boards
flip pot upright in sink,place the pot right-side up in the sink,,80,,search_boards
flip pot upright in sink,turn the pot right side up in the sink,,80,,search_boards
flip pot upright in sink,orient the pot upright inside the sink,,80,,search_boards
flip pot upright in sink,reorient the pot upright in the sink,,80,,search_boards
flip pot upright which is in sink,flip pot upright which is in sink,,80,,search_boards
flip pot upright which is in sink,flip silver pot upright which is in sink,,80,,search_boards
flip pot upright which is in sink,turn pot upright which is in sink,,80,,search_boards
flip pot upright which is in sink,flip metal pot upright which is in sink,,80,,search_boards
flip pot upright which is in sink,flip the upside down silver pot in the sink,,80,,search_boards
flip pot upright which is in sink,turn the silver pot over in the sink,,80,,search_boards
flip pot upright which is in sink,flip the pot in the sink right side up,,80,,search_boards
fold cloth in half,fold the light beige cloth in half,,80,,search_boards
fold cloth in half,fold cloth in half,,80,,search_boards
fold cloth in half,fold the beige cloth in half horizontally,,80,,search_boards
fold cloth in half,fold the white cloth in half over the burners,,80,,search_boards
fold cloth in half,fold the light cloth in half over the burners,,80,,search_boards
fold cloth in half,fold the beige cloth in half,,80,,search_boards
fold cloth in half,fold the cloth in half over the burners,,80,,search_boards
fold cloth in half,fold the cloth in half horizontally,,80,,search_boards
fold cloth in half,fold the white cloth on the counter in half,,80,,search_boards
fold the cloth from bottom right to top left,[dry-run:gemini] a0a0c38f7214,0.8036616281453741,80,,loop_gemini
fold the cloth from bottom right to top left,fold the cloth from bottom right to top left,,80,,search_boards
fold the cloth from bottom right to top left,fold the green towel from bottom right to top left,,80,,search_boards
fold the cloth from bottom right to top left,diagonally fold the green towel from bottom right to top left,,80,,search_boards
fold the cloth from bottom right to top left,diagonally fold the green cloth from bottom right to top left,,80,,search_boards
fold the cloth from bottom right to top left,diagonally fold the green cloth from bottom right to top left corner,,80,,search_boards
fold the cloth from bottom right to top left,fold the green cloth from the bottom right edge to the top left edge,,80,,search_boards
fold the cloth from bottom right to top left,fold the green cloth by moving the bottom right corner to the top left,,80,,search_boards
fold the cloth from bottom right to top left,fold the bottom right tape of the green cloth to the top left tape,,80,,search_boards
fold the cloth from bottom to top,fold the cloth from bottom to top,,80,,search_boards
fold the cloth from bottom to top,fold the bottom of the towel to the top,,80,,search_boards
fold the cloth from bottom to top,fold the white cloth in half upwards,,80,,search_boards
fold the cloth from bottom to top,fold the white cloth in half up,,80,,search_boards
fold the cloth from bottom to top,fold the white towel from bottom to top,,80,,search_boards
fold the cloth from left to right,fold the orange cloth in half from left to right,,80,,search_boards
fold the cloth from left to right,fold the cloth from left to right,,80,,search_boards
fold the cloth from left to right,fold the left tape of the orange cloth to the right,,80,,search_boards
fold the cloth from left to right,move the left corner of the orange cloth to the right,,80,,search_boards
fold the cloth from left to right,move the left side of the orange cloth to the right,,80,,search_boards
fold the cloth from left to right,fold the orange rag from left to right,,80,,search_boards
fold the cloth from right to left,fold the cloth from right to left,,80,,search_boards
fold the cloth from right to left,gently fold the light green dish cloth on the counter from right to left,,80,,search_boards
fold the cloth from right to left,carefully fold the light green dish cloth on the counter from right to left,,80,,search_boards
fold the cloth from right to left,fold the light green cleaning cloth on the counter from right to left,,80,,search_boards
fold the cloth from right to left,fold the light green dish cloth on the counter from right to left,,80,,search_boards
fold the cloth from right to left,fold the cloth on the counter from right to left,,80,,search_boards
fold the cloth from right to left,fold the green cloth in half starting from the right,,80,,search_boards
fold the cloth from right to left,grasp the right side of the green cloth and fold it left,,80,,search_boards
fold the cloth from right to left,fold the right half of the green cloth over to the left,,80,,search_boards
fold the cloth from right to left,fold the green dish cloth on the counter from right to left,,80,,search_boards
fold the cloth from right to left,gently fold the green cloth on the counter from right to left,,80,,search_boards
fold the cloth from right to left,fold the green cleaning cloth on the counter from right to left,,80,,search_boards
fold the cloth from right to left,fold the green dish cloth on the counter over to the left,,80,,search_boards
fold the cloth from right to left,gently fold the green dish cloth on the counter from right to left,,80,,search_boards
fold the cloth from right to left,carefully fold the green dish cloth on the counter from right to left,,80,,search_boards
fold the cloth from the bottom to the top,fold the cloth from the bottom to the top,,80,,search_boards
fold the cloth from the bottom to the top,fold the light blue towel from bottom to top,,80,,search_boards
fold the cloth from the bottom to the top,fold the light blue towel in half from bottom to top,,80,,search_boards
fold the cloth from the bottom to the top,fold the bottom half of the blue cloth upward,,80,,search_boards
fold the cloth from the bottom to the top,fold the light blue rag from bottom to top,,80,,search_boards
fold the cloth from the bottom to the top,fold the light blue cloth from bottom to top,,80,,search_boards
fold the cloth from the bottom to the top,grab the bottom edge of the blue cloth and fold it up,,80,,search_boards
fold the cloth from the left to the right,fold the cloth from the left to the right,,80,,search_boards
fold the cloth from the left to the right,fold the left part of the light blue towel over to the right,,80,,search_boards
fold the cloth from the left to the right,grab the left corner of the light blue towel and fold it to the right,,80,,search_boards
fold the cloth from the left to the right,fold the left side of the light blue towel to the right,,80,,search_boards
fold the cloth from the left to the right,bring the left edge of the light blue towel over to the right,,80,,search_boards
fold the cloth from the left to the right,fold the light blue towel in half from left to right,,80,,search_boards
fold the cloth from the left to the right,fold the left corner of the blue cloth to the right,,80,,search_boards
fold the cloth from the left to the right,fold the blue cloth horizontally from left to right,,80,,search_boards
fold the cloth from the left to the right,grab the left side of the blue cloth and fold it right,,80,,search_boards
fold the cloth from the top left to the bottom right,fold the cloth from the top left to the bottom right,,80,,search_boards
fold the cloth from the top left to the bottom right,fold the cloth from top left to bottom right,,80,,search_boards
fold the cloth from the top left to the bottom right,fold the towel from top left to bottom right,,80,,search_boards
fold the cloth from the top left to the bottom right,fold the blue cloth starting from top left to bottom right,,80,,search_boards
fold the cloth from the top left to the bottom right,fold the blue cloth from top left to bottom right,,80,,search_boards
fold the cloth from the top left to the bottom right,fold the blue cloth diagonally from top left to bottom right,,80,,search_boards
fold the cloth from the top left to the bottom right,grab the top left corner of the blue towel and fold it to the bottom right,,80,,search_boards
fold the cloth from the top left to the bottom right,fold the blue cloth from top left to bottom right corner,,80,,search_boards
fold the cloth from top left to bottom right,fold the cloth from top left to bottom right,,80,,search_boards
fold the cloth from top left to bottom right,fold the blue rag diagonally from top left to bottom right,,80,,search_boards
fold the cloth from top left to bottom right,fold the blue towel diagonally from top left to bottom right,,80,,search_boards
fold the cloth from top left to bottom right,fold the blue cloth diagonally from top left to bottom right,,80,,search_boards
fold the cloth from top left to bottom right,fold the blue cloth down diagonally to the bottom right,,80,,search_boards
fold the cloth from top left to bottom right,fold the blue cloth from the top corner to the bottom right,,80,,search_boards
fold the cloth from top left to bottom right,fold the blue towel diagonally towards the bottom right,,80,,search_boards
fold the cloth from top left to bottom right,fold the blue cloth down diagonally towards the bottom right corner,,80,,search_boards
fold the cloth from top right to bottom left,fold the cloth from top right to bottom left,,80,,search_boards
fold the cloth from top right to bottom left,diagonal fold of the blue cloth from top right to bottom left,,80,,search_boards
fold the cloth from top right to bottom left,fold the top of the blue rag towards the bottom left,,80,,search_boards
fold the cloth from top right to bottom left,diagonal fold of the blue rag from top right to bottom left,,80,,search_boards
fold the cloth from top right to bottom left,fold the top edge of the blue rag towards the bottom left,,80,,search_boards
fold the cloth from top right to bottom left,diagonal fold the blue cloth from top right to bottom left,,80,,search_boards
fold the cloth from top right to bottom left,fold the blue cloth in half diagonally towards the bottom left,,80,,search_boards
fold the cloth from top to bottom,[dry-run:gemini] 5aac1776ceba,0.3463528744532318,80,,loop_gemini
fold the cloth from top to bottom,fold the cloth from top to bottom,,80,,search_boards
fold the cloth from top to bottom,pull the top of the blue cloth down to fold it,,80,,search_boards
fold the cloth from top to bottom,pull the top edge of the blue cloth down to fold it,,80,,search_boards
fold the cloth from top to bottom,fold the blue cloth by pulling the top down,,80,,search_boards
fold the cloth from top to bottom,grab the top edge of the blue cloth and pull it down,,80,,search_boards
fold the cloth from top to bottom,fold the blue cloth downward from the top,,80,,search_boards
fold the cloth from top to bottom,pull the top corner of the blue cloth down,,80,,search_boards
lever vertical to front,lever vertical to front,,80,,search_boards
lever vertical to front,move the silver lever to the front,,80,,search_boards
lever vertical to front,turn the silver handle to the front,,80,,search_boards
lever vertical to front,move the silver handle to the front,,80,,search_boards
lever vertical to front,push the silver handle to the front,,80,,search_boards
lever vertical to front,move the faucet lever to the front,,80,,search_boards
lever vertical to front,turn the faucet knob to the front,,80,,search_boards
lever vertical to front,rotate the faucet handle forward,,80,,search_boards
lever vertical to front,turn the faucet handle to point forward,,80,,search_boards
lever vertical to front,rotate the faucet handle to the front,,80,,search_boards
lever vertical to front,push the faucet handle to the front,,80,,search_boards
lever vertical to front,pull the faucet handle to the front,,80,,search_boards
lift bowl,lift bowl,,80,,search_boards
lift bowl,grab and lift blue bowl,,80,,search_boards
lift bowl,pick up light blue bowl,,80,,search_boards
lift bowl,grab and lift the blue bowl,,80,,search_boards
lift bowl,grab the light blue bowl,,80,,search_boards
lift bowl,pick up the light blue bowl,,80,,search_boards
lift bowl,grab the blue bowl,,80,,search_boards
lift bowl,pick up the blue bowl,,80,,search_boards
move light switch to the right,[dry-run:gemini] 14fa3c1c07c5,0.639421902373544,80,,loop_gemini
move light switch to the right,push the little switch right,,80,,search_boards
move light switch to the right,move light switch to the right,,80,,search_boards
move light switch to the right,flip the little switch to the right,,80,,search_boards
move light switch to the right,push the little switch to the right,,80,,search_boards
move light switch to the right,push the little white switch to the right,,80,,search_boards
move light switch to the right,flip the toggle switch to the right,,80,,search_boards
move light switch to the right,push the switch right,,80,,search_boards
move light switch to the right,toggle the switch right,,80,,search_boards
move the cloth from left to right,move the cloth from left to right,,80,,search_boards
move the cloth from left to right,move blue cloth to the right,,80,,search_boards
move the cloth from left to right,move the blue cloth right,,80,,search_boards
move the cloth from left to right,move the blue cloth to the right,,80,,search_boards
move the cloth from left to right,shift the blue cloth to the right,,80,,search_boards
move the cloth from left to right,drag the blue cloth to the right side of the stove,,80,,search_boards
move the cloth from left to right,move the blue cloth over the stove to the right,,80,,search_boards
move the cloth from right to left,move the cloth from right to left,,80,,search_boards
move the cloth from right to left,shift the cloth from right to left,,80,,search_boards
move the cloth from right to left,pull the cloth from right to left,,80,,search_boards
move the cloth from right to left,slide the cloth from right to left,,80,,search_boards
move the cloth from right to left,wipe the stove by moving the orange rag to the left,,80,,search_boards
move the cloth from right to left,reposition the orange rag on the left burner,,80,,search_boards
move the cloth from right to left,drag the orange cloth from the right side to the left side,,80,,search_boards
move the cloth to the left of the table,move the cloth to the left of the table,,80,,search_boards
move the cloth to the left of the table,shift the orange rag to the left part of the table,,80,,search_boards
move the cloth to the left of the table,shift the orange rag to the left side of the table,,80,,search_boards
move the cloth to the left of the table,move the orange rag to the left side of the table,,80,,search_boards
move the cloth to the left of the table,move the orange rag to the left,,80,,search_boards
move the cloth to the left of the table,slide the orange rag to the left,,80,,search_boards
move the cloth to the left of the table,push the orange cloth to the left,,80,,search_boards
move the cloth to the left of the table,move the orange rag to the left of the table,,80,,search_boards
move the cloth to the left of the table,move the cloth to the left,,80,,search_boards
move the silver pot to the upper right of table,[dry-run:gemini] 9af3b2893c5d,0.7443124780005983,80,,loop_gemini
move the silver pot to the upper right of table,shift the silver pot to the upper right of table,,80,,search_boards
move the silver pot to the upper right of table,move the silver pot to the upper right of table,,80,,search_boards
move the silver pot to the upper right of table,shift the small silver pot to the upper right of table,,80,,search_boards
move the silver pot to the upper right of table,move the small grey mouse away from the house,,80,,search_boards
move the silver pot to the upper right of table,slide the grey stuffed animal to the upper right,,80,,search_boards
move the silver pot to the upper right of table,slide the plush mouse to the top right of the table,,80,,search_boards
move the silver pot to the upper right of table,move the small silver pot to the upper right of table,,80,,search_boards
open book,flip open the red book,,80,,search_boards
open book,open book,,80,,search_boards
open book,open the book,,80,,search_boards
open book,flip open the red album,,80,,search_boards
open book,open the red book on the table,,80,,search_boards
open brown1fbox flap,open brown1fbox flap,,80,,search_boards
open brown1fbox flap,open the brown box,,80,,search_boards
open brown1fbox flap,open the brown box lid,,80,,search_boards
open brown1fbox flap,open the brown cardboard box,,80,,search_boards
open brown1fbox flap,open the lid on the brown cardboard box,,80,,search_boards
open brown1fbox flap,open the flap on the cardboard box,,80,,search_boards
open brown1fbox flap,lift the flap of the brown box,,80,,search_boards
open brown1fbox flap,open the flap of the kitchen set box,,80,,search_boards
open cabinet,pull open the kitchen cabinet door,,80,,search_boards
open cabinet,pull open the kitchen cabinet,,80,,search_boards
open cabinet,use the handle to open the cabinet door,,80,,search_boards
open cabinet,open cabinet,,80,,search_boards
open cabinet,grasp the cabinet handle and pull open,,80,,search_boards
open cabinet,pull open the cabinet door,,80,,search_boards
open cabinet,open the cabinet under the counter,,80,,search_boards
open drawer of box,pull open the box drawer,,80,,search_boards
open drawer of box,open drawer of box,,80,,search_boards
open drawer of box,slide the drawer out,,80,,search_boards
open drawer of box,slide the black handle drawer open,,80,,search_boards
open drawer of box,slide the drawer open,,80,,search_boards
open drawer of box,open the drawer,,80,,search_boards
open drawer of box,open the drawer of the box on the counter,,80,,search_boards
open fridge,pull open the grey toy refrigerator door,,80,,search_boards
open fridge,pull open the grey toy fridge door,,80,,search_boards
open fridge,gently pull open the grey toy refrigerator door,,80,,search_boards
open fridge,pull open the gray toy refrigerator door,,80,,search_boards
open fridge,open fridge,,80,,search_boards
open fridge,pull open the grey fridge door,,80,,search_boards
open fridge,pull the refrigerator door open,,80,,search_boards
open fridge,pull open the refrigerator door,,80,,search_boards
open fridge,pull the fridge door open,,80,,search_boards
open fridge,pull open the grey refrigerator door,,80,,search_boards
open large4fbox flaps,pull the cardboard flaps open,,80,,search_boards
open large4fbox flaps,lift the cardboard flaps open,,80,,search_boards
open large4fbox flaps,lift the cardboard box flaps open,,80,,search_boards
open large4fbox flaps,lift open the cardboard box flaps,,80,,search_boards
open large4fbox flaps,open large4fbox flaps,,80,,search_boards
open large4fbox flaps,pull open the cardboard box flaps,,80,,search_boards
open large4fbox flaps,pull the cardboard box flaps open,,80,,search_boards
open large4fbox flaps,open the cardboard box flaps,,80,,search_boards
open low fridge,open the lower fridge door,,80,,search_boards
open low fridge,open the lower fridge,,80,,search_boards
open low fridge,open the white lower fridge door,,80,,search_boards
open low fridge,open the white lower refrigerator door,,80,,search_boards
open low fridge,open low fridge,,80,,search_boards
open low fridge,open the low white fridge,,80,,search_boards
open low fridge,open the small white fridge door,,80,,search_boards
open low fridge,open the lower refrigerator door,,80,,search_boards
open oven,grab and pull open the white oven door,,80,,search_boards
open oven,pull open the white oven door gently,,80,,search_boards
open oven,pull open the white oven,,80,,search_boards
open oven,pull open the handle of the white oven,,80,,search_boards
open oven,open oven,,80,,search_boards
open oven,pull open the oven door,,80,,search_boards
open oven,grab the oven handle and open it,,80,,search_boards
open oven,pull the oven handle to open it,,80,,search_boards
open small4fbox flaps,open the small brown cardboard box flaps,,80,,search_boards
open small4fbox flaps,open small brown cardboard box flaps,,80,,search_boards
open small4fbox flaps,open small4fbox flaps,,80,,search_boards
open small4fbox flaps,open the small card board box flaps,,80,,search_boards
open small4fbox flaps,open the small cardboard box flaps,,80,,search_boards
open small4fbox flaps,pull open the box flaps,,80,,search_boards
open small4fbox flaps,open small box flaps,,80,,search_boards
open small4fbox flaps,open the cardboard box flaps,,80,,search_boards
open the drawer,open the drawer,,80,,search_boards
open the drawer,pull open the drawer using the handle,,80,,search_boards
open the drawer,open the drawer on the red box,,80,,search_boards
open the drawer,pull the black handle to open the red drawer,,80,,search_boards
open the drawer,grab the handle and open the drawer,,80,,search_boards
open the drawer,pull the drawer handle,,80,,search_boards
open the drawer,use the handle to pull open the drawer,,80,,search_boards
opened the drawer,opened the drawer,,80,,search_boards
opened the drawer,slide the red drawer open,,80,,search_boards
opened the drawer,open the red drawer by pulling its handle,,80,,search_boards
opened the drawer,slide out the red drawer with the black handle,,80,,search_boards
opened the drawer,slide the red drawer out,,80,,search_boards
opened the drawer,pull the handle of the red drawer,,80,,search_boards
opened the drawer,pull open the red drawer,,80,,search_boards
opened the drawer,slide open the red drawer,,80,,search_boards
pick up any cup,[dry-run:gemini] 5252a3da701c,0.4850915638999627,80,,loop_gemini
pick up any cup,pick up any cup in the rack,,80,,search_boards
pick up any cup,pick up any cup,,80,,search_boards
pick up any cup,pick up any cup inside the rack,,80,,search_boards
pick up any cup,pick up any cup from the rack,,80,,search_boards
pick up any cup,pick up any mug in the rack,,80,,search_boards
pick up any cup,grab any cup from the rack,,80,,search_boards
pick up any cup,pick up one of the cups,,80,,search_boards
pick up any cup,grab any mug,,80,,search_boards
pick up bit holder,pick up bit holder,,80,,search_boards
pick up bit holder,pick up red plastic bit holder,,80,,search_boards
pick up bit holder,pick up red screwdriver bit holder,,80,,search_boards
pick up bit holder,grab the red plastic screwdriver bit holder,,80,,search_boards
pick up bit holder,lift the red plastic screwdriver bit holder,,80,,search_boards
pick up bit holder,pick up the red screwdriver bit holder,,80,,search_boards
pick up bit holder,pick up the red plastic screwdriver bit holder,,80,,search_boards
pick up bit holder,grab the red plastic bit holder,,80,,search_boards
pick up bit holder,grasp the red bit holder,,80,,search_boards
pick up blue pen and put into drawer,[dry-run:gemini] e02e89970779,0.7606333870054709,80,,loop_gemini
pick up blue pen and put into drawer,pick up blue pen and put into drawer,,80,,search_boards
pick up blue pen and put into drawer,pick up the blue dry erase marker and put it in the upper left drawer,,80,,search_boards
pick up blue pen and put into drawer,put the blue pen in the upper left organizer,,80,,search_boards
pick up blue pen and put into drawer,move the blue pen to the top left plastic drawer,,80,,search_boards
pick up blue pen and put into drawer,grab the blue marker and place it in the upper left compartment,,80,,search_boards
pick up blue pen and put into drawer,grab the blue dry erase marker and place it in the side compartment,,80,,search_boards
pick up blue pen and put into drawer,pick up the blue pen and place it in the upper left drawer,,80,,search_boards
pick up blue pen and put into drawer,place the blue pen in the top left plastic drawer,,80,,search_boards
pick up blue pen and put into drawer,put the blue dry erase marker in the upper left compartment,,80,,search_boards
pick up bowl and put in small4fbox,pick up bowl and put in small4fbox,,80,,search_boards
pick up bowl and put in small4fbox,put the light blue bowl inside the box,,80,,search_boards
pick up bowl and put in small4fbox,put the light blue bowl in the box,,80,,search_boards
pick up bowl and put in small4fbox,place the light blue bowl in the cardboard box,,80,,search_boards
pick up bowl and put in small4fbox,put the light blue bowl in the cardboard box,,80,,search_boards
pick up bowl and put in small4fbox,put the blue bowl in the box,,80,,search_boards
pick up bowl and put in small4fbox,put the blue bowl into the cardboard box,,80,,search_boards
pick up bowl and put in small4fbox,move the blue bowl into the cardboard box,,80,,search_boards
pick up box cutter and put into drawer,pick up box cutter and put into drawer,,80,,search_boards
pick up box cutter and put into drawer,pick up the silver box cutter and put it in the red drawer,,80,,search_boards
pick up box cutter and put into drawer,grab the silver box cutter and place it in the red drawer,,80,,search_boards
pick up box cutter and put into drawer,pick up the silver box cutter and set it inside the red drawer,,80,,search_boards
pick up box cutter and put into drawer,grab the silver box cutter and set it in the red drawer,,80,,search_boards
pick up box cutter and put into drawer,pick up the silver box cutter and put it in the drawer,,80,,search_boards
pick up box cutter and put into drawer,grab the box cutter and place it inside the red drawer,,80,,search_boards
pick up box cutter and put into drawer,pick up the silver box cutter and place it in the red drawer,,80,,search_boards
pick up box cutter and put into drawer,grab the box cutter and set it in the drawer,,80,,search_boards
pick up glass cup,pick up glass cup,,80,,search_boards
pick up glass cup,pick up the small glass cup,,80,,search_boards
pick up glass cup,pick up glass cup from dishwasher,,80,,search_boards
pick up glass cup,pick up glass,,80,,search_boards
pick up glass cup,take the clear glass out of the dishwasher,,80,,search_boards
pick up glass cup,lift the glass cup from the rack,,80,,search_boards
pick up glue and put into drawer,[dry-run:gemini] aa9ab54d088e,0.44390871780745783,80,,loop_gemini
pick up glue and put into drawer,pick up glue and put into drawer,,80,,search_boards
pick up glue and put into drawer,pick up the small red glue tube and drop it in the upper tray,,80,,search_boards
pick up glue and put into drawer,put the red tube of glue in the upper tray,,80,,search_boards
pick up glue and put into drawer,put the red tube of glue in the top left organizer,,80,,search_boards
pick up glue and put into drawer,move the red glue tube into the top left compartment,,80,,search_boards
pick up glue and put into drawer,put the red glue tube into the left side top drawer,,80,,search_boards
