source,task,phrase,success_pct,n_episodes,is_pool_oracle
sam8x1_B_v6step_0160.parquet,widowx_carrot_on_keyboard_clean,Pick up the orange carrot and place it on top of the keyboard.,16.7,24,False
sam8x1_B_step_0080.parquet,widowx_carrot_on_keyboard_clean,Grasp the orange carrot and place it on top of the black keyboard.,16.7,24,False
sam8x1_frozenERT.parquet,widowx_carrot_on_keyboard_clean,Pick up the orange carrot and place it on the black keyboard.,16.7,24,False
sam8x1_frozenERT.parquet,widowx_carrot_on_keyboard_clean,Take the orange carrot and put it on the black keyboard.,16.7,24,False
sftsam8x1_frozen_bare.parquet,widowx_carrot_on_keyboard_clean,Pick up the carrot and place it on your keyboard.,16.7,24,False
sam8x1_B_v6step_0140.parquet,widowx_carrot_on_keyboard_clean,Pick up the orange carrot and place it on the keyboard,12.5,24,False
sam8x1_B_v6step_0160.parquet,widowx_carrot_on_keyboard_clean,grasp the carrot and put it on the keyboard,12.5,24,False
sam8x1_frozenERT.parquet,widowx_carrot_on_keyboard_clean,Grip the orange carrot and place it on the keyboard,12.5,24,False
sam8x1_B_v6step_0140.parquet,widowx_carrot_on_keyboard_clean,Pick up the carrot and put it on the keyboard.,8.3,24,False
sam8x1_B_v6step_0180.parquet,widowx_carrot_on_keyboard_clean,Pick up the carrot and put it on the keyboard.,8.3,24,False
sam8x1_frozenERT.parquet,widowx_carrot_on_keyboard_clean,Pick up the tapered orange fruit and put it on the keys.,8.3,24,False
sftsam8x1_frozen_bare.parquet,widowx_carrot_on_keyboard_clean,Pop the carrot on the keyboard.,8.3,24,False
sftsam8x1_sft.parquet,widowx_carrot_on_keyboard_clean,Pick the carrot and place it on top of the keyboard.,8.3,24,True
sftsam8x1_sft.parquet,widowx_carrot_on_keyboard_clean,Put the carrot above the keychain.,8.3,24,True
sam8x1_B_v6step_0160.parquet,widowx_carrot_on_keyboard_clean,grasp the carrot and position it on the keyboard,4.2,24,False
sam8x1_frozenERT.parquet,widowx_carrot_on_keyboard_clean,Find the long orange vegetable and place it on the black keyboard.,4.2,24,False
sftsam8x1_frozen_bare.parquet,widowx_carrot_on_keyboard_clean,Please place the carrot on the laptop.,4.2,24,False
sftsam8x1_sft.parquet,widowx_carrot_on_keyboard_clean,Place the orange with green top on top of the keyboard.,4.2,24,False
sam8x1_B_v6step_0120.parquet,widowx_carrot_on_keyboard_clean,Pick up the carrot and place it on the keyboard.,0.0,48,False
sam8x1_B_v6step_0180.parquet,widowx_carrot_on_keyboard_clean,Pick up the carrot and place it on the keyboard.,0.0,72,False
sam8x1_B_v6step_0160.parquet,widowx_carrot_on_keyboard_clean,Pick the carrot and place it on the keyboard,0.0,24,False
sam8x1_B_v6step_0160.parquet,widowx_carrot_on_keyboard_clean,Pick up the carrot and place it on the keyboard.,0.0,48,False
sftsam8x1_frozen_bare.parquet,widowx_carrot_on_keyboard_clean,Locat the long orage vcetable with geen laves and place it on the top of the black periphery used for typing. (This is a valid English sentence with typos that can be corrected to the target phrase).,0.0,24,False
sftsam8x1_frozen_bare.parquet,widowx_carrot_on_keyboard_clean,"Locate the long, orange vegetable with green leaves and place it carefully on top of the black peripheral device used for typing.",0.0,24,False
sftsam8x1_frozen_bare.parquet,widowx_carrot_on_keyboard_clean,Put the pepper on the keyboard.,0.0,24,False
sftsam8x1_sft.parquet,widowx_carrot_on_keyboard_clean,Place the carrot above the mouse.,0.0,24,False
sftsam8x1_sft.parquet,widowx_carrot_on_keyboard_clean,Place the yellow vegetable and move the mouse.,0.0,24,False
sftsam8x1_sft.parquet,widowx_carrot_on_keyboard_clean,move the orange bell pepper and put it over the mouse pad,0.0,24,False
sftsam8x1_sft.parquet,widowx_carrot_on_keyboard_clean,put the bell pepper on the keyboard,0.0,24,False
sftsam8x1_sft.parquet,widowx_carrot_on_keyboard_clean,put the carrot over the mouse,0.0,24,False
sam8x1_B_v6step_0140.parquet,widowx_carrot_on_plate,place the orange carrot on the green plate,62.5,24,True
sam8x1_B_v6step_0180.parquet,widowx_carrot_on_plate,place the orange carrot on the green plate,58.3,24,True
sam8x1_B_v6step_0120.parquet,widowx_carrot_on_plate,Pick up the carrot and place it on the green plate.,54.2,24,True
sam8x1_B_v6step_0160.parquet,widowx_carrot_on_plate,Pick up the carrot and place it on the green plate.,54.2,24,True
sam8x1_B_step_0080.parquet,widowx_carrot_on_plate,Pick up the carrot and place it on the green plate.,54.2,48,True
sam8x1_B_v6step_0140.parquet,widowx_carrot_on_plate,Place the carrot on the green plate.,50.0,24,False
sam8x1_B_v6step_0120.parquet,widowx_carrot_on_plate,Place the carrot on the green plate.,50.0,72,False
sam8x1_B_v6step_0180.parquet,widowx_carrot_on_plate,Place the carrot on the green plate.,50.0,48,False
sam8x1_B_v6step_0160.parquet,widowx_carrot_on_plate,Place the carrot on the green plate.,50.0,48,False
sam8x1_B_v6step_0140.parquet,widowx_carrot_on_plate,Pick up the orange carrot and place it on the green plate.,45.8,24,False
sam8x1_B_v6step_0120.parquet,widowx_carrot_on_plate,Pick up the orange carrot and balance it on the green plate.,45.8,24,False
sam8x1_B_v6step_0180.parquet,widowx_carrot_on_plate,Pick up the orange carrot and place it on the green plate.,45.8,24,False
sam8x1_B_v6step_0180.parquet,widowx_carrot_on_plate,Place the orange carrot on the light-green plate.,45.8,24,False
sam8x1_B_step_0080.parquet,widowx_carrot_on_plate,Pick up the orange carrot and place it on the green plate.,45.8,24,False
sam8x1_B_step_0080.parquet,widowx_carrot_on_plate,Place the orange carrot on the light-green plate,45.8,24,False
sam8x1_B_step_0080.parquet,widowx_carrot_on_plate,Place the orange carrot on the light-green plate.,45.8,24,False
sam8x1_frozenERT.parquet,widowx_carrot_on_plate,pick up the orange carrot and place it on the green plate,45.8,24,True
sftsam8x1_sft.parquet,widowx_carrot_on_plate,just put the carrot on the plate.,45.8,24,True
sftsam8x1_sft.parquet,widowx_carrot_on_plate,take the carrot and put it on the plate,45.8,24,True
sam8x1_B_v6step_0140.parquet,widowx_carrot_on_plate,place the carrot on the green plate,41.7,24,False
sam8x1_B_v6step_0120.parquet,widowx_carrot_on_plate,Pick up the orange carrot and place it on the light-green plate.,41.7,48,False
sam8x1_B_v6step_0120.parquet,widowx_carrot_on_plate,put the carrot in the green plate,41.7,24,False
sam8x1_B_v6step_0160.parquet,widowx_carrot_on_plate,Pick up the carrot and place it on the plate.,41.7,24,False
sam8x1_B_v6step_0160.parquet,widowx_carrot_on_plate,Pick up the orange carrot and place it on the light-green plate.,41.7,24,False
sam8x1_B_step_0080.parquet,widowx_carrot_on_plate,Pick up the orange carrot and place it on the green ceramic plate.,41.7,24,False
sam8x1_B_step_0080.parquet,widowx_carrot_on_plate,Pick up the orange carrot and place it on the light-green plate.,41.7,24,False
sftsam8x1_sft.parquet,widowx_carrot_on_plate,put carrot on plate,41.7,24,False
sftsam8x1_sft.parquet,widowx_carrot_on_plate,put the carrot on the plate.,41.7,24,False
sam8x1_B_v6step_0160.parquet,widowx_carrot_on_plate,Pick up the orange carrot and put it on the green plate.,37.5,24,False
sam8x1_B_v6step_0160.parquet,widowx_carrot_on_plate,place the carrot on the plate,37.5,24,False
sam8x1_frozenERT.parquet,widowx_carrot_on_plate,Take the orange carrot and place it on the green dish.,37.5,24,False
sftsam8x1_frozen_bare.parquet,widowx_carrot_on_plate,Place the carrot on the ceramic platter.,37.5,48,True
sftsam8x1_sft.parquet,widowx_carrot_on_plate,put the carrot in the tray,37.5,24,False
sam8x1_B_v6step_0140.parquet,widowx_carrot_on_plate,Pick up the orange carrot and put it on the green plate.,33.3,24,False
sam8x1_B_v6step_0140.parquet,widowx_carrot_on_plate,Place the orange carrot on the green plate.,33.3,72,False
sam8x1_B_v6step_0160.parquet,widowx_carrot_on_plate,Place the orange carrot on the green plate.,33.3,24,False
sam8x1_frozenERT.parquet,widowx_carrot_on_plate,Pick up the orange carrot and put it on the light-green plate.,33.3,24,False
sam8x1_frozenERT.parquet,widowx_carrot_on_plate,Place the orange carrot on the green plate.,33.3,48,False
sftsam8x1_frozen_bare.parquet,widowx_carrot_on_plate,How to balance a carrot on a ceramic platter?,33.3,24,False
sftsam8x1_sft.parquet,widowx_carrot_on_plate,PUTS A CARROT ON THE PLATE,33.3,24,False
sam8x1_B_v6step_0180.parquet,widowx_carrot_on_plate,Place the orange carrot on the green plate.,31.9,72,False
sam8x1_B_step_0080.parquet,widowx_carrot_on_plate,Place the orange carrot on the green plate.,29.2,24,False
sftsam8x1_frozen_bare.parquet,widowx_carrot_on_plate,Balance the carrot on the ceramic platter.,25.0,96,False
sftsam8x1_frozen_bare.parquet,widowx_carrot_on_plate,balance the carrot on the ceramic platter.,25.0,24,False
sftsam8x1_sft.parquet,widowx_carrot_on_plate,put the radish on the plate,16.7,24,False
sam8x1_frozenERT.parquet,widowx_carrot_on_plate,move the orange vegetable to the green plate,12.5,24,False
sam8x1_frozenERT.parquet,widowx_carrot_on_plate,Pick up the orange vegetable and place it on the green plate.,8.3,24,False
sam8x1_frozenERT.parquet,widowx_carrot_on_plate,pick up the orange vegetable and place it on the green plate,4.2,24,False
sftsam8x1_sft.parquet,widowx_carrot_on_plate,Move the carrot to the bowl.,4.2,24,False
sam8x1_frozenERT.parquet,widowx_carrot_on_wheel_clean,grab the orange carrot and place it inside the hollow black wheel,37.5,24,True
sam8x1_B_v6step_0120.parquet,widowx_carrot_on_wheel_clean,Pick up the orange carrot and place it into the tire.,33.3,24,True
sam8x1_B_v6step_0180.parquet,widowx_carrot_on_wheel_clean,Pick up the carrot and put it into the tire.,16.7,24,True
sam8x1_B_v6step_0180.parquet,widowx_carrot_on_wheel_clean,pick up the carrot and put it in the tire,16.7,24,True
sam8x1_frozenERT.parquet,widowx_carrot_on_wheel_clean,pick up the carrot and place it into the tire,16.7,24,False
sam8x1_B_v6step_0140.parquet,widowx_carrot_on_wheel_clean,pick up the carrot and put it into the tire,12.5,24,True
sam8x1_B_step_0080.parquet,widowx_carrot_on_wheel_clean,Pick up the orange carrot and place it in the center of the black tire.,12.5,24,True
sftsam8x1_sft.parquet,widowx_carrot_on_wheel_clean,pick carrot and put it on the traffic cone,12.5,24,True
sam8x1_B_v6step_0140.parquet,widowx_carrot_on_wheel_clean,Pick up the carrot and place it in the tire.,8.3,24,False
sam8x1_B_v6step_0140.parquet,widowx_carrot_on_wheel_clean,Pick up the orange carrot and put it in the wheel.,8.3,24,False
sam8x1_B_v6step_0140.parquet,widowx_carrot_on_wheel_clean,pick up the carrot and place it inside the tire,8.3,24,False
sam8x1_B_v6step_0120.parquet,widowx_carrot_on_wheel_clean,Pick up the carrot and place it in the tire.,8.3,24,False
sam8x1_B_v6step_0180.parquet,widowx_carrot_on_wheel_clean,Pick the carrot and place it on the tire.,8.3,24,False
sam8x1_B_v6step_0160.parquet,widowx_carrot_on_wheel_clean,Pick up the carrot and place it in the tire.,8.3,48,True
sam8x1_B_v6step_0160.parquet,widowx_carrot_on_wheel_clean,pick up the carrot and put it in the tire,8.3,24,True
sam8x1_frozenERT.parquet,widowx_carrot_on_wheel_clean,Grab the orange carrot and put it into the middle of the black tire.,8.3,24,False
sam8x1_frozenERT.parquet,widowx_carrot_on_wheel_clean,Grasp the orange carrot and move it into the center of the black tire.,8.3,24,False
sftsam8x1_frozen_bare.parquet,widowx_carrot_on_wheel_clean,dig an orange carrot and put it on the tire.,8.3,24,True
sftsam8x1_sft.parquet,widowx_carrot_on_wheel_clean,Pick up the red carrot and place it on the steering wheel,8.3,24,False
sam8x1_B_v6step_0140.parquet,widowx_carrot_on_wheel_clean,Pick the carrot and put it in the center of the tire.,4.2,24,False
sam8x1_B_v6step_0140.parquet,widowx_carrot_on_wheel_clean,Pick up the carrot and put it in the center of the tire,4.2,24,False
sam8x1_B_v6step_0140.parquet,widowx_carrot_on_wheel_clean,pick up the carrot and place it in the tire,4.2,24,False
sam8x1_B_v6step_0120.parquet,widowx_carrot_on_wheel_clean,Pick up the carrot and place it in the center of the wheel,4.2,24,False
sam8x1_B_v6step_0120.parquet,widowx_carrot_on_wheel_clean,pick up the orange carrot and place it in the center of the tire,4.2,24,False
sam8x1_B_v6step_0160.parquet,widowx_carrot_on_wheel_clean,Pick up the carrot and place it in the center of the tire.,4.2,48,False
sam8x1_B_v6step_0160.parquet,widowx_carrot_on_wheel_clean,Pick up the carrot and place it into the center of the tire.,4.2,24,False
sam8x1_B_v6step_0160.parquet,widowx_carrot_on_wheel_clean,pick up the carrot and put it in the center of the tire.,4.2,24,False
sam8x1_B_step_0080.parquet,widowx_carrot_on_wheel_clean,pick up the carrot and place it in the center of the tire,4.2,48,False
sam8x1_frozenERT.parquet,widowx_carrot_on_wheel_clean,Pick the carrot and put it in the center of the black tire.,4.2,24,False
sftsam8x1_frozen_bare.parquet,widowx_carrot_on_wheel_clean,Retrieve a carrot and place it into the car's hubcap.,4.2,24,False
sftsam8x1_frozen_bare.parquet,widowx_carrot_on_wheel_clean,Retrieve carrot and place on record.,4.2,24,False
sftsam8x1_frozen_bare.parquet,widowx_carrot_on_wheel_clean,Retrieve the carrot and place it on the tire.,4.2,24,False
sftsam8x1_sft.parquet,widowx_carrot_on_wheel_clean,Take the yellow banana from the cloth and place it on the flywheel.,4.2,24,False
sftsam8x1_sft.parquet,widowx_carrot_on_wheel_clean,pick carrot and put it in middle of traction,4.2,24,False
sam8x1_B_step_0080.parquet,widowx_carrot_on_wheel_clean,Pick up the carrot and place it in the center of the tire.,2.1,48,False
sam8x1_B_v6step_0140.parquet,widowx_carrot_on_wheel_clean,Pick up the orange carrot and place it in the center of the wheel.,0.0,24,False
sam8x1_B_v6step_0120.parquet,widowx_carrot_on_wheel_clean,Pick up the carrot and place it in the center of the tire.,0.0,24,False
sam8x1_B_v6step_0120.parquet,widowx_carrot_on_wheel_clean,Pick up the orange carrot and place it in the middle of the tire,0.0,24,False
sam8x1_B_v6step_0120.parquet,widowx_carrot_on_wheel_clean,pick up the carrot and place it in the center of the tire,0.0,48,False
sam8x1_B_v6step_0180.parquet,widowx_carrot_on_wheel_clean,Pick up the carrot and place it inside the tire.,0.0,24,False
sam8x1_B_v6step_0180.parquet,widowx_carrot_on_wheel_clean,Pick up the carrot and put it in the middle of the tire.,0.0,48,False
sam8x1_B_v6step_0180.parquet,widowx_carrot_on_wheel_clean,Pick up the orange carrot and put it in the center of the tire.,0.0,24,False
sam8x1_B_v6step_0180.parquet,widowx_carrot_on_wheel_clean,Pick up the orange carrot and put it in the middle of the tire.,0.0,24,False
sam8x1_B_v6step_0160.parquet,widowx_carrot_on_wheel_clean,Pick up the carrot and put it in the middle of the tire.,0.0,24,False
sam8x1_B_step_0080.parquet,widowx_carrot_on_wheel_clean,Pick up the orange carrot and place it in the middle of the tire.,0.0,24,False
sam8x1_B_step_0080.parquet,widowx_carrot_on_wheel_clean,pick up the orange carrot and place it in the middle of the tire,0.0,24,False
sam8x1_B_step_0080.parquet,widowx_carrot_on_wheel_clean,pick up the orange carrot and place it in the middle of the wheel,0.0,24,False
sam8x1_frozenERT.parquet,widowx_carrot_on_wheel_clean,Grab the carrot and put it inside the center of the wheel.,0.0,24,False
sam8x1_frozenERT.parquet,widowx_carrot_on_wheel_clean,Pick up the carrot and place it in the middle of the tire.,0.0,24,False
sam8x1_frozenERT.parquet,widowx_carrot_on_wheel_clean,Pick up the orange carrot and put it in the middle of the wheel.,0.0,24,False
sftsam8x1_frozen_bare.parquet,widowx_carrot_on_wheel_clean,Plant an orange carrot in the middle of the car's circular tire track.,0.0,24,False
sftsam8x1_frozen_bare.parquet,widowx_carrot_on_wheel_clean,Retrieve carrot and put it in center of wheel.,0.0,24,False
sftsam8x1_frozen_bare.parquet,widowx_carrot_on_wheel_clean,Retrieve the garlic and place it on the car tire.,0.0,24,False
sftsam8x1_frozen_bare.parquet,widowx_carrot_on_wheel_clean,This is a reworded robot instruction. Recover the original plain instruction it came from. Reply with ONLY that instruction.,0.0,24,False
sftsam8x1_sft.parquet,widowx_carrot_on_wheel_clean,Put the orange carrot on the truck.,0.0,24,False
sftsam8x1_sft.parquet,widowx_carrot_on_wheel_clean,grab the carrot and place it on the wheel,0.0,24,False
sftsam8x1_sft.parquet,widowx_carrot_on_wheel_clean,pick up the carrot and place it on the flat piece used on the flat tire,0.0,24,False
sftsam8x1_sft.parquet,widowx_carrot_on_wheel_clean,take the carrot and put it back in the middle of the revolving tire,0.0,24,False
sam8x1_B_step_0080.parquet,widowx_coke_can_on_plate_clean,Pick up the red cola can and place it on the yellow plate,50.0,24,True
sam8x1_B_v6step_0120.parquet,widowx_coke_can_on_plate_clean,Pick up the red cola can and place it on the yellow plate.,45.8,24,True
sam8x1_B_v6step_0180.parquet,widowx_coke_can_on_plate_clean,Pick up the red cola can and place it on the yellow plate.,45.8,24,True
sam8x1_B_v6step_0180.parquet,widowx_coke_can_on_plate_clean,Pick up the red cola can and put it on the yellow plate.,45.8,24,True
sam8x1_B_step_0080.parquet,widowx_coke_can_on_plate_clean,Pick up the red cola can and place it on the yellow plate.,45.8,48,False
sftsam8x1_frozen_bare.parquet,widowx_coke_can_on_plate_clean,"Pick the soda, put it on the yellow dish.",41.7,24,True
sam8x1_B_v6step_0140.parquet,widowx_coke_can_on_plate_clean,pick up the red cola can and place it on the yellow plate,37.5,24,True
sam8x1_B_v6step_0180.parquet,widowx_coke_can_on_plate_clean,Pick up the red can and place it on the yellow plate,33.3,24,False
sam8x1_B_v6step_0160.parquet,widowx_coke_can_on_plate_clean,Move the red coca-cola can to the yellow plate.,33.3,24,True
sam8x1_frozenERT.parquet,widowx_coke_can_on_plate_clean,Pick up the red soda can on the left and place it on the yellow plate.,33.3,24,True
sam8x1_B_v6step_0140.parquet,widowx_coke_can_on_plate_clean,Pick up the red can and place it on the yellow plate.,29.2,72,False
sam8x1_B_v6step_0140.parquet,widowx_coke_can_on_plate_clean,pick up the red can and place it on the yellow plate,29.2,24,False
sam8x1_B_v6step_0120.parquet,widowx_coke_can_on_plate_clean,pick up the red can and put it on the yellow plate,29.2,24,False
sam8x1_B_v6step_0180.parquet,widowx_coke_can_on_plate_clean,Pick the red soda can and put it on the yellow plate.,29.2,24,False
sam8x1_B_v6step_0180.parquet,widowx_coke_can_on_plate_clean,Pick up the red can and place it on the yellow plate.,29.2,24,False
sam8x1_B_v6step_0180.parquet,widowx_coke_can_on_plate_clean,pick up the red can and place it on the yellow plate,29.2,24,False
sam8x1_B_v6step_0160.parquet,widowx_coke_can_on_plate_clean,Pick up the red can and place it on the yellow plate.,29.2,48,False
sam8x1_B_v6step_0160.parquet,widowx_coke_can_on_plate_clean,pick up the red soda can and place it on the yellow plate,29.2,24,False
sam8x1_B_step_0080.parquet,widowx_coke_can_on_plate_clean,Pick up the red cola can on the left and place it on the yellow plate to its right.,29.2,24,False
sam8x1_B_step_0080.parquet,widowx_coke_can_on_plate_clean,pick up the red soda can and put it on the yellow plate,29.2,24,False
sam8x1_frozenERT.parquet,widowx_coke_can_on_plate_clean,Pick up the red can and place it on the yellow plate.,29.2,48,False
sam8x1_frozenERT.parquet,widowx_coke_can_on_plate_clean,Pick up the red soda can and place it on top of the yellow plate.,29.2,24,False
sftsam8x1_frozen_bare.parquet,widowx_coke_can_on_plate_clean,Put the carbonated beverage container on top of the yellow dining vessel.,29.2,24,False
sam8x1_B_v6step_0120.parquet,widowx_coke_can_on_plate_clean,Pick up the red cola can on the left and place it on the yellow plate to its right.,26.4,72,False
sam8x1_B_v6step_0140.parquet,widowx_coke_can_on_plate_clean,Pick up the red soda can and place it on the yellow plate.,25.0,24,False
sam8x1_B_v6step_0140.parquet,widowx_coke_can_on_plate_clean,grasp the red can and place it on the yellow plate,25.0,24,False
sam8x1_B_v6step_0120.parquet,widowx_coke_can_on_plate_clean,Pick up the red soda can and place it on the yellow plate.,25.0,48,False
sam8x1_B_v6step_0180.parquet,widowx_coke_can_on_plate_clean,Pick up the red can on the left and place it on the yellow plate to its right.,25.0,24,False
sam8x1_B_v6step_0160.parquet,widowx_coke_can_on_plate_clean,Pick up the red soda can and place it on the yellow plate.,25.0,48,False
sam8x1_B_step_0080.parquet,widowx_coke_can_on_plate_clean,Pick up the red soda can and place it on the yellow plate.,25.0,48,False
sam8x1_frozenERT.parquet,widowx_coke_can_on_plate_clean,Pick up the red soda can and place it on the yellow plate.,25.0,24,False
sam8x1_frozenERT.parquet,widowx_coke_can_on_plate_clean,Pick up the red soda can and put it on the yellow plate.,25.0,24,False
sam8x1_frozenERT.parquet,widowx_coke_can_on_plate_clean,Pick up the red soda can on the left and put it on the yellow plate to its right.,25.0,24,False
sam8x1_B_v6step_0120.parquet,widowx_coke_can_on_plate_clean,Pick up the red can and put it on the yellow plate.,20.8,24,False
sam8x1_B_v6step_0180.parquet,widowx_coke_can_on_plate_clean,Pick up the red can and put it on the yellow plate.,20.8,24,False
sam8x1_B_v6step_0160.parquet,widowx_coke_can_on_plate_clean,Pick up the red can and put it on the yellow plate.,20.8,24,False
sam8x1_frozenERT.parquet,widowx_coke_can_on_plate_clean,Pick up the red cola can on the left and place it on the yellow plate to the right.,20.8,24,False
sftsam8x1_frozen_bare.parquet,widowx_coke_can_on_plate_clean,pick up the leftmost carbonated drink container and place it on top of the flat yellow serving dish to its right.,20.8,24,False
sam8x1_B_v6step_0140.parquet,widowx_coke_can_on_plate_clean,Pick up the red can on the left and put it on the yellow plate to its right.,16.7,24,False
sam8x1_B_step_0080.parquet,widowx_coke_can_on_plate_clean,Pick up the red soda can and put it on the yellow plate to its right.,16.7,24,False
sam8x1_B_v6step_0160.parquet,widowx_coke_can_on_plate_clean,Pick up the red can and place it on the yellow plate to its right.,12.5,24,False
sftsam8x1_frozen_bare.parquet,widowx_coke_can_on_plate_clean,Pick up the left soda can and put it on the yellow plate.,12.5,24,False
sftsam8x1_sft.parquet,widowx_coke_can_on_plate_clean,pick the can at the left side and put it to the right side of the yellow food plate,8.3,24,True
sftsam8x1_sft.parquet,widowx_coke_can_on_plate_clean,take the can left side and put above yellow plate right side,4.2,24,False
sftsam8x1_sft.parquet,widowx_coke_can_on_plate_clean,took the can on the left side and moved it on the yellow dinner tray on the right side,4.2,24,False
sftsam8x1_frozen_bare.parquet,widowx_coke_can_on_plate_clean,"Retrieve the carbonated drink container on the left and position it carefully on top of the flat, yellow dining vessel to its right.",2.1,48,False
sftsam8x1_frozen_bare.parquet,widowx_coke_can_on_plate_clean,This is a reworded robot instruction. Recover the original plain instruction it came from. Reply with ONLY that instruction.,0.0,24,False
sftsam8x1_frozen_bare.parquet,widowx_coke_can_on_plate_clean,retrieve carbonated drink container left to flat yellow dining vessel right.,0.0,24,False
sftsam8x1_sft.parquet,widowx_coke_can_on_plate_clean,Grab the can on the left and move it on top of the yellow table on the right,0.0,24,False
sftsam8x1_sft.parquet,widowx_coke_can_on_plate_clean,Grab the can on the left and put it on top of the yellow dinnerware on the right,0.0,24,False
sftsam8x1_sft.parquet,widowx_coke_can_on_plate_clean,Take the can from the left and put it on top of the yellow plate to the right,0.0,24,False
sftsam8x1_sft.parquet,widowx_coke_can_on_plate_clean,take left can and put it on right side of yellow table pot,0.0,24,False
sftsam8x1_sft.parquet,widowx_coke_can_on_plate_clean,take the can in the left side and put it on the right side on top by the table on top of a yellow plate,0.0,24,False
sam8x1_B_v6step_0180.parquet,widowx_coke_can_on_ramekin_clean,Pick up the red cola can and place it vertically in the white bowl.,79.2,24,True
sam8x1_B_v6step_0160.parquet,widowx_coke_can_on_ramekin_clean,Pick up the red cola can and place it inside the white bowl.,79.2,24,True
sam8x1_B_step_0080.parquet,widowx_coke_can_on_ramekin_clean,Pick up the red cola can and place it standing upright inside the white ceramic bowl.,79.2,24,True
sam8x1_B_v6step_0160.parquet,widowx_coke_can_on_ramekin_clean,Pick up the red cola can and place it upright inside the white bowl.,75.0,24,False
sam8x1_B_v6step_0120.parquet,widowx_coke_can_on_ramekin_clean,Pick up the red cola can and place it standing inside the white bowl.,70.8,24,True
sam8x1_B_step_0080.parquet,widowx_coke_can_on_ramekin_clean,Grasp the red cola can and place it upright inside the white bowl.,70.8,24,False
sam8x1_frozenERT.parquet,widowx_coke_can_on_ramekin_clean,Pick up the red cola can and put it in the white bowl.,70.8,24,True
sftsam8x1_frozen_bare.parquet,widowx_coke_can_on_ramekin_clean,Grasp the red cylinder and transfer it into the white ceramic cup.,70.8,24,True
sam8x1_B_v6step_0140.parquet,widowx_coke_can_on_ramekin_clean,Pick up the red Cola can and place it upright inside the white bowl.,66.7,24,True
sam8x1_B_v6step_0140.parquet,widowx_coke_can_on_ramekin_clean,pick up the red cola can and place it upright inside the white bowl,66.7,24,True
sam8x1_B_v6step_0120.parquet,widowx_coke_can_on_ramekin_clean,Pick up the red cola can and place it upright in the white bowl.,66.7,24,False
sam8x1_B_v6step_0120.parquet,widowx_coke_can_on_ramekin_clean,Pick up the red soda can and place it standing upright in the white bowl.,66.7,24,False
sam8x1_B_v6step_0120.parquet,widowx_coke_can_on_ramekin_clean,pick up the red cola can and place it upright inside the white bowl,66.7,24,False
sam8x1_B_v6step_0180.parquet,widowx_coke_can_on_ramekin_clean,Pick up the red Coca-Cola can and place it vertically inside the white bowl.,66.7,24,False
